,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,Opponent Defensive Rank vs Position
12913,Ty Jerome,PHOENIX SUNS,2020-01-24,AWAY,SAN ANTONIO SPURS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
12914,Elie Okobo,PHOENIX SUNS,2020-01-24,AWAY,SAN ANTONIO SPURS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
12915,Jarred Vanderbilt,DENVER NUGGETS,2020-01-24,AWAY,NEW ORLEANS PELICANS,1.0,0.09,0.01,0.04,0.18,0.04,0.01,0.02,0.04,0.17,0.6,1.13,0.7511737089201879,-0.5299999999999999,0.0,0.0,0,18
12916,Vince Carter,ATLANTA HAWKS,2020-01-24,AWAY,OKLAHOMA CITY THUNDER,1.0,0.07,0.11,0.06,0.15,0.07,0.02,0.04,0.06,0.87,9.69,9.57,1.0113528855250709,0.11999999999999922,0.0,0.0,0,2
12917,Tyus Jones,MEMPHIS GRIZZLIES,2020-01-24,AWAY,DETROIT PISTONS,1.0,0.15,0.05,0.07,0.15,0.24,0.01,0.05,0.09,0.93,14.98,15.8,0.9511904761904761,-0.8200000000000003,0.0,0.0,0,14
12918,Thanasis Antetokounmpo,MILWAUKEE BUCKS,2020-01-24,AWAY,CHARLOTTE HORNETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22
12919,Dewayne Dedmon,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,1.0,0.16,0.04,0.09,0.37,0.05,0.03,0.02,0.07,0.89,11.31,17.93,0.6502905441098785,-6.619999999999999,0.5765791157192739,0.0,0,27
12920,Kevin Hervey,OKLAHOMA CITY THUNDER,2020-01-24,HOME,ATLANTA HAWKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28
12921,Justin James,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
12922,P.J. Washington,CHARLOTTE HORNETS,2020-01-24,HOME,MILWAUKEE BUCKS,1.0,0.14,0.06,0.09,0.26,0.12,0.02,0.04,0.07,0.83,27.4,33.8,0.8160919540229885,-6.399999999999999,0.038203396569535086,0.0,0,12
12923,Juan Hernangómez,DENVER NUGGETS,2020-01-24,AWAY,NEW ORLEANS PELICANS,1.0,0.05,0.02,0.01,0.21,0.04,0.01,0.03,0.03,0.53,5.52,6.37,0.8846675712347354,-0.8500000000000005,0.0,0.0,0,18
12924,Kevin Knox,NEW YORK KNICKS,2020-01-24,HOME,TORONTO RAPTORS,1.0,0.13,0.08,0.11,0.24,0.08,0.02,0.03,0.07,0.79,12.38,9.03,1.333998005982054,3.3500000000000014,0.0,0.0,0,28
12925,Wesley Matthews,MILWAUKEE BUCKS,2020-01-24,AWAY,CHARLOTTE HORNETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,24
12926,Anthony Tolliver,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
12927,Denzel Valentine,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,1.0,0.1,0.08,0.05,0.13,0.07,0.01,0.03,0.05,0.68,6.27,2.57,2.0364145658263304,3.6999999999999997,0.0,0.0,0,13
12928,Vlatko Čančar,DENVER NUGGETS,2020-01-24,AWAY,NEW ORLEANS PELICANS,1.0,0.14,0.1,0.12,0.2,0.24,0.01,0.06,0.1,1.32,2.27,3.23,0.7730496453900708,-0.96,0.0,0.0,0,24
12929,Frank Jackson,NEW ORLEANS PELICANS,2020-01-24,HOME,DENVER NUGGETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,16
12930,Jaxson Hayes,NEW ORLEANS PELICANS,2020-01-24,HOME,DENVER NUGGETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
12931,Kent Bazemore,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
12932,Marco Belinelli,SAN ANTONIO SPURS,2020-01-24,HOME,PHOENIX SUNS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
12933,Yogi Ferrell,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7
12934,Miles Bridges,CHARLOTTE HORNETS,2020-01-24,HOME,MILWAUKEE BUCKS,1.0,0.14,0.06,0.07,0.22,0.09,0.02,0.03,0.07,0.76,25.46,12.8,1.9173913043478261,12.66,0.0,3.4362914201104098,0,11
12935,Shaquille Harrison,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,1.0,0.18,0.08,0.13,0.14,0.09,0.01,0.03,0.06,0.83,4.55,4.33,1.0412757973733584,0.21999999999999975,0.0,0.0,0,13
12936,Jerome Robinson,LOS ANGELES CLIPPERS,2020-01-24,AWAY,MIAMI HEAT,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19
12937,Luke Kornet,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,1.0,0.1,0.09,0.07,0.16,0.1,0.03,0.03,0.06,0.97,16.97,19.47,0.8778700537371763,-2.5,0.0,0.0,0,2
12938,Nickeil Alexander-Walker,NEW ORLEANS PELICANS,2020-01-24,HOME,DENVER NUGGETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
12939,Grayson Allen,MEMPHIS GRIZZLIES,2020-01-24,AWAY,DETROIT PISTONS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
12940,Treveon Graham,ATLANTA HAWKS,2020-01-24,AWAY,OKLAHOMA CITY THUNDER,1.0,0.05,0.04,0.03,0.11,0.04,0.01,0.02,0.03,0.44,7.4,4.2,1.6153846153846154,3.2,0.0,0.0,0,11
12941,Adam Mokoka,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,1.0,0.06,0.07,0.0,0.08,0.0,0.0,0.01,0.04,0.38,1.2,1.2,1.0,0.0,0.0,0.0,0,27
12942,Dejounte Murray,SAN ANTONIO SPURS,2020-01-24,HOME,PHOENIX SUNS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,18
12943,Bismack Biyombo,CHARLOTTE HORNETS,2020-01-24,HOME,MILWAUKEE BUCKS,1.0,0.14,0.0,0.06,0.33,0.04,0.05,0.03,0.06,0.84,17.82,15.0,1.17625,2.8200000000000003,0.0,0.0,0,7
12944,Tim Frazier,DETROIT PISTONS,2020-01-24,HOME,MEMPHIS GRIZZLIES,1.0,0.07,0.02,0.04,0.12,0.22,0.01,0.04,0.08,0.66,12.71,9.97,1.2497721057429352,2.74,0.0,0.0,0,
12945,Rodney McGruder,LOS ANGELES CLIPPERS,2020-01-24,AWAY,MIAMI HEAT,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19
12946,Bruno Fernando,ATLANTA HAWKS,2020-01-24,AWAY,OKLAHOMA CITY THUNDER,1.0,0.17,0.0,0.06,0.29,0.05,0.04,0.04,0.06,1.06,13.21,19.9,0.6799043062200958,-6.689999999999998,0.5452051377545075,0.0,0,21
12947,James Johnson,MIAMI HEAT,2020-01-24,HOME,LOS ANGELES CLIPPERS,1.0,0.11,0.06,0.05,0.22,0.08,0.03,0.03,0.05,0.87,14.67,22.17,0.6763055675442382,-7.500000000000002,0.9608018648091603,0.0,0,11
12948,Zach LaVine,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.26,0.11,0.19,0.28,0.18,0.02,0.05,0.13,1.16,43.92,33.73,1.2934062769939536,10.190000000000005,0.0,1.0633595261573459,0,30
12949,Kyrie Irving,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,1.0,0.25,0.08,0.15,0.24,0.24,0.02,0.06,0.13,1.25,42.48,37.33,1.1343595095225671,5.149999999999999,0.0,0.0,0,14
12950,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.33,0.12,0.25,0.39,0.2,0.04,0.04,0.14,1.44,45.93,50.07,0.9189347953788917,-4.140000000000001,0.0,0.0,0,21
12951,Ben Simmons,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11
12952,Rudy Gobert,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
12953,Chris Paul,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
12954,Tomáš Satoranský,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.11,0.05,0.09,0.14,0.2,0.01,0.04,0.09,0.76,19.72,16.23,1.2025536854323853,3.4899999999999984,0.0,0.0,0,27
12955,Derrick Rose,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,1.0,0.33,0.06,0.19,0.27,0.3,0.02,0.05,0.14,1.21,37.92,38.37,0.9885699771399544,-0.44999999999999574,0.0,0.0,0,19
12956,Jarrett Allen,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
12957,Anthony Davis,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6
12958,Cedi Osman,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.1,0.09,0.06,0.17,0.11,0.01,0.04,0.07,0.75,20.55,24.67,0.8395013634592909,-4.120000000000001,0.0,0.0,0,16
12959,Tobias Harris,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
12960,Seth Curry,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
12961,LeBron James,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
12962,Shabazz Napier,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17
12963,Dennis Schröder,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
12964,Darius Bazley,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17
12965,Andre Drummond,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,1.0,0.24,0.0,0.1,0.46,0.11,0.05,0.05,0.1,1.44,46.02,50.9,0.9059730250481697,-4.8799999999999955,0.0,0.0,0,29
12966,Sviatoslav Mykhailiuk,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,1.0,0.09,0.1,0.08,0.13,0.09,0.01,0.03,0.05,0.74,21.63,16.73,1.2763677382966723,4.899999999999999,0.0,0.0,0,15
12967,Luka Dončić,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
12968,Kris Dunn,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.11,0.04,0.07,0.18,0.13,0.01,0.05,0.07,0.9,24.41,31.8,0.7746951219512196,-7.390000000000001,0.4305585921532324,0.0,0,27
12969,Bruce Brown,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,1.0,0.11,0.03,0.06,0.16,0.16,0.02,0.04,0.07,0.86,25.51,15.0,1.656875,10.510000000000002,0.0,2.584984329558445,0,15
12970,Larry Nance,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.15,0.03,0.04,0.3,0.09,0.03,0.04,0.06,1.02,21.16,29.47,0.7272727272727273,-8.309999999999999,0.9787395711466428,0.0,0,27
12971,Al Horford,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4
12972,Donovan Mitchell,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
12973,Bojan Bogdanović,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.17,0.12,0.14,0.2,0.14,0.01,0.03,0.09,0.86,27.33,27.33,1.0,0.0,0.0,0.0,0,21
12974,Delon Wright,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
12975,Kevin Love,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.2,0.11,0.16,0.33,0.16,0.02,0.04,0.12,1.05,34.36,36.43,0.944696767298958,-2.0700000000000003,0.0,0.0,0,21
12976,Joe Harris,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
12977,Mike Muscala,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
12978,Hamidou Diallo,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17
12979,Luguentz Dort,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28
12980,Joe Ingles,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
12981,Collin Sexton,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.26,0.09,0.16,0.26,0.18,0.02,0.05,0.12,1.0,32.51,36.07,0.9039654707310493,-3.5600000000000023,0.0,0.0,0,1
12982,Royce O'Neale,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
12983,Spencer Dinwiddie,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,1.0,0.16,0.09,0.15,0.16,0.28,0.01,0.04,0.13,1.0,32.14,30.17,1.0632017965992941,1.9699999999999989,0.0,0.0,0,3
12984,Andrew Wiggins,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.21,0.08,0.15,0.21,0.2,0.02,0.04,0.11,0.99,29.94,35.73,0.8423631908521646,-5.789999999999996,0.0,0.0,0,11
12985,Thaddeus Young,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.11,0.05,0.04,0.24,0.07,0.02,0.04,0.05,0.91,22.02,26.1,0.8494464944649446,-4.080000000000002,0.0,0.0,0,27
12986,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2
12987,Shake Milton,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
12988,Tristan Thompson,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.16,0.0,0.05,0.35,0.05,0.04,0.03,0.06,0.87,30.38,28.13,1.0772399588053554,2.25,0.0,0.0,0,27
12989,Matisse Thybulle,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10
12990,Alex Caruso,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
12991,Wilson Chandler,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,1.0,0.09,0.09,0.07,0.24,0.09,0.02,0.04,0.06,0.89,17.28,18.6,0.9326530612244898,-1.3200000000000003,0.0,0.0,0,3
12992,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4
12993,Robert Covington,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2
12994,Christian Wood,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,1.0,0.23,0.06,0.19,0.39,0.11,0.05,0.04,0.1,1.31,24.23,24.77,0.9790454016298021,-0.5399999999999991,0.0,0.0,0,3
12995,Tim Hardaway,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
12996,Tony Bradley,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
12997,Raul Neto,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11
12998,Coby White,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.12,0.08,0.09,0.15,0.14,0.01,0.04,0.08,0.68,18.75,13.97,1.319305277221109,4.779999999999999,0.0,0.0,0,30
12999,Langston Galloway,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,1.0,0.08,0.07,0.03,0.14,0.09,0.01,0.04,0.05,0.73,17.36,23.83,0.7394281111558598,-6.469999999999999,0.26081037649883615,0.0,0,15
13000,Dante Exum,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.06,0.04,0.04,0.14,0.07,0.02,0.03,0.05,0.55,11.26,8.0,1.3622222222222222,3.26,0.0,0.0,0,1
13001,Kristaps Porziņģis,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
13002,Ryan Arcidiacono,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.04,0.05,0.02,0.11,0.11,0.0,0.04,0.04,0.56,7.79,7.53,1.0304806565064475,0.2599999999999998,0.0,0.0,0,27
13003,Dorian Finney-Smith,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14
13004,Caris LeVert,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
13005,Avery Bradley,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.0,0.07,0.04,0.01,0.09,0.05,0.01,0.04,0.03,0.46,10.51,9.3,1.1174757281553398,1.209999999999999,0.0,0.0,0,4
13006,John Henson,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.18,0.04,0.1,0.32,0.15,0.04,0.04,0.09,1.13,15.44,19.03,0.820768846729905,-3.5900000000000016,0.0,0.0,0,21
13007,Chandler Hutchison,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.16,0.03,0.07,0.27,0.08,0.02,0.05,0.06,1.03,15.66,21.4,0.74375,-5.739999999999998,0.0,0.0,0,30
13008,Luke Kornet,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.09,0.09,0.07,0.16,0.08,0.02,0.03,0.06,0.86,17.24,14.57,1.1714836223506742,2.669999999999998,0.0,0.0,0,28
13009,Taurean Waller-Prince,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,1.0,0.12,0.09,0.09,0.21,0.1,0.02,0.04,0.07,0.9,25.53,26.57,0.9622778382299602,-1.0399999999999991,0.0,0.0,0,3
13010,Maxi Kleber,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,24
13011,Georges Niang,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
13012,Naz Reid,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.18,0.11,0.14,0.24,0.13,0.03,0.04,0.09,1.14,16.43,9.8,1.6138888888888887,6.629999999999999,0.0,0.3063361646169308,0,21
13013,Darius Garland,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.0,0.14,0.09,0.09,0.11,0.21,0.0,0.04,0.1,0.66,24.04,19.13,1.2439145553899653,4.91,0.0,0.0,0,7
13014,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28
13015,Jordan McLaughlin,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.09,0.06,0.07,0.11,0.22,0.01,0.05,0.08,0.83,13.8,12.53,1.0938654841093867,1.2700000000000014,0.0,0.0,0,17
13016,Deonte Burton,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28
13017,Jordan Clarkson,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
13018,Boban Marjanović,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,24
13019,Jarrett Culver,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.0,0.12,0.06,0.07,0.17,0.08,0.03,0.03,0.06,0.75,23.71,11.9,1.9155038759689922,11.81,0.0,3.2903358024825504,0,11
13020,Markieff Morris,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
13021,Jalen Brunson,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,1.0,0.2,0.08,0.13,0.22,0.19,0.02,0.05,0.09,1.05,13.33,19.37,0.7034855179185076,-6.040000000000001,0.03481105776632229,0.0,0,8
13022,Mike Conley,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
13023,Dwight Howard,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11
13024,Jared Dudley,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,4
13025,Denzel Valentine,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.0,0.1,0.07,0.05,0.14,0.11,0.01,0.04,0.06,0.72,5.21,4.47,1.1352833638025595,0.7400000000000002,0.0,0.0,0,30
