Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
55314-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,24.419047037760418,21,5500,OKC@SA,SA,OKC,GTD,Illness,,,
55314-110637,PF,Darius,Darius Bazley,Bazley,24.742857142857144,35,5400,OKC@SA,OKC,SA,,,,,
55314-12355,SG,Eric,Eric Bledsoe,Bledsoe,24.373529770795038,34,5400,MIA@NO,NO,MIA,,,,,
55314-84702,SG,Lonnie,Lonnie Walker,Walker,19.162069386449353,29,5400,OKC@SA,SA,OKC,,,,,
55314-9508,SF,Carmelo,Carmelo Anthony,Anthony,24.14242461233428,33,5400,SAC@POR,POR,SAC,,,,,
55314-9673,PG,Goran,Goran Dragic,Dragic,25.276189894903276,21,5400,MIA@NO,MIA,NO,,,,,
55314-68090,SF,OG,OG Anunoby,Anunoby,28.539131496263586,23,5400,TOR@BOS,TOR,BOS,O,Covid-19,,,
55314-42156,PF,Bobby,Bobby Portis,Portis,24.282857840401785,35,5300,MIL@MEM,MIL,MEM,,,,,
55314-14523,PG,Reggie,Reggie Jackson,Jackson,17.182353300206803,34,5300,LAC@WAS,LAC,WAS,,,,,
55314-84703,SG,De'Anthony,De'Anthony Melton,Melton,22.81578947368421,19,5300,MIL@MEM,MEM,MIL,,,,,
55314-84708,C,Robert,Robert Williams,Williams,21.41428484235491,28,5300,TOR@BOS,BOS,TOR,,,,,
55314-9662,SG,Lou,Lou Williams,Williams,22.067646699793197,34,5300,LAC@WAS,LAC,WAS,,,,,
55314-49675,PG,Derrick,Derrick White,White,24.787500381469727,8,5200,OKC@SA,SA,OKC,O,Covid-19,,,
55314-60233,SG,Dillon,Dillon Brooks,Brooks,26.246429443359375,28,5200,MIL@MEM,MEM,MIL,,,,,
55314-9621,C,Brook,Brook Lopez,Lopez,22.1971435546875,35,5100,MIL@MEM,MIL,MEM,,,,,
55314-66968,SF,Derrick,Derrick Jones,Jones,19.883333333333333,30,5100,SAC@POR,POR,SAC,,,,,
55314-145328,SF,Saddiq,Saddiq Bey,Bey,17.318181818181817,33,5100,DET@NY,DET,NY,,,,,
55314-145348,SG,Immanuel,Immanuel Quickley,Quickley,20.234375,32,5100,DET@NY,NY,DET,,,,,
55314-40562,SF,Josh,Josh Hart,Hart,23.44857177734375,35,5000,MIA@NO,NO,MIA,,,,,
55314-14501,C,Tristan,Tristan Thompson,Thompson,20.757575757575758,33,5000,TOR@BOS,BOS,TOR,,,,,
55314-49336,SG,DeAndre',DeAndre' Bembry,Bembry,11.411538931039663,26,5000,TOR@BOS,TOR,BOS,,,,,
55314-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,23.082857840401786,35,5000,MIL@MEM,MIL,MEM,,,,,
55314-14543,PF,Davis,Davis Bertans,Bertans,18.82758620689655,29,5000,LAC@WAS,WAS,LAC,,,,,
55314-110349,SF,Rui,Rui Hachimura,Hachimura,23.22307645357572,26,5000,LAC@WAS,WAS,LAC,,,,,
55314-18393,PG,T.J.,T.J. McConnell,McConnell,26.496774981098792,31,5000,DEN@IND,IND,DEN,,,,,
55314-81529,PF,Daniel,Daniel Theis,Theis,21.933332963423297,33,4900,TOR@BOS,BOS,TOR,,,,,
55314-19138,PG,Elfrid,Elfrid Payton,Payton,22.931249618530273,32,4900,DET@NY,NY,DET,GTD,Hamstring,,,
55314-9577,PF,Rudy,Rudy Gay,Gay,22.057692307692307,26,4900,OKC@SA,SA,OKC,O,Covid-19,,,
55314-85137,SF,Duncan,Duncan Robinson,Robinson,20.811429268973214,35,4800,MIA@NO,MIA,NO,,,,,
55314-70827,C,Ivica,Ivica Zubac,Zubac,20.421620961782093,37,4800,LAC@WAS,LAC,WAS,,,,,
55314-14510,SG,Alec,Alec Burks,Burks,21.1750005086263,24,4800,DET@NY,NY,DET,,,,,
55314-58081,PG,Tyus,Tyus Jones,Jones,21.64516129032258,31,4800,MIL@MEM,MEM,MIL,,,,,
55314-145307,PF,Isaiah,Isaiah Stewart,Stewart,17.148485588304926,33,4800,DET@NY,DET,NY,,,,,
55314-117779,PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,16.26818154074929,22,4700,GS@PHO,GS,PHO,,,,,
55314-58461,PF,Trey,Trey Lyles,Lyles,11.244444105360243,18,4700,OKC@SA,SA,OKC,,,,,
55314-14512,PF,Marcus,Marcus Morris,Morris,19.775000435965403,28,4700,LAC@WAS,LAC,WAS,GTD,Concussion,,,
55314-145310,PG,Saben,Saben Lee,Lee,14.642857142857142,14,4700,DET@NY,DET,NY,,,,,
55314-63127,C,Willy,Willy Hernangomez,Hernangomez,19.539999389648436,20,4600,MIA@NO,NO,MIA,,,,,
55314-110346,PF,Isaiah,Isaiah Roby,Roby,20.44482842807112,29,4600,OKC@SA,OKC,SA,,,,,
55314-55056,PF,Dario,Dario Saric,Saric,19.96875,16,4600,GS@PHO,PHO,GS,,,,,
55314-9664,SG,Andre,Andre Iguodala,Iguodala,16.18484774502841,33,4600,MIA@NO,MIA,NO,,,,,
55314-40396,PG,Monte,Monte Morris,Morris,20.682353300206803,34,4600,DEN@IND,DEN,IND,,,,,
55314-12363,C,Hassan,Hassan Whiteside,Whiteside,19.517391038977582,23,4500,SAC@POR,SAC,POR,O,Covid-19,,,
55314-116340,SG,Terence,Terence Davis,Davis,11.724137931034482,29,4500,TOR@BOS,TOR,BOS,,,,,
55314-16604,SF,Justin,Justin Holiday,Holiday,23.017646340762866,34,4500,DEN@IND,IND,DEN,,,,,
55314-84709,C,Mitchell,Mitchell Robinson,Robinson,26.56296341507523,27,4500,DET@NY,NY,DET,O,Hand,,,
55314-9446,PG,Jeff,Jeff Teague,Teague,12.944444444444445,27,4500,TOR@BOS,BOS,TOR,,,,,
55314-84711,SG,Grayson,Grayson Allen,Allen,18.434782608695652,23,4500,MIL@MEM,MEM,MIL,O,Concussion,,,
55314-9560,PF,Blake,Blake Griffin,Griffin,25.064999389648438,20,4500,DET@NY,DET,NY,O,Not injury related,,,
55314-145347,C,James,James Wiseman,Wiseman,22.3639990234375,25,4500,GS@PHO,GS,PHO,,,,,
55314-22541,C,Kelly,Kelly Olynyk,Olynyk,22.5,34,4400,MIA@NO,MIA,NO,,,,,
55314-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,16.455556233723957,18,4400,SAC@POR,SAC,POR,,,,,
55314-84699,PG,Hamidou,Hamidou Diallo,Diallo,24.203125,32,4400,OKC@SA,OKC,SA,O,Groin,,,
55314-58084,SF,Justise,Justise Winslow,Winslow,19.139999389648438,5,4400,MIL@MEM,MEM,MIL,,,,,
55314-40208,PG,Raul,Raul Neto,Neto,16.660714285714285,28,4400,LAC@WAS,WAS,LAC,,,,,
55314-12474,PG,Patrick,Patrick Beverley,Beverley,20.19629584418403,27,4300,LAC@WAS,LAC,WAS,,,,,
55314-15559,SG,Jeremy,Jeremy Lamb,Lamb,22.19499969482422,20,4300,DEN@IND,IND,DEN,,,,,
55314-15800,PF,Jae,Jae Crowder,Crowder,21.65161329700101,31,4300,GS@PHO,PHO,GS,,,,,
55314-145336,PF,Xavier,Xavier Tillman,Tillman,18.923076923076923,26,4300,MIL@MEM,MEM,MIL,,,,,
55314-15405,PF,JaMychal,JaMychal Green,Green,19.36,25,4200,DEN@IND,DEN,IND,O,Shoulder,,,
55314-9809,SF,Nicolas,Nicolas Batum,Batum,22.2088228113511,34,4200,LAC@WAS,LAC,WAS,,,,,
55314-67707,PF,Marquese,Marquese Chriss,Chriss,17.799999237060547,2,4200,GS@PHO,GS,PHO,O,Lower leg,,,
55314-145536,PG,Theo,Theo Maledon,Maledon,17.516666666666666,30,4200,OKC@SA,OKC,SA,,,,,
55314-145547,PG,Facundo,Facundo Campazzo,Campazzo,12.606667073567708,30,4200,DEN@IND,DEN,IND,O,Covid-19,,,
55314-84719,SG,Aaron,Aaron Holiday,Holiday,13.03529447667739,34,4200,DEN@IND,IND,DEN,,,,,
55314-19781,SF,Kent,Kent Bazemore,Bazemore,15.949999640969668,34,4200,GS@PHO,GS,PHO,,,,,
55314-15771,C,Gorgui,Gorgui Dieng,Dieng,18.41363664106889,22,4200,MIL@MEM,MEM,MIL,,,,,
55314-15993,PG,Pat,Pat Connaughton,Connaughton,16.325000762939453,32,4100,MIL@MEM,MIL,MEM,,,,,
55314-37931,C,Aron,Aron Baynes,Baynes,14.921875,32,4000,TOR@BOS,TOR,BOS,,,,,
55314-9939,PG,Patty,Patty Mills,Mills,20.425806845388106,31,4000,OKC@SA,SA,OKC,,,,,
