,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_7_9,fantasy_points_8_8,fantasy_points_8_85,fantasy_points_8_9,predicted_points,actual_points
56,Caris LeVert,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,26.55947664410354,4.488138981773394,1.619793368047933,2.2602898489238,3.7267398096531252,3.580991005173095,0.18522813911443814,0.8964443048456263,1.8547577213293833,23.051000000000002,0,26.827809472166017,27.776594399387044,27.467599629438062,27.22920917432134,27.32978180650859,13.9
57,Avery Bradley,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,20.775342354436052,1.9976040775757333,1.1050689078819216,0.5194921958904395,1.9202500406907284,1.2556932860419732,0.17180774783024777,0.8070606845181758,0.6827436609087443,9.26125,0,14.256332770408669,14.559046532132584,14.305904146203893,14.093085527433956,14.271608688716032,9.7
58,John Henson,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,22.521663003609394,1.9146035043114935,0.564890846327309,0.7366601817751945,4.46115797029765,1.6595852791125374,0.562676221230578,0.565346455263839,1.1107961047855517,16.80875,0,16.723429225191552,16.268638136711076,16.495525849407386,16.68287990766521,16.376579137103793,11.4
59,Chandler Hutchison,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,22.773247513678264,2.6630545151252107,0.41839926047450593,1.0438042856400322,4.0548195441176595,1.4725670179369175,0.38353364110284227,1.1070199941592742,0.9019901352414592,19.218000000000004,0,18.79108176810327,18.850707218818094,18.44677863435836,18.10585941542479,18.26941584770543,14.6
60,Luke Kornet,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,24.55191339828441,1.6061787248340167,1.9483896998016188,1.1247526361401947,3.281667965215643,1.5448071436837463,0.6725074526391857,0.7790820218063121,1.004108273714454,18.53275,0,19.23343673052552,19.203642516987323,19.688134368246992,20.09038133524154,19.78815160861951,11.7
61,Taurean Waller-Prince,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,28.79629720256015,3.092369855578795,2.290141678662816,1.9181517892831415,5.133786880256745,2.452107469018104,0.3895018701467081,1.0321907067527136,1.535738446680439,26.125500000000002,0,27.093008580138978,27.758574114743347,27.60420704694846,27.558878499135858,27.541361280282256,13.8
62,Maxi Kleber,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,25.04508246458075,2.0766902479352574,1.5424531792776326,1.4987005728731564,5.123469594626284,0.6780789019351428,1.3523385515108841,0.6820331180474608,0.6443822179968206,24.657999999999994,0,22.37673910800669,22.84028744233708,22.945584944358075,22.929965017708525,22.903455263709034,17.6
63,Georges Niang,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,23.009548832358,1.0727889073086239,1.711629485534563,0.5802120966154893,2.191087791900099,1.3393834347305855,0.25432375100573923,0.5599865021297985,0.7124234473393949,14.536750000000001,0,13.500674750701371,14.446831254944144,14.288036468349716,14.18342940319203,14.229566182279642,6.0
64,Naz Reid,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,20.639517590484104,1.4435123948764002,1.2294948030000994,0.8797560365394532,2.8513683964006873,1.1196991239240788,0.47710446229686676,0.5080872809806216,0.8342522063047759,13.18325,0,14.432324810633808,14.06888436520076,14.558701331538678,15.003589332438679,14.677779020387185,10.4
65,Darius Garland,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,31.04354961247807,3.497311661501225,2.4951492813897103,2.336458977218709,2.0363446628583333,5.296251954076001,0.0,0.9845817254439271,2.5851773061293972,23.009,0,27.616950106694105,27.12389768776456,27.29746526090127,27.594143569793715,27.573089541136675,13.0
66,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,33.11316898287065,6.276103567804665,0.8982503805724762,4.51426438451294,8.499067076834777,4.406090261867534,1.1566340553876717,1.3920573531480218,2.3013485877136244,44.2345,0,41.69953868108519,41.78295271140718,41.742130189405565,41.751115960730004,41.91396418473619,28.4
67,Jordan McLaughlin,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,19.828108428643432,1.276894951274702,0.8842344777959708,0.6425022448418929,2.208641900052303,3.183814042025195,0.08218897800318103,0.7140733015186882,1.1525187521136162,13.1435,0,14.225673992200697,14.657117641804689,14.440955272281968,14.267325652354181,14.511355010331757,10.7
68,Deonte Burton,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,18.27538092188949,1.2653048343787205,0.556848701313015,0.2814841863726607,1.9052163366453456,0.5305658057049852,0.44250269556576266,0.6171130144868078,0.23277281368659852,6.788500000000001,0,10.08606400626826,10.847460945174348,10.93630162591576,11.010810327918705,10.510822588072154,10.6
