"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Al-Farouq Aminu",4800,"POR@MIA 12/13/2017 07:30PM ET",22.161,"POR","MIA",24.21,24,34.25
"SG/SF","E'Twaun Moore",4800,"MIL@NO 12/13/2017 08:00PM ET",22.295,"NO","MIL",20.16,21.7,34.25
"PG/SG","Terry Rozier",4700,"DEN@BOS 12/13/2017 07:30PM ET",20.578,"BOS","DEN",18.56,21.6,17
"C","Robin Lopez",4700,"UTA@CHI 12/13/2017 08:00PM ET",24.529,"CHI","UTA",21.73,22.1,33.5
"PG/SG","Zach LaVine",4700,"UTA@CHI 12/13/2017 08:00PM ET",0,"CHI","UTA",0,0,0
"PF","Bobby Portis",4700,"UTA@CHI 12/13/2017 08:00PM ET",24.074,"CHI","UTA",15.44,20.9,24
"SG/SF","Bojan Bogdanovic",4700,"OKC@IND 12/13/2017 07:00PM ET",22.176,"IND","OKC",23.97,23.1,29
"C","Jonas Valanciunas",4700,"TOR@PHO 12/13/2017 09:00PM ET",22.143,"TOR","PHO",24.47,23.7,37.25
"PG/SG","Malcolm Brogdon",4700,"MIL@NO 12/13/2017 08:00PM ET",24.333,"MIL","NO",21.61,22.2,19.75
"C","John Henson",4700,"MIL@NO 12/13/2017 08:00PM ET",21.125,"MIL","NO",23.32,22.9,29.5
"SF/PF","Marcus Morris",4600,"DEN@BOS 12/13/2017 07:30PM ET",23.281,"BOS","DEN",0,0,0
"SF/PF","Wilson Chandler",4600,"DEN@BOS 12/13/2017 07:30PM ET",20,"DEN","BOS",22.24,22.9,26.75
"SG/SF","Denzel Valentine",4600,"UTA@CHI 12/13/2017 08:00PM ET",22.635,"CHI","UTA",19.7,18.8,19.75
"SG/SF","Kelly Oubre",4600,"MEM@WAS 12/13/2017 07:00PM ET",22.279,"WAS","MEM",18.87,18,22
"SG/SF","Josh Richardson",4500,"POR@MIA 12/13/2017 07:30PM ET",20.163,"MIA","POR",19.75,22.8,19
"PG/SG","Tyler Johnson",4500,"POR@MIA 12/13/2017 07:30PM ET",20.8,"MIA","POR",0,0,0
"PF/C","Mason Plumlee",4400,"DEN@BOS 12/13/2017 07:30PM ET",17.115,"DEN","BOS",14.32,18.2,28.5
"SF/PF","Trey Lyles",4400,"DEN@BOS 12/13/2017 07:30PM ET",13.262,"DEN","BOS",13.27,21.8,21.5
"PF/C","Alex Len",4400,"TOR@PHO 12/13/2017 09:00PM ET",23.489,"PHO","TOR",22.79,22.3,31.5
"C","Tyson Chandler",4400,"TOR@PHO 12/13/2017 09:00PM ET",22.763,"PHO","TOR",0,0,0
"SF/PF","JaMychal Green",4400,"MEM@WAS 12/13/2017 07:00PM ET",19.483,"MEM","WAS",24.33,23.7,37.75
"SF","Michael Kidd-Gilchrist",4400,"CHA@HOU 12/13/2017 09:30PM ET",19.413,"CHA","HOU",24.24,20.8,38.25
"PG","Mike James",4300,"TOR@PHO 12/13/2017 09:00PM ET",21.973,"PHO","TOR",21.05,20.8,21.5
"PG/SG","DJ Augustin",4300,"LAC@ORL 12/13/2017 07:00PM ET",17.405,"ORL","LAC",22.47,22.1,8.5
"PF/C","Ryan Anderson",4300,"CHA@HOU 12/13/2017 09:30PM ET",21.854,"HOU","CHA",16.38,16.3,16.25
"PG/SG","Jerian Grant",4200,"UTA@CHI 12/13/2017 08:00PM ET",21.423,"CHI","UTA",11.43,12.7,12.5
"PG","Cory Joseph",4200,"OKC@IND 12/13/2017 07:00PM ET",18.269,"IND","OKC",18.18,18.4,8.25
"SG/SF","Josh Jackson",4200,"TOR@PHO 12/13/2017 09:00PM ET",17.42,"PHO","TOR",19.69,21.4,2.75
"PG","Tyler Ulis",4200,"TOR@PHO 12/13/2017 09:00PM ET",17.769,"PHO","TOR",21.51,22.3,34.25
"PG","Emmanuel Mudiay",4100,"DEN@BOS 12/13/2017 07:30PM ET",19.712,"DEN","BOS",13.88,14.8,9.25
"PG/SG","David Nwaba",4100,"UTA@CHI 12/13/2017 08:00PM ET",20.25,"CHI","UTA",21.81,19.5,14.5
"SG/SF","Lance Stephenson",4100,"OKC@IND 12/13/2017 07:00PM ET",19.389,"IND","OKC",20.92,20.3,22
"SG/SF","Wesley Johnson",4100,"LAC@ORL 12/13/2017 07:00PM ET",17.72,"LAC","ORL",20.51,20.5,10.25
"PF","Mike Scott",4100,"MEM@WAS 12/13/2017 07:00PM ET",14.198,"WAS","MEM",20.89,20.1,18.25
"PF/C","Bam Adebayo",4100,"POR@MIA 12/13/2017 07:30PM ET",13.794,"MIA","POR",17.8,18.3,22.25
"PF/C","Marquese Chriss",4000,"TOR@PHO 12/13/2017 09:00PM ET",17.277,"PHO","TOR",18.95,20.2,5.75
"SF/PF","Chandler Parsons",4000,"MEM@WAS 12/13/2017 07:00PM ET",17.869,"MEM","WAS",21.46,21.2,20.75
"PF/C","Frank Kaminsky",4000,"CHA@HOU 12/13/2017 09:30PM ET",19.239,"CHA","HOU",18.66,18,8
"PF/C","Ed Davis",4000,"POR@MIA 12/13/2017 07:30PM ET",15.635,"POR","MIA",14.64,13.2,18.25
"SF/PF","Justise Winslow",4000,"POR@MIA 12/13/2017 07:30PM ET",18.596,"MIA","POR",18.38,20.2,2.5
"SG/SF","Evan Turner",4000,"POR@MIA 12/13/2017 07:30PM ET",17.356,"POR","MIA",18.01,15.7,15.5
"C","Aron Baynes",3900,"DEN@BOS 12/13/2017 07:30PM ET",15.095,"BOS","DEN",22.93,22.8,26.5
"SG/SF","Thabo Sefolosha",3900,"UTA@CHI 12/13/2017 08:00PM ET",18.019,"UTA","CHI",15.27,15.6,8
