,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Injury Indicator,Injury Details,Hot,Cold
15,Lou Williams,SG,LAC@LAL,LAC,32.56,6512,4900,1612,34.3,5717,30.6,28.35,22.3,GTD,Calf,0.0,0.0
16,Kyle Kuzma,PF,LAC@LAL,LAL,23.55,4710,4700,10,25.22,4203,20.54,21.41,20.03,,,0.0,0.0
17,Patrick Beverley,PG,LAC@LAL,LAC,22.06,4412,4600,-188,21.73,3621,23.51,20.81,14.4,,,0.0,0.0
18,Ivica Zubac,C,LAC@LAL,LAC,23.35,4671,4500,171,22.9,3817,20.84,21.6,17.07,,,0.0,0.0
19,JaVale McGee,C,LAC@LAL,LAL,23.6,4721,4400,321,23.36,3894,19.87,15.07,15.7,,,0.0,0.0
20,Josh Hart,SG,UTA@NO,NO,23.8,4760,4400,360,26.34,4389,23.49,25.25,16.63,,,0.0,1.6076481779516458
21,Jordan Clarkson,SG,UTA@NO,UTA,20.51,4102,4300,-198,24.42,4070,22.7,27.97,22.93,,,0.0,0.0
22,Marcus Morris,PF,LAC@LAL,LAC,18.59,3717,4200,-483,18.16,3027,27.76,24.61,24.0,,,0.0,0.0
23,Danny Green,SG,LAC@LAL,LAL,20.07,4014,4100,-86,20.06,3343,18.66,17.36,13.97,,,0.0,0.0
24,Jaxson Hayes,C,UTA@NO,NO,9.85,1971,3900,-1929,9.7,1616,16.98,8.38,6.23,,,0.0,0.0
25,Dwight Howard,C,LAC@LAL,LAL,23.41,4683,3900,783,22.0,3666,21.22,21.08,23.83,,,0.0,0.0
26,Avery Bradley,SG,LAC@LAL,LAL,22.36,4471,3800,671,24.96,4160,15.36,19.3,12.47,O,Personal,0.0,0.508678375757431
27,Tony Bradley,C,UTA@NO,UTA,8.15,1630,3800,-2170,8.24,1374,11.88,10.16,13.13,,,0.0,0.0
28,Reggie Jackson,PG,LAC@LAL,LAC,17.3,3460,3800,-340,17.23,2872,23.08,25.57,22.87,,,0.0,0.0
29,Rajon Rondo,PG,LAC@LAL,LAL,24.92,4983,3800,1183,26.7,4450,18.9,19.63,21.57,O,Thumb,0.0,0.0
30,Kentavious Caldwell-Pope,SG,LAC@LAL,LAL,22.81,4562,3700,862,25.28,4214,16.82,16.29,19.33,,,0.0,0.0
31,JaMychal Green,PF,LAC@LAL,LAC,20.44,4088,3600,488,20.31,3385,16.87,15.1,20.1,,,0.0,0.0
