,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_8_9,predicted_points,actual_points
10,Nemanja Bjelica,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,27.227632713642755,1.662456255143888,1.6249164505949214,0.9374467136014262,4.942388658095798,3.3379992786021684,0.3335146777342808,0.8348693999861989,1.3086255092203731,23.47175,0,22.59129707702153,22.271500607233243,30.799999999999997
11,Dwight Howard,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,19.088923912071476,2.8034555144911737,0.0,1.7092446071074605,7.052826749678783,0.8044507544641757,0.8317073049789521,0.3862535170393606,1.1740642115835,19.230999999999998,0,19.700435705219284,19.46604212187205,36.3
12,Chris Paul,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,32.21293436315051,5.3429314274765645,1.5771836055297628,3.6585742128034697,5.215891868510939,6.949524102447469,0.2569657438555635,1.1161039405497206,2.6208349094073737,39.2005,0,37.08399238066391,37.2577184240387,36.3
13,CJ McCollum,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,37.50020926702434,5.97651708791036,3.3647242316805945,3.8675118491648415,4.45427638524871,6.854045395593362,0.43632369870233667,0.9138380025911499,2.8412984123210627,43.80275,0,41.68535231446718,42.75010516727524,39.6
14,Harry Giles,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,23.61438631001109,3.868546375956185,0.014680087730728486,1.4937854471909808,6.638390923219355,2.018227277199305,0.555805213655304,0.6178598380348774,1.1399217733770732,23.31125,0,22.219360214378483,22.64940186765119,29.1
15,Steven Adams,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,29.71329966150974,5.683993910815733,0.019050612512243825,2.33022962075294,10.439709183430493,1.784817620229883,1.5280229476376128,1.1729787097177833,1.6611817019181627,40.0435,0,34.825044623666344,35.402070000530586,23.9
16,Maurice Harkless,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,20.951474334931294,1.2410668908233173,0.7938052376736815,0.5152055668942119,3.6167945811258013,0.9707324750543375,0.3898832353119439,0.6663792584426402,0.5813060336212894,13.798749999999998,0,13.800321852824553,13.762488719136822,23.8
17,Harrison Barnes,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,28.699035141641957,3.2283038714027885,2.067705596355937,2.0757353767588915,3.973306428503916,3.29607951804481,0.2388618547418031,0.7636896369338138,1.325709092197497,29.216,0,25.969232476923175,26.129492282733548,29.1
18,Gary Trent,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,26.231189505345704,2.0630121380869095,1.7898555941107788,0.951323358328404,2.191227590942871,1.2723229898609922,0.2931870050494143,1.2700914454053185,0.7036905566786347,20.380000000000003,0,18.992712671921247,18.971016805443057,29.0
19,Malcolm Brogdon,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,29.63280093149437,4.2620768353331275,1.4398994846674518,2.6451203893258075,5.595364769766306,6.230773402332446,0.26794308288562574,0.886912909025459,2.4417803232597493,29.71475,0,32.68229020261218,32.57235799368616,38.2
