,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,Opponent Defensive Rank vs Position,predicted_points,actual_points
63,Jae Crowder,MIAMI HEAT,2020-02-12,AWAY,UTAH JAZZ,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7,22.136000000000003,22.1
64,Paul Millsap,DENVER NUGGETS,2020-02-12,HOME,LOS ANGELES LAKERS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10,22.366999999999994,26.8
65,Duncan Robinson,MIAMI HEAT,2020-02-12,AWAY,UTAH JAZZ,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7,22.136000000000003,25.7
66,Cheick Diallo,PHOENIX SUNS,2020-02-12,HOME,GOLDEN STATE WARRIORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6,22.366999999999994,25.6
67,Andre Drummond,CLEVELAND CAVALIERS,2020-02-12,HOME,ATLANTA HAWKS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30,22.366999999999994,34.5
68,Kyle Lowry,TORONTO RAPTORS,2020-02-12,AWAY,BROOKLYN NETS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19,22.136000000000003,43.2
69,Pascal Siakam,TORONTO RAPTORS,2020-02-12,AWAY,BROOKLYN NETS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3,22.136000000000003,33.6
70,Kent Bazemore,SACRAMENTO KINGS,2020-02-12,AWAY,DALLAS MAVERICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,22.136000000000003,26.9
71,Alex Caruso,LOS ANGELES LAKERS,2020-02-12,AWAY,DENVER NUGGETS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,16,22.136000000000003,28.2
72,Cory Joseph,SACRAMENTO KINGS,2020-02-12,AWAY,DALLAS MAVERICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21,22.136000000000003,24.6
73,Mitchell Robinson,NEW YORK KNICKS,2020-02-12,HOME,WASHINGTON WIZARDS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17,22.366999999999994,25.1
74,Trevor Ariza,PORTLAND TRAIL BLAZERS,2020-02-12,AWAY,MEMPHIS GRIZZLIES,30.52,1.89,1.06,1.07,3.89,1.59,0.49,1.09,0.68,22.22,22.98,23.8,0.9669354838709677,-0.8200000000000003,0.0,0.0,0,18,19.143,29.7
75,Juan Hernangómez,MINNESOTA TIMBERWOLVES,2020-02-12,HOME,CHARLOTTE HORNETS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26,22.366999999999994,36.4
76,Mikal Bridges,PHOENIX SUNS,2020-02-12,HOME,GOLDEN STATE WARRIORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29,22.366999999999994,28.9
77,Fred VanVleet,TORONTO RAPTORS,2020-02-12,AWAY,BROOKLYN NETS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19,22.136000000000003,25.9
78,Naz Reid,MINNESOTA TIMBERWOLVES,2020-02-12,HOME,CHARLOTTE HORNETS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14,22.366999999999994,25.2
79,Brook Lopez,MILWAUKEE BUCKS,2020-02-12,AWAY,INDIANA PACERS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26,22.136000000000003,38.3
