Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Troy Brown Jr. (16747906),Troy Brown Jr.,16747906,PG/SF/F/G/UTIL,3000,WAS@BKN 03/21/2021 07:00PM ET,WAS,9.82
SF/PF,Isaac Bonga (16747965),Isaac Bonga,16747965,SF/PF/F/UTIL,3000,WAS@BKN 03/21/2021 07:00PM ET,WAS,6.57
SG,Spencer Dinwiddie (16747973),Spencer Dinwiddie,16747973,SG/G/UTIL,3000,WAS@BKN 03/21/2021 07:00PM ET,BKN,18.08
SF/PF,Timothe Luwawu-Cabarrot (16747976),Timothe Luwawu-Cabarrot,16747976,SF/PF/F/UTIL,3000,WAS@BKN 03/21/2021 07:00PM ET,BKN,13.63
SG,Jerome Robinson (16747986),Jerome Robinson,16747986,SG/G/UTIL,3000,WAS@BKN 03/21/2021 07:00PM ET,WAS,11.64
C,Marques Bolden (16747801),Marques Bolden,16747801,C/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,CLE,3.58
PF,Yuta Watanabe (16747831),Yuta Watanabe,16747831,PF/F/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,TOR,8.83
PF/C,Henry Ellenson (16747864),Henry Ellenson,16747864,PF/C/F/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,TOR,19.25
PG,Quinn Cook (16747882),Quinn Cook,16747882,PG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,CLE,4.89
PG,Malachi Flynn (16747891),Malachi Flynn,16747891,PG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,TOR,5.56
PG,Matthew Dellavedova (16747900),Matthew Dellavedova,16747900,PG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,CLE,0
PG/SG,Damyean Dotson (16747915),Damyean Dotson,16747915,PG/SG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,CLE,13.47
SF,Patrick McCaw (16747945),Patrick McCaw,16747945,SF/F/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,TOR,2.42
SF/PF,Taurean Prince (16747954),Taurean Prince,16747954,SF/PF/F/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,CLE,18.17
SG,Brodric Thomas (16747980),Brodric Thomas,16747980,SG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,CLE,6.89
SG,Matt Thomas (16747989),Matt Thomas,16747989,SG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,TOR,4.48
SG,Paul Watson (16747992),Paul Watson,16747992,SG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,TOR,5.44
SG,Jalen Harris (16747995),Jalen Harris,16747995,SG/G/UTIL,3000,TOR@CLE 03/21/2021 07:00PM ET,TOR,2.94
C,Jahlil Okafor (16747799),Jahlil Okafor,16747799,C/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,DET,7.94
C,Cristiano Felicio (16747809),Cristiano Felicio,16747809,C/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,CHI,6
C,Daniel Gafford (16747811),Daniel Gafford,16747811,C/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,CHI,12.18
