Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
54845-68203,PF,Chris,Chris Boucher,Boucher,30.26071385,28,7200,TOR@MIN,TOR,MIN,,,
54845-58312,SG,D'Angelo,D'Angelo Russell,Russell,32.04500122,20,7200,TOR@MIN,MIN,TOR,O,Knee,
54845-110344,PG,Ja,Ja Morant,Morant,34.98749924,16,7100,DET@MEM,MEM,DET,,,
54845-23716,SF,Kyle,Kyle Anderson,Anderson,31.20833333,24,7000,DET@MEM,MEM,DET,,,
54845-66064,SF,Malik,Malik Beasley,Beasley,31.98965559,29,6900,TOR@MIN,MIN,TOR,,,
54845-84667,SG,Collin,Collin Sexton,Sexton,33.46666718,24,6900,DEN@CLE,CLE,DEN,,,
54845-66236,PF,John,John Collins,Collins,32.62142944,28,6800,ATL@BOS,ATL,BOS,,,
54845-15590,C,Mason,Mason Plumlee,Plumlee,28.63461538,26,6800,DET@MEM,DET,MEM,,,
54845-9662,SG,Lou,Lou Williams,Williams,22.41428484,28,6700,UTA@LAC,LAC,UTA,,,
54845-84673,C,Deandre,Deandre Ayton,Ayton,33.03703704,27,6600,PHO@NO,PHO,NO,,,
54845-58153,SF,Kelly,Kelly Oubre,Oubre,27.74827628,29,6600,GS@ORL,GS,ORL,,,
54845-40830,PG,Delon,Delon Wright,Wright,28.08928571,28,6600,DET@MEM,DET,MEM,,,
54845-9666,PF,Thaddeus,Thaddeus Young,Young,28.36086903,23,6500,CHI@PHI,CHI,PHI,,,
54845-49116,SG,Andrew,Andrew Wiggins,Wiggins,30.72758537,29,6500,GS@ORL,GS,ORL,,,
54845-23096,SF,Evan,Evan Fournier,Fournier,28.44000041,15,6400,GS@ORL,ORL,GS,GTD,Back,
54845-80806,PG,Lonzo,Lonzo Ball,Ball,29.38399902,25,6400,PHO@NO,NO,PHO,,,
54845-68090,SF,OG,OG Anunoby,Anunoby,29.90000068,18,6400,TOR@MIN,TOR,MIN,,,
54845-9729,PF,Paul,Paul Millsap,Millsap,22.24230722,26,6300,DEN@CLE,DEN,CLE,O,Knee,
54845-9453,C,Al,Al Horford,Horford,32.51052696,19,6300,OKC@MIL,OKC,MIL,,,
54845-145321,SG,Anthony,Anthony Edwards,Edwards,24.20344912,29,6300,TOR@MIN,MIN,TOR,,,
54845-14507,PG,Kemba,Kemba Walker,Walker,28.27692355,13,6200,ATL@BOS,BOS,ATL,,,
54845-110637,PF,Darius,Darius Bazley,Bazley,25.6035723,28,6100,OKC@MIL,OKC,MIL,,,
54845-16405,SG,Terrence,Terrence Ross,Ross,25.07142857,28,6000,GS@ORL,ORL,GS,,,
54845-110326,PG,Coby,Coby White,White,28.2074065,27,6000,CHI@PHI,CHI,PHI,,,
54845-9575,PG,Mike,Mike Conley,Conley,32.03478208,23,6000,UTA@LAC,UTA,LAC,GTD,Hamstring,
54845-23670,SG,Marcus,Marcus Smart,Smart,30.75882497,17,5900,ATL@BOS,BOS,ATL,O,Calf,
54845-20640,SG,Jordan,Jordan Clarkson,Clarkson,28.04482717,29,5900,UTA@LAC,UTA,LAC,,,
54845-84676,C,Wendell,Wendell Carter,Carter,27.76874924,16,5900,CHI@PHI,CHI,PHI,,,
54845-110353,PF,Brandon,Brandon Clarke,Clarke,27.46000061,20,5800,DET@MEM,MEM,DET,,,
54845-16293,SG,Norman,Norman Powell,Powell,24.19230769,26,5800,TOR@MIN,TOR,MIN,,,
54845-145328,SF,Saddiq,Saddiq Bey,Bey,16.05769231,26,5800,DET@MEM,DET,MEM,,,
54845-41594,PF,Aaron,Aaron Gordon,Gordon,30.70526444,19,5700,GS@ORL,ORL,GS,O,Ankle,
54845-9874,PF,Kevin,Kevin Love,Love,20.45000076,2,5700,DEN@CLE,CLE,DEN,O,Calf,
54845-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,22.98275862,29,5700,UTA@LAC,UTA,LAC,,,
54845-80809,SG,Josh,Josh Jackson,Jackson,23.72307645,26,5700,DET@MEM,DET,MEM,,,
54845-59318,SG,Joe,Joe Ingles,Ingles,23.11600098,25,5700,UTA@LAC,UTA,LAC,,,
54845-20992,SF,Larry,Larry Nance,Nance,28.17368357,19,5600,DEN@CLE,CLE,DEN,O,Finger,
54845-145536,PG,Theo,Theo Maledon,Maledon,16.60434756,23,5500,OKC@MIL,OKC,MIL,,,
54845-42156,PF,Bobby,Bobby Portis,Portis,25.26071385,28,5500,OKC@MIL,MIL,OKC,,,
54845-84682,SF,Michael,Michael Porter,Porter,28.19444444,18,5500,DEN@CLE,DEN,CLE,,,
54845-60233,SG,Dillon,Dillon Brooks,Brooks,26.44166565,24,5500,DET@MEM,MEM,DET,GTD,Thigh,
54845-80812,PF,Lauri,Lauri Markkanen,Markkanen,29,14,5500,CHI@PHI,CHI,PHI,O,Shoulder,
54845-23169,C,Steven,Steven Adams,Adams,24.73333288,27,5400,PHO@NO,NO,PHO,GTD,Ankle,
54845-110342,PG,Darius,Darius Garland,Garland,27.35238211,21,5400,DEN@CLE,CLE,DEN,,,
54845-58134,SF,Justin,Justin Jackson,Jackson,13.78333367,18,5400,OKC@MIL,OKC,MIL,,,
54845-14496,PG,Ricky,Ricky Rubio,Rubio,22.71111156,27,5300,TOR@MIN,MIN,TOR,,,
54845-14512,PF,Marcus,Marcus Morris,Morris,20.72381011,21,5300,UTA@LAC,LAC,UTA,,,
54845-84670,SF,Mikal,Mikal Bridges,Bridges,27.7518514,27,5300,PHO@NO,PHO,NO,,,
54845-84699,PG,Hamidou,Hamidou Diallo,Diallo,25.38214329,28,5300,OKC@MIL,OKC,MIL,,,
54845-84704,SG,Kevin,Kevin Huerter,Huerter,24.96071516,28,5300,ATL@BOS,ATL,BOS,,,
54845-9957,PF,Serge,Serge Ibaka,Ibaka,25.46896468,29,5200,UTA@LAC,LAC,UTA,,,
54845-17333,SF,Will,Will Barton,Barton,23.10399902,25,5200,DEN@CLE,DEN,CLE,GTD,Personal,
54845-9809,SF,Nicolas,Nicolas Batum,Batum,23.62592683,27,5100,UTA@LAC,LAC,UTA,GTD,Concussion,
54845-70827,C,Ivica,Ivica Zubac,Zubac,20.35333252,30,5100,UTA@LAC,LAC,UTA,,,
54845-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,22.46428571,28,5100,OKC@MIL,MIL,OKC,,,
54845-85305,SF,Kenrich,Kenrich Williams,Williams,14.78571429,28,5100,OKC@MIL,OKC,MIL,,,
54845-18338,PF,Royce,Royce O'Neale,O'Neale,22.75172372,29,5100,UTA@LAC,UTA,LAC,,,
54845-117779,PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,18.32500076,16,5000,GS@ORL,GS,ORL,,,
54845-111273,SG,Luguentz,Luguentz Dort,Dort,20.90740741,27,5000,OKC@MIL,OKC,MIL,,,
54845-15557,C,Andre,Andre Drummond,Drummond,42.53600098,25,5000,DEN@CLE,CLE,DEN,O,Not injury related,
54845-110346,PF,Isaiah,Isaiah Roby,Roby,19.99090854,22,5000,OKC@MIL,OKC,MIL,,,
54845-9621,C,Brook,Brook Lopez,Lopez,22.31785801,28,5000,OKC@MIL,MIL,OKC,,,
54845-81529,PF,Daniel,Daniel Theis,Theis,21.25384521,26,4900,ATL@BOS,BOS,ATL,,,
54845-145347,C,James,James Wiseman,Wiseman,24.01999969,20,4900,GS@ORL,GS,ORL,,,
54845-12355,SG,Eric,Eric Bledsoe,Bledsoe,23.47037082,27,4800,PHO@NO,NO,PHO,,,
54845-14523,PG,Reggie,Reggie Jackson,Jackson,18.05185163,27,4800,UTA@LAC,LAC,UTA,,,
54845-15800,PF,Jae,Jae Crowder,Crowder,22.25,24,4800,PHO@NO,PHO,NO,,,
54845-40562,SF,Josh,Josh Hart,Hart,23.09999956,28,4700,PHO@NO,NO,PHO,,,
54845-84711,SG,Grayson,Grayson Allen,Allen,19.34210526,19,4700,DET@MEM,MEM,DET,,,
54845-15993,PG,Pat,Pat Connaughton,Connaughton,15.86,25,4600,OKC@MIL,MIL,OKC,,,
54845-9637,SF,Danilo,Danilo Gallinari,Gallinari,15.57499981,16,4600,ATL@BOS,ATL,BOS,,,
54845-9660,C,Dwight,Dwight Howard,Howard,18.03793019,29,4600,CHI@PHI,PHI,CHI,,,
54845-23572,SF,Taurean,Taurean Prince,Prince,18.68888911,27,4500,DEN@CLE,CLE,DEN,GTD,Ankle,
54845-17491,SF,James,James Ennis,Ennis,16.525,20,4500,GS@ORL,ORL,GS,GTD,Groin,
54845-14501,C,Tristan,Tristan Thompson,Thompson,19.29615432,26,4500,ATL@BOS,BOS,ATL,,,
54845-12474,PG,Patrick,Patrick Beverley,Beverley,21.01499939,20,4500,UTA@LAC,LAC,UTA,,,
54845-110339,SG,Cam,Cam Reddish,Reddish,21.375,24,4500,ATL@BOS,ATL,BOS,,,
54845-15628,SF,Otto,Otto Porter,Porter,23.4375,16,4500,CHI@PHI,CHI,PHI,O,Back,
54845-11074,SF,Garrett,Garrett Temple,Temple,19.17307692,26,4500,CHI@PHI,CHI,PHI,,,
54845-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,18.93999939,10,4500,GS@ORL,ORL,GS,,,
54845-9560,PF,Blake,Blake Griffin,Griffin,25.06499939,20,4500,DET@MEM,DET,MEM,O,Not injury related,
54845-145308,PF,Patrick,Patrick Williams,Williams,19.95384568,26,4500,CHI@PHI,CHI,PHI,,,
54845-145336,PF,Xavier,Xavier Tillman,Tillman,19.76315789,19,4500,DET@MEM,MEM,DET,,,
54845-66061,SG,Dwayne,Dwayne Bacon,Bacon,17.93793146,29,4400,GS@ORL,ORL,GS,,,
54845-63127,C,Willy,Willy Hernangomez,Hernangomez,18.40769254,13,4400,PHO@NO,NO,PHO,,,
54845-16081,PF,Khem,Khem Birch,Birch,19.15861985,29,4400,GS@ORL,ORL,GS,,,
54845-84691,PG,Shake,Shake Milton,Milton,21.972727,22,4400,CHI@PHI,PHI,CHI,,,
54845-84721,PF,Jarred,Jarred Vanderbilt,Vanderbilt,20.25555646,27,4400,TOR@MIN,MIN,TOR,,,
54845-17894,PF,Mike,Mike Muscala,Muscala,16.60384662,26,4400,OKC@MIL,OKC,MIL,,,
54845-16448,PF,Frank,Frank Kaminsky,Kaminsky,16.58999939,20,4300,PHO@NO,PHO,NO,,,
54845-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,17.30000036,17,4300,TOR@MIN,MIN,TOR,,,
54845-24546,SF,Denzel,Denzel Valentine,Valentine,17.63043478,23,4300,CHI@PHI,CHI,PHI,,,
54845-9703,PG,George,George Hill,Hill,21.0214277,14,4300,OKC@MIL,OKC,MIL,O,Thumb,
54845-15405,PF,JaMychal,JaMychal Green,Green,20.08333333,24,4200,DEN@CLE,DEN,CLE,GTD,Shoulder,
54845-12351,C,Derrick,Derrick Favors,Favors,18.61111111,27,4200,UTA@LAC,UTA,LAC,,,
54845-67707,PF,Marquese,Marquese Chriss,Chriss,17.79999924,2,4200,GS@ORL,GS,ORL,O,Lower leg,
54845-145547,PG,Facundo,Facundo Campazzo,Campazzo,11.28,25,4200,DEN@CLE,DEN,CLE,,,
54845-63126,SF,Cedi,Cedi Osman,Osman,21.18620774,29,4200,DEN@CLE,CLE,DEN,,,
54845-58081,PG,Tyus,Tyus Jones,Jones,22.42500051,24,4200,DET@MEM,MEM,DET,,,
54845-110336,PF,Chuma,Chuma Okeke,Okeke,14.25384639,13,4200,GS@ORL,ORL,GS,,,
54845-55056,PF,Dario,Dario Saric,Saric,19.2,10,4200,PHO@NO,PHO,NO,,,
54845-9538,SF,Trevor,Trevor Ariza,Ariza,19.82452738,53,4200,OKC@MIL,OKC,MIL,O,Personal,
54845-23097,PG,Tomas,Tomas Satoransky,Satoransky,17.85000038,16,4100,CHI@PHI,CHI,PHI,,,
54845-23788,SG,Bryn,Bryn Forbes,Forbes,11.60357121,28,4100,OKC@MIL,MIL,OKC,,,
54845-110323,C,Eric,Eric Paschall,Paschall,16.15769254,26,4100,GS@ORL,GS,ORL,,,
54845-110341,SG,Dylan,Dylan Windler,Windler,14.6799998,15,4100,DEN@CLE,CLE,DEN,,,
54845-40396,PG,Monte,Monte Morris,Morris,20.45926016,27,4100,DEN@CLE,DEN,CLE,,,
54845-37931,C,Aron,Aron Baynes,Baynes,14.54,25,4000,TOR@MIN,TOR,MIN,,,
54845-15583,SG,Seth,Seth Curry,Curry,21.31363609,22,4000,CHI@PHI,PHI,CHI,,,
54845-110315,SG,Terance,Terance Mann,Mann,11.35185185,27,4000,UTA@LAC,LAC,UTA,,,
54845-9455,PG,Rajon,Rajon Rondo,Rondo,12.67142814,14,4000,ATL@BOS,ATL,BOS,O,Back,
54845-9466,PG,D.J.,D.J. Augustin,Augustin,12.55925949,27,4000,OKC@MIL,MIL,OKC,,,
54845-110995,C,Naz,Naz Reid,Reid,24.86666757,27,4000,TOR@MIN,MIN,TOR,,,
54845-145307,PF,Isaiah,Isaiah Stewart,Stewart,16.17307692,26,4000,DET@MEM,DET,MEM,,,
54845-15771,C,Gorgui,Gorgui Dieng,Dieng,19.01052696,19,4000,DET@MEM,MEM,DET,,,
54845-24544,SG,Gary,Gary Harris,Harris,17.75789442,19,4000,DEN@CLE,DEN,CLE,O,Thigh,
54845-66046,SG,Luke,Luke Kennard,Kennard,14.88275883,29,4000,UTA@LAC,LAC,UTA,GTD,Knee,
54845-145541,PG,R.J.,R.J. Hampton,Hampton,5.761904762,21,3900,DEN@CLE,DEN,CLE,,,
54845-66196,SG,PJ,PJ Dozier,Dozier,16.67647059,17,3900,DEN@CLE,DEN,CLE,O,Hamstring,
54845-58576,C,Kevon,Kevon Looney,Looney,12.47142828,21,3900,GS@ORL,GS,ORL,O,Ankle,
54845-9956,SG,Wayne,Wayne Ellington,Ellington,15.72381011,21,3900,DET@MEM,DET,MEM,,,
54845-58084,SF,Justise,Justise Winslow,Winslow,26.32727328,11,3900,DET@MEM,MEM,DET,O,Hip,
54845-110317,PG,Jaylen,Jaylen Nowell,Nowell,14.54666646,15,3900,TOR@MIN,MIN,TOR,,,
54845-110316,SF,Cameron,Cameron Johnson,Johnson,19.31851761,27,3900,PHO@NO,PHO,NO,,,
54845-110325,PF,Daniel,Daniel Gafford,Gafford,14.79130488,23,3900,CHI@PHI,CHI,PHI,,,
54845-19781,SF,Kent,Kent Bazemore,Bazemore,16.27036992,27,3900,GS@ORL,GS,ORL,,,
54845-145334,SG,Desmond,Desmond Bane,Bane,17.08000031,20,3900,DET@MEM,MEM,DET,,,
54845-145335,PG,Payton,Payton Pritchard,Pritchard,15.74090854,22,3900,ATL@BOS,BOS,ATL,,,
54845-117289,PF,Juwan,Juwan Morgan,Morgan,3.508333206,12,3800,UTA@LAC,UTA,LAC,,,
54845-84703,PG,De'Anthony,De'Anthony Melton,Melton,22.68333435,12,3800,DET@MEM,MEM,DET,,,
54845-9446,PG,Jeff,Jeff Teague,Teague,12.49565191,23,3800,ATL@BOS,BOS,ATL,,,
54845-23802,PG,Kris,Kris Dunn,Dunn,22.38627355,51,3800,ATL@BOS,ATL,BOS,O,Ankle,
54845-145305,PF,Zeke,Zeke Nnaji,Nnaji,4.373333232,15,3800,DEN@CLE,DEN,CLE,,,
54845-145319,PF,Jaden,Jaden McDaniels,McDaniels,14.38695626,23,3800,TOR@MIN,MIN,TOR,,,
54845-145316,PG,Kira,Kira Lewis,Lewis,10.70588235,17,3800,PHO@NO,NO,PHO,,,
54845-80814,PG,Dennis,Dennis Smith,Smith,9.299999782,7,3800,DET@MEM,DET,MEM,,,
54845-145489,PG,Killian,Killian Hayes,Hayes,9.728571211,7,3700,DET@MEM,DET,MEM,,,
54845-70822,PF,Juancho,Juancho Hernangomez,Hernangomez,14.34615385,13,3700,TOR@MIN,MIN,TOR,,,
54845-84675,C,Mo,Mo Bamba,Bamba,12.29230793,13,3700,GS@ORL,ORL,GS,,,
54845-110322,PG,Jordan,Jordan Poole,Poole,8.740000407,15,3700,GS@ORL,GS,ORL,,,
54845-85238,SG,Yuta,Yuta Watanabe,Watanabe,10.51666684,18,3700,TOR@MIN,TOR,MIN,,,
54845-110333,SF,Jarrett,Jarrett Culver,Culver,17.40625,16,3700,TOR@MIN,MIN,TOR,,,
54845-110355,SF,Mfiondu,Mfiondu Kabengele,Kabengele,2.452941221,17,3700,UTA@LAC,LAC,UTA,,,
54845-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,18.00869618,23,3700,PHO@NO,NO,PHO,,,
54845-111492,PF,Amir,Amir Coffey,Coffey,4.736842105,19,3700,UTA@LAC,LAC,UTA,,,
54845-48567,PG,Cameron,Cameron Payne,Payne,15.375,16,3700,PHO@NO,PHO,NO,,,
54845-48598,SF,Semi,Semi Ojeleye,Ojeleye,11.35185185,27,3700,ATL@BOS,BOS,ATL,,,
54845-58350,SF,Stanley,Stanley Johnson,Johnson,10.98400024,25,3700,TOR@MIN,TOR,MIN,,,
54845-9739,PF,JaVale,JaVale McGee,McGee,19.66999969,20,3600,DEN@CLE,CLE,DEN,,,
54845-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,9.543859649,57,3600,DEN@CLE,CLE,DEN,GTD,Concussion,
54845-17517,SG,Tony,Tony Snell,Snell,6.58666687,15,3600,ATL@BOS,ATL,BOS,,,
54845-23156,PF,Georges,Georges Niang,Niang,9.441378889,29,3600,UTA@LAC,UTA,LAC,,,
54845-23676,PG,Damyean,Damyean Dotson,Dotson,14.11666616,24,3600,DEN@CLE,CLE,DEN,,,
54845-49336,SG,DeAndre',DeAndre' Bembry,Bembry,10.47368421,19,3600,TOR@MIN,TOR,MIN,,,
54845-14554,SF,E'Twaun,E'Twaun Moore,Moore,11.07142857,14,3600,PHO@NO,PHO,NO,,,
54845-23780,SF,Jake,Jake Layman,Layman,12.40000032,19,3600,TOR@MIN,MIN,TOR,,,
54845-84708,C,Robert,Robert Williams,Williams,19.10476249,21,3600,ATL@BOS,BOS,ATL,,,
54845-110320,SF,Matisse,Matisse Thybulle,Thybulle,12.95384568,26,3600,CHI@PHI,PHI,CHI,,,
54845-110340,C,Jaxson,Jaxson Hayes,Hayes,10.55714271,21,3600,PHO@NO,NO,PHO,,,
54845-55060,SF,Bogdan,Bogdan Bogdanovic,Bogdanovic,18.03333367,9,3600,ATL@BOS,ATL,BOS,O,Knee,
54845-16790,PG,Brad,Brad Wanamaker,Wanamaker,12.44482738,29,3600,GS@ORL,GS,ORL,,,
54845-145329,SF,Paul,Paul Reed,Reed,8.9,5,3600,CHI@PHI,PHI,CHI,,,
54845-101393,SG,Paul,Paul Watson,Watson,3.446153787,13,3500,TOR@MIN,TOR,MIN,,,
54845-117273,SF,Mychal,Mychal Mulder,Mulder,7.114285605,28,3500,GS@ORL,GS,ORL,,,
54845-9758,SF,Danny,Danny Green,Green,19.62758663,29,3500,CHI@PHI,PHI,CHI,,,
54845-117285,SF,Vlatko,Vlatko Cancar,Cancar,2.838461656,13,3500,DEN@CLE,DEN,CLE,,,
54845-117286,C,Moses,Moses Brown,Brown,8.214285714,7,3500,OKC@MIL,OKC,MIL,,,
54845-110639,PF,Sekou,Sekou Doumbouya,Doumbouya,8.733333588,24,3500,DET@MEM,DET,MEM,,,
54845-110638,SG,Deividas,Deividas Sirvydis,Sirvydis,0.375,4,3500,DET@MEM,DET,MEM,,,
54845-117808,PF,Marques,Marques Bolden,Bolden,4.03333346,6,3500,DEN@CLE,CLE,DEN,,,
54845-12340,PF,Patrick,Patrick Patterson,Patterson,8.15,10,3500,UTA@LAC,LAC,UTA,,,
54845-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,4.400000095,2,3500,GS@ORL,ORL,GS,,,
54845-15417,SF,Solomon,Solomon Hill,Hill,10.5,28,3500,ATL@BOS,ATL,BOS,,,
54845-112709,SG,Javonte,Javonte Green,Green,11.16666667,18,3500,ATL@BOS,BOS,ATL,,,
54845-112710,C,Tacko,Tacko Fall,Fall,11.19999949,6,3500,ATL@BOS,BOS,ATL,,,
54845-12365,C,Ed,Ed Davis,Davis,12.73157863,19,3500,TOR@MIN,MIN,TOR,,,
54845-145491,PF,Nathan,Nathan Knight,Knight,6.366666582,9,3500,ATL@BOS,ATL,BOS,,,
54845-110697,PF,Nicolo,Nicolo Melli,Melli,7.030769348,13,3500,PHO@NO,NO,PHO,,,
54845-41077,SG,Sindarius,Sindarius Thornwell,Thornwell,3.060000038,10,3500,PHO@NO,NO,PHO,,,
54845-116340,SG,Terence,Terence Davis,Davis,11.28181804,22,3500,TOR@MIN,TOR,MIN,,,
54845-41082,C,Damian,Damian Jones,Jones,4.109090978,11,3500,PHO@NO,PHO,NO,,,
54845-41083,PF,Luke,Luke Kornet,Kornet,5.133333206,6,3500,CHI@PHI,CHI,PHI,,,
54845-145532,SG,Jay,Jay Scrubb,Scrubb,0,,3500,UTA@LAC,LAC,UTA,,,
54845-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,12.85294118,17,3500,OKC@MIL,OKC,MIL,,,
54845-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,13.34444427,18,3500,CHI@PHI,PHI,CHI,,,
54845-14509,SG,Klay,Klay Thompson,Thompson,0,,3500,GS@ORL,GS,ORL,O,Achilles,
54845-23740,PG,Ryan,Ryan Arcidiacono,Arcidiacono,7.900000139,11,3500,CHI@PHI,CHI,PHI,,,
54845-84683,PF,Jaren,Jaren Jackson,Jackson,29.97931119,58,3500,DET@MEM,MEM,DET,,,
54845-84689,SF,Josh,Josh Okogie,Okogie,13.4043473,23,3500,TOR@MIN,MIN,TOR,,,
54845-145623,PF,Mamadi,Mamadi Diakite,Diakite,0,,3500,OKC@MIL,MIL,OKC,,,
54845-84696,SG,Jevon,Jevon Carter,Carter,8.104347561,23,3500,PHO@NO,PHO,NO,,,
54845-145624,SG,Ty-Shon,Ty-Shon Alexander,Alexander,0.900000016,3,3500,PHO@NO,PHO,NO,,,
54845-145631,SF,Greg,Greg Whittington,Whittington,0,,3500,DEN@CLE,DEN,CLE,,,
54845-84707,SF,Chandler,Chandler Hutchison,Hutchison,5.857142857,7,3500,CHI@PHI,CHI,PHI,,,
54845-145632,PF,Killian,Killian Tillie,Tillie,0,,3500,DET@MEM,MEM,DET,,,
54845-58083,C,Jahlil,Jahlil Okafor,Okafor,7.991666794,12,3500,DET@MEM,DET,MEM,O,Knee,
54845-110308,SF,Jarrell,Jarrell Brantley,Brantley,2.349999905,8,3500,UTA@LAC,UTA,LAC,,,
54845-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,12.2037037,27,3500,DET@MEM,DET,MEM,,,
54845-110313,C,Bol,Bol Bol,Bol,3.399999936,12,3500,DEN@CLE,DEN,CLE,,,
54845-110827,SG,Matt,Matt Thomas,Thomas,4.057142803,14,3500,TOR@MIN,TOR,MIN,,,
54845-110319,PG,Tremont,Tremont Waters,Waters,7.89999983,9,3500,ATL@BOS,BOS,ATL,,,
54845-110318,PF,Grant,Grant Williams,Williams,12.12916692,24,3500,ATL@BOS,BOS,ATL,,,
54845-110321,SG,Romeo,Romeo Langford,Langford,5.771874905,32,3500,ATL@BOS,BOS,ATL,,,
54845-110324,SG,Miye,Miye Oni,Oni,4.617391172,23,3500,UTA@LAC,UTA,LAC,,,
54845-110329,PF,Bruno,Bruno Fernando,Fernando,6.860000102,15,3500,ATL@BOS,ATL,BOS,,,
54845-110331,SG,Ty,Ty Jerome,Jerome,8.361290716,31,3500,OKC@MIL,OKC,MIL,,,
54845-110332,PG,Carsen,Carsen Edwards,Edwards,7.77692296,13,3500,ATL@BOS,BOS,ATL,,,
54845-110338,SF,De'Andre,De'Andre Hunter,Hunter,29.96666802,18,3500,ATL@BOS,ATL,BOS,,,
54845-111372,SF,Thanasis,Thanasis Antetokounmpo,Antetokounmpo,6.038888719,18,3500,OKC@MIL,MIL,OKC,,,
54845-19726,SF,Abdel,Abdel Nader,Nader,12.27500025,12,3500,PHO@NO,PHO,NO,,,
