,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
72,Jeff Green,PF,HOU@DAL,HOU,21.42,4283,4000,283,23.73,3954,14.81,18.32,17.17,9.0,,,0.0,0.0
73,Wesley Matthews,SG,BOS@MIL,MIL,19.58,3916,3900,16,19.28,3213,14.4,16.14,16.13,17.0,,,0.0,0.0
74,P.J. Tucker,C,HOU@DAL,HOU,21.04,4207,3900,307,20.91,3484,21.45,18.98,17.03,9.0,,,0.0,0.0
75,Richaun Holmes,PF,SAC@SA,SAC,31.05,6210,3900,2310,31.31,5218,29.54,28.7,28.7,10.0,GTD,Not injury related,0.0,0.0
76,Pat Connaughton,SG,BOS@MIL,MIL,18.94,3789,3800,-11,18.54,3089,14.19,12.95,12.73,17.0,,,0.0,0.0
77,Robin Lopez,C,BOS@MIL,MIL,17.46,3491,3800,-309,15.72,2619,11.1,10.08,13.73,2.0,,,0.0,0.0
78,Cory Joseph,PG,SAC@SA,SAC,12.3,2460,3800,-1340,13.07,2179,16.63,15.7,22.0,16.0,,,0.1973886355491328,0.0
79,Lonnie Walker,SG,SAC@SA,SA,20.05,4010,3800,210,19.14,3189,11.26,14.66,15.43,23.0,GTD,Lower leg,0.0,0.0
80,Ian Mahinmi,C,PHO@WAS,WAS,20.08,4016,3800,216,18.95,3157,21.0,16.14,16.53,12.0,,,0.0,0.0
81,Austin Rivers,PG,HOU@DAL,HOU,18.65,3729,3800,-71,20.03,3338,15.71,16.84,20.5,6.0,,,0.0,0.0
82,Eric Gordon,SF,HOU@DAL,HOU,23.16,4633,3800,833,23.16,3859,21.06,26.98,18.6,6.0,,,0.0,1.3167758412999753
83,George Hill,PG,BOS@MIL,MIL,20.29,4058,3800,258,19.45,3242,19.2,16.75,23.03,8.0,,,0.1646889993261037,0.0
84,Cheick Diallo,PF,PHO@WAS,PHO,16.35,3270,3700,-430,15.93,2655,9.83,14.22,9.27,18.0,,,0.0,0.0
85,Jabari Parker,PF,SAC@SA,SAC,12.33,2466,3700,-1234,12.54,2091,27.85,12.85,12.85,24.0,,,0.0,0.0
86,Kyle Korver,SG,BOS@MIL,MIL,19.36,3873,3700,173,18.23,3037,12.19,13.63,10.97,5.0,,,0.0,0.0
