"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","Dillon Brooks",3800,"LAC@MEM 12/23/2017 08:00PM ET",15.875,"MEM","LAC",0,15.9,14
"C","Cody Zeller",3800,"MIL@CHA 12/23/2017 07:00PM ET",17.882,"CHA","MIL",0,0,0
"PG","Emmanuel Mudiay",3800,"DEN@GS 12/23/2017 08:30PM ET",18.405,"DEN","GS",0,0,0
"SG/SF","Torrey Craig",3800,"DEN@GS 12/23/2017 08:30PM ET",16.063,"DEN","GS",0,13.1,9
"SG","Marco Belinelli",3700,"DAL@ATL 12/23/2017 07:30PM ET",20,"ATL","DAL",0,16.3,4.75
"PG/SG","Jerian Grant",3700,"CHI@BOS 12/23/2017 07:30PM ET",20.75,"CHI","BOS",0,12.8,21
"C","Aron Baynes",3700,"CHI@BOS 12/23/2017 07:30PM ET",14.843,"BOS","CHI",0,14,19.25
"SF/PF","Jerami Grant",3700,"OKC@UTA 12/23/2017 08:00PM ET",16.725,"OKC","UTA",0,12.9,10
"SG/SF","Glenn Robinson III",3700,"BKN@IND 12/23/2017 07:00PM ET",0,"IND","BKN",0,0,0
"PF/C","Ed Davis",3700,"POR@LAL 12/23/2017 09:30PM ET",16.032,"POR","LAL",0,17.6,10.75
"PG","Tyler Ulis",3700,"MIN@PHO 12/23/2017 09:00PM ET",17.386,"PHO","MIN",0,18,11
"SF/PF","Jamil Wilson",3700,"LAC@MEM 12/23/2017 08:00PM ET",12.479,"LAC","MEM",0,16.2,11.5
"PG/SF","Patrick McCaw",3700,"DEN@GS 12/23/2017 08:30PM ET",9.769,"GS","DEN",0,16.9,13
"PG/SG","Devin Harris",3600,"DAL@ATL 12/23/2017 07:30PM ET",16.577,"DAL","ATL",0,15.8,16.75
"SG/SF","Thabo Sefolosha",3600,"OKC@UTA 12/23/2017 08:00PM ET",17.516,"UTA","OKC",0,12.9,12.5
"PG","Mike James",3600,"MIN@PHO 12/23/2017 09:00PM ET",21.242,"PHO","MIN",0,0,0
