slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
hillge01,George Hill,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1271,1,6,0,1,2,2,1,1,4,3,0,1,3,4.8
willijo04,Johnathan Williams,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,934,1,2,0,0,3,4,3,1,0,0,0,0,3,4.8
willima02,Marvin Williams,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,1721,4,11,0,6,0,0,0,4,0,1,1,0,0,4.8
bateske01,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,1108,3,7,0,2,1,2,1,1,0,2,0,0,3,4.7
finnedo01,Dorian Finney-Smith,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,1318,1,5,1,5,4,4,0,2,2,0,0,0,3,4.7
cartemi01,Michael Carter-Williams,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1097,1,5,1,2,0,2,2,4,6,0,1,2,0,4.6
ferreyo01,Yogi Ferrell,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,990,3,7,1,3,0,0,0,2,1,1,0,1,0,4.6
kennalu01,Luke Kennard,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1846,3,9,2,5,0,0,0,7,2,0,0,2,0,4.4
morrimo01,Monte Morris,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,1406,3,7,0,2,0,1,1,0,4,0,0,1,0,4.4
anderju01,Justin Anderson,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,506,1,1,1,1,0,0,0,2,0,2,0,1,0,4.3
collijo01,John Collins,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,1191,5,12,0,3,2,2,3,4,0,0,1,3,6,4.2
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,655,3,6,1,3,2,2,1,1,0,0,0,2,2,4.2
bertada01,Davis Bertans,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,1183,2,5,2,5,0,0,0,2,1,0,1,0,3,4.1
arizatr01,Trevor Ariza,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,404,2,4,1,3,1,1,0,0,0,0,0,0,0,4.0
breweco01,Corey Brewer,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,421,2,3,0,1,0,0,1,2,0,0,0,0,0,4.0
johnsst04,Stanley Johnson,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,963,3,5,2,3,0,0,0,1,2,0,0,3,1,4.0
