Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56311-84695,SG,Gary,Gary Trent,Trent,21.92954600941051,44,4700,TOR@OKC,TOR,OKC,,,,,,SG
56311-84711,SG,Grayson,Grayson Allen,Allen,19.509374618530273,32,4700,UTA@MEM,MEM,UTA,GTD,Hip,,,,SG
56311-80814,PG,Dennis,Dennis Smith,Smith,19.42105263157895,19,4700,POR@DET,DET,POR,O,Back,,,,PG
56311-15947,SG,Reggie,Reggie Bullock,Bullock,17.1875,40,4600,NY@MIN,NY,MIN,,,,,,SG
56311-15993,SG,Pat,Pat Connaughton,Connaughton,17.54883664153343,43,4600,MIL@LAL,MIL,LAL,,,,,,SG
56311-110326,PG,Coby,Coby White,White,27.277271617542613,44,4600,CHI@PHO,CHI,PHO,GTD,Neck,,,,PG
56311-110354,PF,Nicolas,Nicolas Claxton,Claxton,21.093332926432293,15,4600,HOU@BKN,BKN,HOU,,,,,,PF
56311-18338,PF,Royce,Royce O'Neale,O'Neale,21.93695599099864,46,4600,UTA@MEM,UTA,MEM,,,,,,PF
56311-145319,PF,Jaden,Jaden McDaniels,McDaniels,15.822500610351563,40,4600,NY@MIN,MIN,NY,,,,,,PF
56311-23097,PG,Tomas,Tomas Satoransky,Satoransky,19.28529447667739,34,4500,CHI@PHO,CHI,PHO,,,,,,PG
56311-145533,PF,Kenyon,Kenyon Martin,Martin,17.11052663702714,19,4500,HOU@BKN,HOU,BKN,,,,,,PF
56311-85137,SG,Duncan,Duncan Robinson,Robinson,20.87659600440492,47,4500,MIA@IND,MIA,IND,,,,,,SG
56311-14529,PG,Cory,Cory Joseph,Joseph,15.823404515043219,47,4500,POR@DET,DET,POR,,,,,,PG
56311-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,22.043478260869566,46,4500,UTA@MEM,UTA,MEM,,,,,,SF
56311-19138,PG,Elfrid,Elfrid Payton,Payton,22.826316431949014,38,4500,NY@MIN,NY,MIN,,,,,,PG
56311-84702,SG,Lonnie,Lonnie Walker,Walker,18.921620961782093,37,4500,SAC@SA,SA,SAC,GTD,Wrist,,,,SG
56311-81529,PF,Daniel,Daniel Theis,Theis,21.9860470793968,43,4400,CHI@PHO,CHI,PHO,,,,,,PF
56311-18600,PG,Tyler,Tyler Johnson,Johnson,10.04642813546317,28,4400,HOU@BKN,BKN,HOU,,,,,,PG
56311-84694,SG,Bruce,Bruce Brown,Brown,18.16511571130087,43,4400,HOU@BKN,BKN,HOU,,,,,,SG
56311-85305,SF,Kenrich,Kenrich Williams,Williams,16.539130169412363,46,4400,TOR@OKC,OKC,TOR,,,,,,SF
56311-9538,PF,Trevor,Trevor Ariza,Ariza,18.266666412353516,6,4400,MIA@IND,MIA,IND,,,,,,PF
56311-16196,C,Dwight,Dwight Powell,Powell,11.831250190734863,32,4400,DAL@BOS,DAL,BOS,,,,,,C
56311-9556,SF,Eric,Eric Gordon,Gordon,25.44814724392361,27,4400,HOU@BKN,HOU,BKN,O,Groin,,,,SF
56311-9561,C,DeAndre,DeAndre Jordan,Jordan,22.033333333333335,45,4400,HOU@BKN,BKN,HOU,,,,,,C
56311-145313,PF,Jordan,Jordan Nwora,Nwora,8.506666564941407,15,4400,MIL@LAL,MIL,LAL,,,,,,PF
56311-12363,C,Hassan,Hassan Whiteside,Whiteside,19.814285278320312,28,4300,SAC@SA,SAC,SA,GTD,Knee,,,,C
56311-66968,SF,Derrick,Derrick Jones,Jones,19.447618756975448,42,4300,POR@DET,POR,DET,,,,,,SF
56311-42733,SF,David,David Nwaba,Nwaba,20.00333251953125,30,4200,HOU@BKN,HOU,BKN,O,Wrist,,,,SF
56311-9481,PF,Taj,Taj Gibson,Gibson,14.394999694824218,20,4200,NY@MIN,NY,MIN,,,,,,PF
56311-145307,PF,Isaiah,Isaiah Stewart,Stewart,18.206817626953125,44,4200,POR@DET,DET,POR,,,,,,PF
56311-80809,SG,Josh,Josh Jackson,Jackson,23.86829208746189,41,4200,POR@DET,DET,POR,,,,,,SG
56311-9648,PF,Jeff,Jeff Green,Green,18.113954056140987,43,4200,HOU@BKN,BKN,HOU,,,,,,PF
56311-14501,C,Tristan,Tristan Thompson,Thompson,20.705556233723957,36,4100,DAL@BOS,BOS,DAL,O,Covid-19,,,,C
