,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
59,Paul George,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,25.4985,3.5408620000000015,2.22762,2.79523,5.656488,4.6356,0.54462,1.4206800000000002,2.0799400000000006,38.984,34.1169596,33.9
60,Marcus Smart,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,29.93883333333333,2.741378,1.8210199999999999,2.474671,4.701951,4.3779200000000005,0.5634399999999999,1.5824699999999998,2.01568,27.008,30.051758200000005,23.0
61,Troy Brown,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,27.169333333333334,3.810857999999999,1.3117,1.160126,5.455275,3.66108,0.4585800000000001,1.2998399999999999,1.4250699999999998,21.795,28.605081999999996,25.3
62,Jaylen Hoard,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,12.907166666666665,2.3197276219999994,0.5886890784210526,1.460553241614035,4.056227935052631,1.5764949231578946,0.38542158315789476,0.758757982368421,0.7290307395614032,11.341,17.801799584694738,8.4
63,Kemba Walker,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,32.698,3.2531480000000004,2.60426,4.992447,4.929543000000001,4.45716,0.30714,1.2886800000000003,1.7826099999999996,36.539,34.9175646,24.8
64,E'Twaun Moore,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,16.459833333333332,2.7464444746491226,1.2197602807017542,1.0386319431666666,3.8444825552368425,1.9228204038596488,0.4899312707017544,0.7704501460526315,0.8401185564035087,10.218999999999998,20.629437100503505,11.2
65,P.J. Tucker,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,33.179,1.9499659999999999,1.69048,0.8139590000000001,5.418684,2.98964,0.5534,1.25199,1.2568899999999998,18.966999999999995,24.931491800000003,17.2
66,Dāvis Bertāns,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,30.877666666666666,1.5391819999999994,2.33462,2.0200649999999998,5.402661,3.2628800000000004,0.40444,1.13712,1.3661600000000003,28.188,26.738322199999995,15.899999999999999
67,Montrezl Harrell,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,22.650333333333332,6.138958000000001,0.766,2.188442,6.322467,2.83956,0.89284,1.0104900000000003,1.4039700000000006,26.360999999999997,32.916678399999995,16.7
68,Shaquille Harrison,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,9.207166666666666,1.6178087001578945,0.4500075396491228,0.8819549795877193,1.975847305736842,1.2399436726315787,0.2103692207017544,0.5954468518421051,0.534214347631579,12.139000000000001,11.581761144682456,12.4
69,Jakob Poeltl,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,14.039,2.8070655386315786,0.5659933684210526,1.4009311209473685,4.007383782947369,2.0186013094736843,0.5414472852631579,0.6984106942105262,0.9121951084210526,14.871999999999998,19.357183637221056,14.4
70,Hamidou Diallo,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,16.5595,2.8539757887368418,0.8074935131578947,0.9347027206052632,4.264870463763157,1.830992630526316,0.28682797105263164,0.8282974744736841,0.9766705944736843,8.230999999999998,19.298174081963154,6.9
71,Cristiano Felício,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,21.439166666666665,3.491256,0.85374,2.9502610000000002,7.5723329999999995,2.28344,0.88754,1.1311499999999999,1.1430599999999997,15.354000000000001,29.9189626,13.9
