Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
40,Malik Beasley\beaslma01,SG,24,MIN,33,1093,15.9,.582,.520,.131,2.5,12.9,7.5,12.4,1.2,0.5,8.5,24.4,,1.1,0.5,1.6,.071,,2.4,-2.1,0.3,0.6
41,Jordan Bell\belljo01,C,26,WAS,3,50,8.0,.333,.133,.000,10.3,23.6,16.9,13.2,0.9,5.2,16.7,14.9,,-0.1,0.1,0.0,-0.033,,-5.1,-1.2,-6.3,-0.1
42,DeAndre' Bembry\bembrde01,SF,26,TOR,27,443,10.5,.633,.256,.233,2.7,11.1,6.8,16.7,1.6,1.8,22.2,11.9,,0.4,0.4,0.7,.079,,-2.6,0.6,-2.0,0.0
43,Dāvis Bertāns\bertada01,PF,28,WAS,30,783,11.3,.601,.888,.264,1.8,11.0,6.3,4.9,1.1,0.8,5.9,16.2,,1.0,0.4,1.4,.086,,0.2,-1.6,-1.4,0.1
44,Patrick Beverley\beverpa01,PG,32,LAC,28,678,13.3,.613,.655,.220,4.6,12.9,8.8,11.7,1.8,2.8,12.2,14.4,,1.1,0.8,1.9,.134,,-0.1,0.9,0.8,0.5
45,Saddiq Bey\beysa01,SF,21,DET,34,778,12.5,.582,.693,.212,2.5,17.1,9.5,7.7,1.3,0.1,7.4,17.4,,0.9,0.6,1.5,.090,,0.3,-1.0,-0.8,0.3
46,Tyler Bey\beyty01,SF,22,DAL,4,13,14.0,.444,.000,.800,16.9,8.3,12.6,0.0,0.0,7.3,0.0,22.9,,0.0,0.0,0.0,.067,,-1.1,-3.4,-4.5,0.0
47,Khem Birch\birchkh01,C,28,ORL,35,703,15.6,.564,.085,.451,12.8,14.9,13.8,7.5,1.4,3.3,9.4,12.4,,1.3,0.7,2.0,.138,,-0.9,-0.6,-1.5,0.1
48,Goga Bitadze\bitadgo01,C,21,IND,16,148,14.1,.569,.319,.277,8.4,16.0,12.2,3.8,1.0,8.8,13.2,17.8,,0.1,0.2,0.3,.093,,-4.0,1.1,-2.9,0.0
49,Bismack Biyombo\biyombi01,C,28,CHO,33,736,12.0,.566,.007,.438,10.4,16.9,13.6,8.7,0.6,5.2,15.5,11.1,,0.8,0.7,1.5,.095,,-2.6,-0.3,-2.9,-0.2
50,Nemanja Bjelica\bjeline01,PF,32,SAC,19,342,15.0,.589,.375,.317,6.3,19.9,13.0,17.0,0.8,0.5,14.9,20.0,,0.5,0.0,0.5,.070,,-0.1,-1.3,-1.4,0.1
51,Eric Bledsoe\bledser01,SG,31,NOP,35,1038,12.7,.552,.493,.223,1.7,11.6,6.6,17.6,1.3,1.0,12.3,18.7,,1.0,0.3,1.2,.057,,-0.4,-1.6,-1.9,0.0
52,Keljin Blevins\blevike01,SF,25,POR,9,47,-3.6,.182,.364,.000,0.0,4.6,2.3,10.6,2.1,0.0,21.4,12.8,,-0.2,0.0,-0.2,-0.191,,-10.9,-3.2,-14.1,-0.1
53,Bogdan Bogdanović\bogdabo01,SG,28,ATL,11,249,9.9,.537,.736,.121,0.9,15.7,8.3,14.2,0.8,0.7,11.9,18.7,,0.1,0.1,0.2,.043,,-0.9,-1.3,-2.2,0.0
54,Bojan Bogdanović\bogdabo02,SF,31,UTA,36,1102,13.3,.587,.556,.248,1.8,11.4,6.8,9.2,0.8,0.1,9.6,20.8,,1.6,1.0,2.6,.114,,0.2,-0.9,-0.7,0.4
55,Bol Bol\bolbo01,PF,21,DEN,15,84,8.0,.612,.455,.091,0.0,14.7,7.5,6.3,1.2,5.8,25.9,16.1,,-0.1,0.1,0.0,-0.001,,-3.8,0.0,-3.8,0.0
56,Marques Bolden\boldema01,C,22,CLE,6,29,13.4,.537,.000,2.667,11.4,12.0,11.7,0.0,3.4,6.3,23.5,12.7,,0.0,0.0,0.0,.067,,-3.4,0.6,-2.8,0.0
57,Jordan Bone\bonejo01,PG,23,ORL,14,196,8.9,.519,.593,.000,2.0,11.0,6.4,13.2,0.5,0.0,5.3,12.5,,0.1,0.1,0.2,.054,,-2.6,-1.6,-4.2,-0.1
58,Isaac Bonga\bongais01,SF,21,WAS,22,271,5.1,.503,.644,.089,3.4,13.9,8.6,6.0,1.0,1.6,16.1,8.5,,0.0,0.2,0.1,.022,,-4.6,-1.2,-5.7,-0.3
59,Devin Booker\bookede01,SG,24,PHO,31,1050,18.6,.597,.304,.293,0.7,11.1,6.0,21.6,1.3,0.7,13.7,31.9,,1.0,1.2,2.3,.103,,0.8,-0.9,-0.1,0.5
60,Chris Boucher\bouchch01,C,28,TOR,36,851,22.9,.660,.425,.348,8.5,22.5,15.3,6.8,1.1,8.3,6.5,20.2,,2.6,1.2,3.9,.219,,3.4,0.3,3.7,1.2
61,Brian Bowen\bowenbr02,SF,22,IND,1,5,17.7,.615,.000,.500,0.0,22.6,11.3,0.0,0.0,0.0,0.0,21.1,,0.0,0.0,0.0,.155,,0.5,-2.4,-1.8,0.0
62,Avery Bradley\bradlav01,SG,30,MIA,10,211,10.4,.607,.576,.136,1.1,8.1,4.8,10.3,1.6,0.5,11.4,16.7,,0.1,0.2,0.3,.076,,-2.7,-0.6,-3.2,-0.1
63,Tony Bradley\bradlto01,C,23,PHI,12,127,20.8,.570,.026,.128,18.7,24.2,21.6,6.9,1.1,4.9,2.4,14.1,,0.4,0.2,0.6,.218,,2.1,-0.4,1.7,0.1
64,Jarrell Brantley\brantja01,PF,24,UTA,10,28,11.7,.550,.700,.000,7.9,18.4,13.3,0.0,1.7,2.8,9.1,16.9,,0.0,0.0,0.1,.103,,-1.6,0.3,-1.3,0.0
65,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,7,11.3,.532,.000,2.000,15.5,15.0,15.2,17.6,0.0,0.0,34.7,18.2,,0.0,0.0,0.0,.032,,-2.9,-1.9,-4.8,0.0
66,Mikal Bridges\bridgmi01,SF,24,PHO,35,1131,16.9,.658,.479,.250,4.8,12.5,8.8,9.4,1.1,2.6,6.9,15.4,,2.8,1.4,4.2,.180,,2.4,0.7,3.1,1.5
67,Miles Bridges\bridgmi02,PF,22,CHO,35,937,12.7,.609,.446,.164,5.2,18.3,11.6,10.9,1.3,2.7,17.2,15.8,,0.7,0.9,1.6,.084,,-1.2,-0.2,-1.4,0.1
68,Malcolm Brogdon\brogdma01,PG,28,IND,34,1211,17.6,.546,.352,.157,2.5,12.2,7.3,27.4,1.6,0.6,9.7,26.1,,1.5,1.0,2.5,.101,,2.6,-1.4,1.2,1.0
69,Dillon Brooks\brookdi01,SF,25,MEM,29,846,11.2,.487,.381,.149,3.5,8.3,5.8,13.3,2.3,1.6,11.1,26.5,,-0.8,1.0,0.2,.009,,-3.1,-1.4,-4.5,-0.5
70,Bruce Brown\brownbr01,PG,24,BRK,33,698,16.2,.634,.165,.265,8.7,15.7,12.4,9.0,1.8,1.2,10.4,15.5,,1.5,0.6,2.1,.147,,-0.3,-0.1,-0.5,0.3
71,Jaylen Brown\brownja02,SG,24,BOS,33,1115,21.0,.591,.318,.271,3.7,15.1,9.3,20.0,1.6,1.3,11.9,30.1,,2.1,1.0,3.1,.132,,4.1,-0.8,3.3,1.5
72,Moses Brown\brownmo01,C,21,OKC,7,31,33.7,.650,.000,1.400,13.5,36.8,25.2,16.7,1.5,11.4,5.8,24.1,,0.1,0.1,0.2,.348,,5.3,3.8,9.1,0.1
73,Sterling Brown\brownst02,SG,25,HOU,32,713,11.9,.585,.648,.077,3.2,17.3,10.0,11.4,2.1,0.9,11.0,13.6,,0.6,0.9,1.5,.101,,-1.7,0.7,-1.0,0.2
74,Troy Brown Jr.\browntr01,SF,21,WAS,17,231,5.4,.459,.535,.169,3.6,20.0,11.6,7.5,0.4,0.8,13.6,15.8,,-0.3,0.1,-0.1,-0.029,,-4.3,-2.3,-6.6,-0.3
75,Jalen Brunson\brunsja01,PG,24,DAL,30,748,17.4,.646,.370,.286,0.9,14.3,7.7,20.7,1.0,0.0,11.4,19.6,,1.8,0.5,2.2,.144,,1.6,-1.0,0.5,0.5
76,Thomas Bryant\bryanth01,C,23,WAS,10,271,18.8,.704,.231,.264,6.9,17.0,11.9,8.6,0.7,2.6,9.8,17.2,,0.7,0.2,0.9,.161,,2.1,-1.7,0.4,0.2
77,Reggie Bullock\bullore01,SF,29,NYK,32,841,8.9,.536,.607,.098,1.3,12.3,6.9,7.2,1.2,0.8,8.3,14.6,,0.3,1.0,1.2,.070,,-2.3,0.3,-2.1,0.0
78,Trey Burke\burketr01,PG,28,DAL,33,537,13.8,.576,.507,.151,0.8,6.0,3.5,14.8,2.0,0.4,8.0,19.5,,0.7,0.3,1.0,.090,,-0.2,-0.1,-0.3,0.2
79,Alec Burks\burksal01,SG,29,NYK,25,617,13.4,.552,.515,.247,2.1,16.3,9.3,12.5,1.5,0.8,9.7,19.9,,0.5,0.8,1.4,.106,,-0.2,-0.1,-0.2,0.3
80,Jimmy Butler\butleji01,SF,31,MIA,22,729,25.4,.571,.108,.581,7.2,18.0,12.8,39.7,2.8,1.2,11.4,27.4,,2.3,1.2,3.5,.233,,4.3,2.5,6.8,1.6
81,Bruno Caboclo\cabocbr01,PF,25,HOU,6,36,9.2,.475,.294,.118,8.5,33.7,20.6,4.8,0.0,4.8,18.3,25.9,,-0.1,0.1,-0.1,-0.068,,-8.5,-2.1,-10.6,-0.1
82,Devontae Cacok\cacokde01,PF,24,LAL,4,17,21.0,.820,.000,.500,6.7,25.9,16.5,0.0,5.7,0.0,29.1,17.6,,0.0,0.0,0.0,.110,,1.2,5.0,6.2,0.0
83,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,33,863,9.7,.585,.567,.205,2.0,8.0,5.1,7.3,1.5,0.9,12.2,14.0,,0.6,1.2,1.7,.096,,-2.0,-0.1,-2.1,0.0
84,Facundo Campazzo\campafa01,PG,29,DEN,30,488,11.7,.580,.690,.294,1.2,6.0,3.6,16.1,2.9,1.4,14.9,15.0,,0.5,0.5,1.0,.103,,-2.0,0.5,-1.4,0.1
85,Vlatko Čančar\cancavl01,PF,23,DEN,20,122,7.6,.490,.500,.214,3.8,21.1,12.6,6.1,2.8,1.6,22.7,14.2,,-0.2,0.2,0.0,.011,,-4.7,1.2,-3.5,0.0
86,Clint Capela\capelca01,C,26,ATL,32,949,24.1,.593,.000,.283,18.4,33.7,26.1,5.1,1.2,6.6,10.4,20.0,,2.1,1.6,3.7,.188,,2.4,0.1,2.4,1.1
87,Vernon Carey Jr.\careyve01,C,19,CHO,3,6,29.7,.387,.333,.667,35.8,18.4,27.2,24.1,0.0,16.8,0.0,27.4,,0.0,0.0,0.0,.198,,7.5,-0.1,7.4,0.0
88,Jevon Carter\carteje01,PG,25,PHO,29,289,9.9,.465,.679,.024,1.2,12.8,7.2,15.7,2.2,2.2,5.6,13.9,,0.1,0.5,0.5,.087,,-2.6,2.9,0.3,0.2
89,Wendell Carter Jr.\cartewe01,C,21,CHI,23,618,16.2,.598,.101,.434,8.9,23.1,16.1,11.7,1.2,2.6,15.4,19.3,,0.8,0.7,1.6,.123,,-1.5,-0.1,-1.6,0.1
90,Michael Carter-Williams\cartemi01,SG,29,ORL,17,450,10.7,.476,.215,.264,6.0,13.2,9.5,22.8,1.1,1.9,16.6,18.4,,-0.1,0.4,0.2,.026,,-3.7,-0.1,-3.9,-0.2
91,Alex Caruso\carusal01,PG,26,LAL,29,577,10.9,.542,.483,.159,3.4,12.0,7.8,16.1,2.5,0.9,17.1,14.1,,0.2,1.0,1.2,.102,,-2.3,2.1,-0.3,0.3
