PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Buddy Hield,SAC,82,1.1,5.80%,0.96,1.1,0.6,1,44.60%,49.40%,5.50%,5.50%,4.00%,2.20%,42.90%,70.6
Dwyane Wade,MIA,72,1.5,8.70%,0.8,1.2,0.9,1.3,30.90%,38.70%,6.50%,3.70%,7.00%,0.90%,33.60%,39.4
Shabazz Napier,BKN,56,1.5,15.00%,0.96,1.4,0.8,1.3,36.10%,43.10%,13.10%,2.40%,13.00%,1.20%,42.90%,72
Marvin Bagley III,SAC,62,1.5,10.10%,0.86,1.3,0.7,1.2,41.10%,42.50%,13.80%,9.60%,14.00%,1.10%,43.60%,53.3
Eric Gordon,HOU,68,1.2,7.30%,1,1.2,0.6,1,44.30%,50.00%,10.00%,3.80%,10.00%,1.30%,46.30%,80.1
Jaren Jackson Jr.,MEM,58,1.4,10.70%,0.96,1.4,0.7,1.2,44.30%,46.40%,14.50%,7.20%,13.00%,6.00%,45.80%,71.6
Allonzo Trier,NYK,64,1.2,10.60%,1,1.2,0.5,0.9,45.80%,50.00%,19.20%,6.40%,18.00%,1.30%,50.00%,80.1
Victor Oladipo,IND,36,2.6,12.90%,0.78,2.1,1.3,2.1,36.50%,41.20%,8.40%,13.70%,8.00%,0.00%,35.80%,35.6
Malcolm Brogdon,MIL,64,1.2,8.40%,0.95,1.1,0.5,0.9,43.90%,48.20%,13.20%,13.20%,11.00%,1.30%,44.70%,68.8
Rodney Hood,CLE,45,1.5,12.50%,1.06,1.6,0.8,1.4,41.90%,50.00%,9.00%,3.00%,9.00%,4.50%,43.30%,85.8
Bogdan Bogdanovic,SAC,70,1.1,7.40%,0.9,1,0.5,0.9,41.30%,46.80%,9.10%,11.70%,6.00%,2.60%,40.30%,56.7
Dion Waiters,MIA,44,2,15.70%,0.77,1.5,1.1,1.7,36.80%,41.40%,4.50%,9.10%,3.00%,0.00%,36.40%,33.7
Jabari Parker,CHI,39,2.6,17.30%,0.67,1.7,1.3,2.1,35.80%,37.00%,6.90%,17.60%,7.00%,3.90%,31.40%,20.7
Ben Simmons,PHI,79,0.9,5.00%,0.93,0.8,0.3,0.6,48.90%,48.90%,23.60%,13.90%,24.00%,2.80%,52.80%,65.1
Antonio Blakeney,CHI,57,1.2,14.80%,0.97,1.2,0.6,1.1,46.70%,48.30%,11.80%,2.90%,10.00%,2.90%,48.50%,74
Lance Stephenson,LAL,68,1,12.70%,0.93,1,0.5,0.9,43.30%,49.20%,7.10%,7.10%,6.00%,0.00%,42.90%,64.6
Klay Thompson,GSW,78,0.9,4.60%,0.9,0.8,0.5,0.8,43.10%,45.40%,5.60%,6.90%,3.00%,2.80%,41.70%,58.5
Bojan Bogdanovic,IND,81,1.1,6.60%,0.76,0.8,0.6,0.9,29.00%,34.80%,12.80%,8.10%,12.00%,1.20%,34.90%,32.5
Jeff Teague,MIN,42,1.9,13.50%,0.82,1.5,1,1.5,34.90%,36.50%,14.10%,6.40%,13.00%,1.30%,41.00%,45.3
Darren Collison,IND,76,0.9,7.50%,0.95,0.8,0.4,0.7,41.80%,46.40%,9.20%,6.20%,6.00%,0.00%,44.60%,69.6
Emmanuel Mudiay,NYK,59,1.3,7.90%,0.82,1.1,0.6,1,37.30%,39.80%,14.50%,10.50%,12.00%,2.60%,40.80%,44.4
Kyle Lowry,TOR,65,1.2,7.60%,0.82,1,0.7,1,36.80%,41.20%,6.60%,6.60%,7.00%,2.60%,36.80%,44.4
Aaron Gordon,ORL,78,1,6.00%,0.79,0.8,0.5,0.8,36.50%,38.90%,11.40%,12.70%,10.00%,3.80%,36.70%,36
Jamal Crawford,PHX,64,1.1,12.60%,0.84,1,0.6,1,35.50%,40.30%,8.20%,6.80%,5.00%,0.00%,38.40%,49.8
Tyreke Evans,IND,69,1.2,9.60%,0.74,0.9,0.7,1,32.40%,36.60%,8.50%,4.90%,7.00%,0.00%,36.60%,29.8
Kyle Kuzma,LAL,70,1.2,6.40%,0.73,0.9,0.6,1,35.30%,37.50%,7.10%,13.10%,7.00%,1.20%,34.50%,27.3
Paul Millsap,DEN,70,1.1,8.70%,0.78,0.8,0.6,0.9,35.00%,35.00%,17.10%,6.60%,16.00%,2.60%,42.10%,34.6
Marcus Morris Sr.,BOS,75,1.2,9.10%,0.64,0.8,0.7,1.1,30.90%,32.10%,5.40%,7.60%,5.00%,1.10%,31.50%,18.3
Fred VanVleet,TOR,64,0.9,7.80%,0.98,0.9,0.4,0.7,44.40%,48.90%,12.30%,12.30%,11.00%,3.50%,43.90%,75.8
Nikola Jokic,DEN,80,0.8,4.20%,0.82,0.7,0.4,0.7,38.90%,41.70%,9.00%,11.90%,4.00%,1.50%,38.80%,45.7
Rodions Kurucs,BKN,63,0.5,5.30%,1.7,0.8,0.1,0.4,82.60%,91.30%,20.00%,10.00%,17.00%,6.70%,76.70%,100
Michael Beasley,LAL,26,1.5,20.60%,1.25,1.9,0.5,1.3,64.70%,64.70%,12.50%,10.00%,10.00%,7.50%,60.00%,97.6
Shai Gilgeous-Alexander,LAC,82,0.6,5.00%,1.06,0.6,0.2,0.4,52.90%,52.90%,21.30%,12.80%,19.00%,6.40%,53.20%,87.2
D.J. Augustin,ORL,81,0.6,5.30%,1.06,0.6,0.2,0.5,47.40%,53.90%,8.50%,10.60%,6.00%,0.00%,46.80%,87.2
Evan Turner,POR,73,0.7,8.20%,1.02,0.7,0.3,0.6,53.70%,53.70%,8.20%,10.20%,8.00%,2.00%,51.00%,81.7
Terry Rozier,BOS,79,0.8,8.00%,0.81,0.6,0.5,0.7,35.10%,41.20%,4.80%,3.20%,3.00%,0.00%,35.50%,40.5
James Johnson,MIA,55,1.1,12.60%,0.79,0.9,0.6,0.9,33.30%,36.50%,13.10%,9.80%,11.00%,1.60%,37.70%,36.5
Rajon Rondo,LAL,46,1.3,10.70%,0.79,1,0.8,1.2,36.80%,40.40%,3.30%,4.90%,3.00%,1.60%,36.10%,36.5
LaMarcus Aldridge,SAS,81,0.6,3.20%,0.87,0.6,0.3,0.5,41.50%,41.50%,17.30%,9.60%,15.00%,5.80%,44.20%,54
Dennis Smith Jr.,DAL,32,1.3,8.60%,1.05,1.4,0.6,1.1,48.60%,55.70%,11.90%,9.50%,12.00%,4.80%,47.60%,84.7
T.J. Warren,PHX,43,1,5.90%,1.05,1,0.4,0.8,47.10%,48.50%,19.00%,4.80%,19.00%,4.80%,52.40%,84.7
Tobias Harris,PHI,27,1.7,9.30%,0.98,1.6,0.8,1.4,43.20%,50.00%,11.10%,8.90%,11.00%,2.20%,44.40%,74.7
Evan Fournier,ORL,81,0.7,4.20%,0.82,0.5,0.3,0.5,41.90%,46.50%,7.40%,16.70%,6.00%,3.70%,37.00%,43.9
Dwayne Bacon,CHA,43,0.7,10.80%,1.34,1,0.3,0.7,60.70%,69.60%,12.50%,6.30%,12.00%,6.30%,59.40%,98.6
Shaquille Harrison,CHI,73,0.7,9.50%,0.82,0.6,0.3,0.5,42.10%,43.40%,15.70%,13.70%,12.00%,3.90%,41.20%,46.2
Malik Monk,CHA,73,0.7,7.20%,0.82,0.6,0.4,0.6,32.60%,36.00%,13.70%,5.90%,12.00%,3.90%,37.30%,46.2
Tony Parker,CHA,56,0.9,8.80%,0.81,0.8,0.4,0.7,40.00%,40.00%,11.50%,11.50%,10.00%,0.00%,42.30%,40.8
Jahlil Okafor,NOP,59,0.7,9.80%,0.93,0.7,0.3,0.6,50.00%,50.00%,9.10%,9.10%,9.00%,0.00%,47.70%,65.7
Alec Burks,CLE,34,1.4,11.40%,0.84,1.2,0.8,1.3,34.90%,40.70%,12.20%,6.10%,10.00%,6.10%,34.70%,50.2
Montrezl Harrell,LAC,82,0.5,3.10%,1.08,0.5,0.1,0.3,59.30%,59.30%,18.90%,13.50%,19.00%,5.40%,56.80%,90.3
Nikola Vucevic,ORL,80,0.4,2.00%,1.18,0.5,0.2,0.4,55.20%,55.20%,12.10%,3.00%,9.00%,3.00%,57.60%,95.2
Jalen Brunson,DAL,73,0.7,7.00%,0.8,0.5,0.3,0.5,40.50%,45.90%,14.30%,12.20%,12.00%,2.00%,36.70%,37.7
Taurean Prince,ATL,54,0.8,5.70%,0.88,0.7,0.4,0.7,39.50%,46.10%,2.40%,7.10%,2.00%,0.00%,38.10%,55.4
Josh Jackson,PHX,79,0.7,5.30%,0.61,0.5,0.4,0.6,24.40%,28.90%,15.30%,8.50%,14.00%,0.00%,32.20%,14.5
Willie Cauley-Stein,SAC,81,0.8,6.90%,0.56,0.4,0.5,0.6,27.50%,27.50%,12.50%,12.50%,12.00%,4.70%,29.70%,8.7
Nicolas Batum,CHA,75,0.4,4.40%,1.13,0.5,0.2,0.4,48.30%,60.30%,0.00%,6.50%,0.00%,0.00%,45.20%,93.1
Harrison Barnes,SAC,28,1.2,8.80%,1.06,1.3,0.6,1,41.40%,48.30%,15.20%,0.00%,12.00%,3.00%,45.50%,86.2
Goran Dragic,MIA,36,0.9,5.70%,1.1,0.9,0.4,0.7,50.00%,59.60%,9.70%,6.50%,10.00%,0.00%,48.40%,92
Terrence Ross,ORL,81,0.5,3.40%,0.87,0.4,0.3,0.4,33.30%,43.10%,5.10%,5.10%,3.00%,2.60%,33.30%,55
Trey Burke,NYK,33,1.5,11.50%,0.71,1,0.9,1.3,31.80%,34.10%,8.30%,4.20%,6.00%,4.20%,31.30%,25.6
Lauri Markkanen,CHI,52,1.1,6.20%,0.58,0.7,0.7,0.9,27.70%,28.70%,6.80%,13.60%,7.00%,0.00%,28.80%,10
Joe Ingles,UTA,82,0.4,3.20%,0.97,0.4,0.2,0.3,44.40%,57.40%,2.90%,17.60%,0.00%,0.00%,38.20%,74
Brook Lopez,MIL,81,0.3,3.00%,1.14,0.4,0.1,0.3,58.30%,62.50%,7.10%,10.70%,7.00%,3.60%,53.60%,93.8
Trey Burke,DAL,25,0.8,8.60%,1.55,1.2,0.1,0.6,78.60%,82.10%,20.00%,10.00%,15.00%,0.00%,75.00%,99.3
Andre Drummond,DET,79,0.5,2.60%,0.84,0.4,0.2,0.3,38.50%,38.50%,18.90%,13.50%,19.00%,2.70%,43.20%,50.5
Cory Joseph,IND,82,0.5,6.20%,0.78,0.4,0.3,0.4,38.20%,38.20%,7.50%,7.50%,5.00%,0.00%,40.00%,34.3
Noah Vonleh,NYK,68,0.5,5.70%,0.88,0.4,0.2,0.4,41.70%,43.80%,17.60%,11.80%,12.00%,0.00%,47.10%,55.9
Tim Hardaway Jr.,NYK,46,0.9,4.80%,0.7,0.7,0.6,0.8,28.90%,34.20%,7.00%,9.30%,5.00%,4.70%,27.90%,24.2
Mario Hezonja,NYK,58,0.8,8.00%,0.63,0.5,0.4,0.6,25.70%,30.00%,10.40%,18.80%,10.00%,2.10%,27.10%,16
Al Horford,BOS,68,0.4,2.80%,1.21,0.4,0.1,0.4,58.30%,58.30%,4.20%,0.00%,4.00%,4.20%,58.30%,96.5
Iman Shumpert,SAC,42,0.6,6.70%,1.07,0.7,0.3,0.5,43.50%,52.20%,11.10%,3.70%,11.00%,0.00%,48.10%,89.3
Derrick White,SAS,67,0.5,4.50%,0.94,0.4,0.2,0.4,42.30%,44.20%,16.10%,6.50%,13.00%,6.50%,45.20%,66.8
Jeff Green,WAS,77,0.5,4.10%,0.81,0.4,0.3,0.4,37.50%,39.10%,5.60%,5.60%,6.00%,0.00%,38.90%,39.8
Harry Giles III,SAC,58,0.8,10.00%,0.63,0.5,0.4,0.6,31.40%,31.40%,10.90%,13.00%,11.00%,0.00%,32.60%,17.6
Kevin Knox II,NYK,75,0.7,4.40%,0.58,0.4,0.4,0.5,25.00%,28.80%,12.00%,10.00%,12.00%,2.00%,28.00%,10.7
Jonathan Isaac,ORL,75,0.3,3.10%,1.22,0.4,0.1,0.2,58.80%,58.80%,26.10%,4.30%,17.00%,4.30%,65.20%,96.9
Quinn Cook,GSW,74,0.4,6.00%,0.93,0.4,0.2,0.4,42.30%,48.10%,6.70%,10.00%,7.00%,3.30%,40.00%,66.3
Jonathon Simmons,ORL,41,0.8,8.30%,0.9,0.7,0.3,0.6,43.50%,50.00%,9.70%,19.40%,10.00%,3.20%,38.70%,58.8
Jabari Parker,WAS,25,1.4,9.00%,0.8,1.1,0.6,1.1,42.90%,46.40%,5.70%,17.10%,6.00%,2.90%,37.10%,38.5
Kris Dunn,CHI,46,0.8,6.10%,0.72,0.6,0.5,0.8,36.80%,36.80%,0.00%,2.60%,0.00%,0.00%,35.90%,26.3
Yogi Ferrell,SAC,71,0.3,5.30%,1.23,0.4,0.1,0.3,55.00%,55.00%,22.70%,0.00%,23.00%,13.60%,59.10%,97.2
Gary Harris,DEN,57,0.5,3.80%,0.93,0.5,0.3,0.4,36.00%,46.00%,6.90%,6.90%,7.00%,0.00%,37.90%,65.4
Al-Farouq Aminu,POR,81,0.3,3.40%,1.04,0.3,0.1,0.2,47.40%,47.40%,20.00%,12.00%,20.00%,8.00%,48.00%,82.7
Dante Exum,UTA,42,0.7,9.00%,0.87,0.6,0.3,0.5,36.80%,39.50%,23.30%,16.70%,23.00%,3.30%,43.30%,54.5
Monte Morris,DEN,82,0.4,3.90%,0.84,0.3,0.2,0.4,37.90%,37.90%,16.10%,0.00%,10.00%,9.70%,41.90%,50.9
Damyean Dotson,NYK,73,0.5,4.40%,0.72,0.4,0.3,0.4,31.30%,37.50%,2.80%,8.30%,3.00%,0.00%,30.60%,27
Austin Rivers,WAS,29,1.3,15.30%,0.68,0.9,0.7,1.1,34.40%,40.60%,2.60%,13.20%,3.00%,0.00%,28.90%,22.5
Ish Smith,DET,56,0.7,6.70%,0.67,0.5,0.4,0.7,35.10%,35.10%,0.00%,5.10%,0.00%,0.00%,33.30%,20.7
Rodney Hood,POR,27,0.9,9.60%,1.04,0.9,0.5,0.9,43.50%,50.00%,4.20%,0.00%,4.00%,0.00%,45.80%,83
Lonzo Ball,LAL,47,0.6,4.70%,0.93,0.5,0.3,0.5,40.90%,50.00%,7.40%,11.10%,4.00%,0.00%,40.70%,64
Delon Wright,MEM,26,1.2,8.70%,0.83,1,0.5,0.8,42.90%,47.60%,10.00%,20.00%,0.00%,0.00%,40.00%,48.6
Mason Plumlee,DEN,82,0.4,5.20%,0.74,0.3,0.2,0.3,40.70%,40.70%,14.70%,11.80%,15.00%,5.90%,38.20%,29.4
Kelly Oubre Jr.,PHX,40,0.5,2.90%,1.2,0.6,0.2,0.5,50.00%,58.30%,10.00%,5.00%,10.00%,5.00%,50.00%,96.2
George Hill,MIL,47,0.6,8.60%,0.86,0.5,0.3,0.5,41.70%,45.80%,7.10%,7.10%,7.00%,0.00%,42.90%,52.2
Tyus Jones,MIN,68,0.5,6.50%,0.71,0.4,0.3,0.5,32.30%,35.50%,5.90%,5.90%,6.00%,2.90%,32.40%,25
Jimmy Butler,MIN,10,2.1,10.60%,1.1,2.3,0.9,1.8,50.00%,58.30%,4.80%,9.50%,5.00%,0.00%,47.60%,91.7
Brandon Knight,CLE,27,0.8,8.90%,1.05,0.9,0.3,0.6,52.90%,64.70%,4.50%,22.70%,5.00%,4.50%,40.90%,83.4
Kevin Huerter,ATL,74,0.3,3.00%,1,0.3,0.1,0.3,42.10%,50.00%,8.70%,8.70%,4.00%,0.00%,43.50%,80.1
Deandre Ayton,PHX,71,0.4,2.70%,0.79,0.3,0.2,0.4,39.30%,39.30%,3.40%,3.40%,3.00%,3.40%,37.90%,37.4
Dennis Smith Jr.,NYK,21,1.7,9.10%,0.66,1.1,1,1.4,33.30%,36.70%,8.60%,8.60%,9.00%,2.90%,28.60%,20.1
Danuel House Jr.,HOU,39,0.4,5.00%,1.38,0.6,0.1,0.3,58.30%,70.80%,18.80%,6.30%,19.00%,0.00%,62.50%,99
Luke Kennard,DET,63,0.3,3.20%,1.16,0.3,0.1,0.3,56.30%,68.80%,0.00%,15.80%,0.00%,0.00%,47.40%,94.5
Trevor Ariza,WAS,43,0.5,3.50%,1,0.5,0.2,0.4,44.40%,58.30%,4.50%,13.60%,5.00%,0.00%,40.90%,80.1
Will Barton,DEN,43,0.5,4.00%,1,0.5,0.2,0.4,37.50%,46.90%,18.20%,9.10%,18.00%,0.00%,45.50%,80.1
Marcus Smart,BOS,80,0.4,4.00%,0.73,0.3,0.2,0.3,38.10%,42.90%,13.30%,20.00%,13.00%,3.30%,36.70%,29.1
Stanley Johnson,DET,48,0.7,7.70%,0.67,0.5,0.4,0.6,29.60%,31.50%,9.10%,9.10%,9.00%,0.00%,33.30%,20.7
Kelly Olynyk,MIA,79,0.2,2.40%,1.17,0.3,0.1,0.2,50.00%,50.00%,22.20%,11.10%,11.00%,0.00%,55.60%,94.8
OG Anunoby,TOR,67,0.3,4.50%,0.96,0.3,0.1,0.3,50.00%,55.60%,4.50%,18.20%,5.00%,4.50%,40.90%,70.1
DeAndre' Bembry,ATL,81,0.3,2.70%,0.96,0.3,0.1,0.2,61.50%,61.50%,22.70%,27.30%,18.00%,9.10%,45.50%,70.1
Norman Powell,TOR,60,0.5,5.70%,0.75,0.4,0.3,0.5,33.30%,38.90%,0.00%,3.60%,0.00%,0.00%,32.10%,31
Raymond Felton,OKC,34,0.4,7.70%,1.67,0.6,0.1,0.4,75.00%,83.30%,0.00%,0.00%,0.00%,0.00%,75.00%,99.7
Kent Bazemore,ATL,67,0.3,2.50%,0.91,0.3,0.1,0.2,46.70%,50.00%,13.60%,18.20%,9.00%,0.00%,45.50%,60.5
DeMarre Carroll,BKN,67,0.4,3.40%,0.77,0.3,0.2,0.2,26.70%,26.70%,30.80%,11.50%,27.00%,0.00%,42.30%,33.2
J.J. Barea,DAL,38,0.9,7.40%,0.56,0.5,0.6,0.8,28.10%,29.70%,5.60%,5.60%,0.00%,0.00%,27.80%,8.3
Richaun Holmes,PHX,70,0.3,3.70%,1.06,0.3,0.1,0.2,50.00%,50.00%,16.70%,5.60%,11.00%,0.00%,55.60%,85.1
Chasson Randle,WAS,49,0.4,6.60%,1,0.4,0.1,0.2,41.70%,45.80%,31.60%,5.30%,32.00%,0.00%,52.60%,80.1
Cameron Payne,CHI,31,0.7,10.00%,0.91,0.6,0.3,0.5,43.80%,46.90%,14.30%,14.30%,14.00%,4.80%,42.90%,59.2
Jerian Grant,ORL,60,0.4,8.00%,0.83,0.3,0.2,0.3,35.00%,37.50%,17.40%,0.00%,17.00%,4.30%,39.10%,47.2
Bryn Forbes,SAS,82,0.3,2.60%,0.83,0.2,0.1,0.2,33.30%,36.10%,17.40%,8.70%,13.00%,4.30%,39.10%,47.2
Trey Lyles,DEN,64,0.5,4.70%,0.66,0.3,0.3,0.3,27.30%,31.80%,13.80%,13.80%,14.00%,3.40%,27.60%,19.7
Justise Winslow,MIA,66,0.5,3.70%,0.54,0.3,0.3,0.5,30.00%,31.70%,2.90%,11.40%,3.00%,0.00%,25.70%,7.6
Carmelo Anthony,HOU,10,2,14.30%,0.9,1.8,1.1,1.7,35.30%,38.20%,15.00%,0.00%,15.00%,0.00%,45.00%,57.6
Seth Curry,POR,74,0.3,4.40%,0.75,0.2,0.2,0.3,36.80%,42.10%,4.20%,16.70%,4.00%,0.00%,33.30%,31
Rondae Hollis-Jefferson,BKN,59,0.4,3.90%,0.72,0.3,0.2,0.4,33.30%,33.30%,12.00%,8.00%,8.00%,4.00%,36.00%,26.6
Josh Richardson,MIA,73,0.4,2.40%,0.6,0.2,0.3,0.4,26.90%,28.80%,6.70%,6.70%,7.00%,0.00%,30.00%,12.7
