PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Joe Johnson,UTA,78,1.4,15.30%,0.79,1.1,0.8,1.3,37.50%,39.90%,3.60%,3.60%,3.60%,0.90%,37.80%,43.1
D'Angelo Russell,LAL,63,1.4,7.80%,0.96,1.3,0.7,1.2,40.50%,46.60%,12.50%,5.70%,10.20%,2.30%,43.20%,74.6
Kemba Walker,CHA,79,1.4,6.20%,0.76,1.1,0.8,1.2,34.70%,36.20%,7.30%,5.50%,7.30%,1.80%,36.40%,38.6
Aaron Gordon,ORL,80,0.9,6.80%,1.16,1,0.4,0.8,50.80%,52.50%,16.90%,2.80%,16.90%,5.60%,54.90%,96.6
Will Barton,DEN,61,1,7.50%,1.29,1.3,0.4,0.8,53.10%,62.20%,22.20%,6.30%,20.60%,6.30%,57.10%,98.3
Elfrid Payton,ORL,82,1.2,8.10%,0.84,1,0.5,0.9,47.90%,47.90%,12.50%,16.70%,10.40%,3.10%,43.80%,52
Brook Lopez,BKN,75,1.2,6.00%,0.89,1.1,0.5,0.9,42.30%,43.00%,17.80%,10.00%,16.70%,6.70%,44.40%,61.6
Evan Turner,POR,65,1.3,12.20%,0.93,1.2,0.5,1,47.80%,47.80%,11.80%,12.90%,10.60%,3.50%,45.90%,69.2
Rondae Hollis-Jefferson,BKN,78,0.9,9.40%,1.06,1,0.4,0.7,43.40%,43.40%,27.40%,4.10%,27.40%,4.10%,54.80%,90.8
Reggie Jackson,DET,52,1.4,8.80%,1.03,1.5,0.7,1.3,46.20%,50.80%,8.00%,6.70%,6.70%,1.30%,46.70%,87.1
Jabari Parker,MIL,51,2,10.30%,0.73,1.5,1,1.6,35.40%,36.60%,10.70%,10.70%,10.70%,1.00%,36.90%,33.9
Klay Thompson,GSW,78,0.9,4.20%,1.1,0.9,0.3,0.7,52.70%,54.50%,11.90%,6.00%,9.00%,0.00%,55.20%,94.6
Darren Collison,SAC,68,1.2,8.90%,0.94,1.1,0.5,0.9,41.30%,43.70%,16.50%,5.10%,15.20%,1.30%,48.10%,70.8
Cory Joseph,TOR,80,0.9,8.40%,1.06,0.9,0.3,0.7,50.90%,50.90%,17.40%,8.70%,17.40%,5.80%,52.20%,91.2
Michael Beasley,MIL,56,1.2,13.20%,1.03,1.3,0.5,1,51.80%,51.80%,13.20%,8.80%,11.80%,4.40%,50.00%,87.5
Rodney Hood,UTA,59,1.5,11.40%,0.79,1.2,0.9,1.3,31.60%,36.20%,10.10%,6.70%,9.00%,2.20%,34.80%,42.4
Sean Kilpatrick,BKN,70,0.8,6.10%,1.14,1,0.4,0.7,45.10%,55.90%,13.60%,5.10%,13.60%,5.10%,47.50%,95.9
Kristaps Porzingis,NYK,66,1.5,7.90%,0.7,1,0.8,1.1,31.10%,31.80%,13.50%,10.40%,11.50%,1.00%,34.40%,28.1
Bojan Bogdanovic,BKN,55,1.4,9.90%,0.87,1.2,0.7,1,35.10%,38.60%,18.40%,11.80%,18.40%,5.30%,39.50%,56.6
Courtney Lee,NYK,77,0.8,7.60%,1.05,0.8,0.3,0.7,49.00%,54.90%,9.70%,8.10%,9.70%,0.00%,48.40%,89.5
Nicolas Batum,CHA,77,0.8,5.10%,1,0.8,0.4,0.7,43.90%,48.20%,9.20%,3.10%,10.80%,1.50%,46.20%,82.6
Zach LaVine,MIN,47,1.7,9.20%,0.83,1.4,0.9,1.3,35.50%,39.50%,12.80%,10.30%,12.80%,2.60%,38.50%,50.2
Iman Shumpert,CLE,76,0.9,10.70%,0.97,0.8,0.4,0.7,47.20%,48.10%,12.30%,7.70%,9.20%,1.50%,49.20%,75.9
Brandon Knight,PHX,54,1.3,9.90%,0.93,1.2,0.6,1,41.80%,47.30%,11.80%,11.80%,8.80%,4.40%,41.20%,68.5
Nikola Jokic,DEN,73,0.9,6.10%,0.91,0.8,0.4,0.8,47.30%,49.10%,8.80%,11.80%,5.90%,1.50%,45.60%,65.6
DeMarcus Cousins,NOP,17,4.1,16.40%,0.88,3.6,1.5,3.1,50.00%,51.90%,7.20%,20.30%,7.20%,2.90%,42.00%,60.3
Joel Embiid,PHI,31,1.8,8.30%,1.04,1.8,0.5,1.1,54.30%,58.60%,16.40%,21.80%,16.40%,1.80%,49.10%,88.1
Andrew Harrison,MEM,72,0.9,11.90%,0.86,0.8,0.4,0.6,32.50%,37.50%,28.10%,10.90%,21.90%,1.60%,46.90%,55.9
Trevor Booker,BKN,71,0.7,6.80%,1.02,0.7,0.3,0.6,52.20%,55.40%,1.90%,9.60%,1.90%,0.00%,48.10%,85.1
Tim Hardaway Jr.,ATL,79,0.7,4.90%,0.98,0.7,0.3,0.6,42.20%,48.90%,13.00%,7.40%,13.00%,3.70%,44.40%,77.6
Spencer Dinwiddie,BKN,59,0.9,12.00%,1,0.9,0.4,0.7,46.30%,50.00%,15.40%,7.70%,13.50%,1.90%,50.00%,82.6
George Hill,UTA,49,1.2,7.80%,0.87,1.1,0.7,1.1,35.80%,40.60%,10.00%,3.30%,10.00%,1.70%,40.00%,56.3
Kevin Love,CLE,61,1,5.50%,0.84,0.9,0.5,0.8,42.00%,43.00%,8.10%,11.30%,8.10%,0.00%,41.90%,50.8
Deron Williams,DAL,40,1.9,12.90%,0.69,1.3,1,1.6,34.90%,34.90%,8.00%,9.30%,6.70%,1.30%,36.00%,27.5
Marcus Smart,BOS,79,0.9,7.40%,0.67,0.6,0.6,0.7,25.40%,28.80%,14.70%,8.00%,14.70%,2.70%,32.00%,23.6
Evan Fournier,ORL,68,0.7,4.10%,1.02,0.7,0.2,0.4,48.30%,56.90%,20.80%,22.90%,20.80%,4.20%,45.80%,85.8
Jamal Murray,DEN,82,0.6,5.90%,0.94,0.6,0.3,0.5,40.00%,44.40%,7.70%,5.80%,5.80%,0.00%,42.30%,72.9
T.J. Warren,PHX,67,1,7.00%,0.73,0.7,0.6,0.9,35.10%,36.00%,9.10%,7.60%,9.10%,3.00%,36.40%,33.3
Brandon Jennings,NYK,58,0.8,7.70%,1.02,0.8,0.4,0.7,41.90%,48.80%,8.70%,2.20%,6.50%,4.30%,43.50%,86.1
Jeff Green,ORL,69,0.8,7.40%,0.9,0.7,0.4,0.6,40.50%,42.90%,11.50%,9.60%,11.50%,1.90%,42.30%,64.4
Tim Frazier,NOP,65,0.8,9.60%,0.87,0.7,0.4,0.6,42.50%,47.50%,11.10%,14.80%,11.10%,0.00%,40.70%,56.9
Rudy Gay,SAC,30,2.3,12.00%,0.69,1.6,1.3,1.9,31.60%,33.30%,8.80%,11.80%,5.90%,4.40%,30.90%,26.5
Nikola Vucevic,ORL,75,0.9,5.60%,0.69,0.6,0.5,0.9,35.90%,35.90%,1.50%,5.90%,1.50%,1.50%,33.80%,26.5
Willie Cauley-Stein,SAC,75,0.7,7.90%,0.94,0.6,0.3,0.5,43.60%,43.60%,18.40%,10.20%,18.40%,8.20%,44.90%,71.9
Ish Smith,DET,81,0.6,5.70%,0.89,0.6,0.3,0.6,44.40%,45.60%,7.70%,5.80%,7.70%,0.00%,44.20%,60.9
Hassan Whiteside,MIA,77,0.8,4.50%,0.79,0.6,0.4,0.7,37.00%,37.00%,6.90%,1.70%,6.90%,1.70%,39.70%,43.5
Greg Monroe,MIL,81,0.7,6.00%,0.79,0.6,0.3,0.6,42.60%,42.60%,6.90%,12.10%,8.60%,1.70%,39.70%,43.5
Rodney Stuckey,IND,39,1.2,13.30%,0.98,1.2,0.5,0.9,38.20%,42.60%,23.90%,4.30%,23.90%,4.30%,47.80%,77.3
Tyreke Evans,SAC,14,2.4,19.00%,1.29,3.1,0.9,1.9,55.60%,61.10%,17.60%,5.90%,14.70%,2.90%,58.80%,98.6
Al Horford,BOS,68,0.6,4.00%,1.13,0.6,0.3,0.5,48.60%,50.00%,20.50%,5.10%,17.90%,15.40%,48.70%,95.6
Jeremy Lin,BKN,36,1.3,8.80%,0.92,1.2,0.5,1,48.60%,50.00%,10.40%,14.60%,8.30%,2.10%,45.80%,66.7
Emmanuel Mudiay,DEN,56,0.8,6.30%,0.89,0.8,0.4,0.6,41.70%,41.70%,14.90%,8.50%,14.90%,0.00%,46.80%,62
Norman Powell,TOR,76,0.6,7.50%,0.86,0.6,0.3,0.5,36.80%,36.80%,16.30%,8.20%,16.30%,2.00%,42.90%,55.3
Jameer Nelson,DEN,75,0.7,6.90%,0.81,0.6,0.3,0.6,39.50%,41.90%,5.80%,11.50%,5.80%,0.00%,38.50%,46.8
Jonathon Simmons,SAS,78,0.8,11.60%,0.65,0.5,0.4,0.6,34.00%,35.00%,7.70%,13.80%,9.20%,0.00%,33.80%,22
J.J. Barea,DAL,35,1.1,9.10%,1.05,1.2,0.6,1,42.90%,47.10%,12.80%,0.00%,10.30%,2.60%,48.70%,89.8
Victor Oladipo,OKC,67,0.7,4.20%,0.87,0.6,0.4,0.7,36.40%,43.20%,6.40%,4.30%,6.40%,4.30%,36.20%,57.5
Tyler Ulis,PHX,61,0.8,9.10%,0.8,0.7,0.5,0.7,33.30%,34.50%,12.00%,4.00%,12.00%,0.00%,40.00%,44.8
Nik Stauskas,PHI,80,0.6,6.10%,0.8,0.5,0.4,0.5,30.20%,37.20%,10.00%,4.00%,10.00%,0.00%,36.00%,44.8
Raymond Felton,LAC,80,0.9,11.00%,0.58,0.5,0.6,0.8,26.90%,28.40%,1.40%,1.40%,1.40%,0.00%,27.50%,14.9
Jeremy Lamb,CHA,62,0.6,6.60%,1.03,0.6,0.3,0.5,42.90%,48.20%,18.40%,7.90%,18.40%,0.00%,50.00%,86.8
Gerald Henderson,PHI,72,0.6,6.40%,0.84,0.5,0.3,0.5,41.20%,42.60%,11.40%,13.60%,11.40%,2.30%,40.90%,51.2
Patrick Beverley,HOU,67,0.8,7.70%,0.7,0.6,0.4,0.6,34.20%,36.80%,11.30%,17.00%,11.30%,0.00%,34.00%,28.5
Joe Ingles,UTA,82,0.4,5.10%,1.2,0.4,0.2,0.3,51.90%,61.10%,6.70%,3.30%,6.70%,0.00%,53.30%,97.3
Caris LeVert,BKN,57,0.7,8.10%,0.92,0.6,0.3,0.5,37.90%,43.10%,15.40%,10.30%,10.30%,0.00%,43.60%,67.8
Justin Anderson,DAL,51,0.8,11.50%,0.88,0.7,0.4,0.6,34.50%,37.90%,19.50%,12.20%,19.50%,2.40%,41.50%,58.6
Terrence Ross,TOR,54,0.6,6.00%,1.09,0.6,0.3,0.5,46.40%,53.60%,9.40%,3.10%,9.40%,0.00%,50.00%,93.9
Devin Harris,DAL,65,0.5,7.30%,1.03,0.5,0.2,0.4,42.30%,46.20%,15.20%,9.10%,15.20%,3.00%,45.50%,87.8
Terry Rozier,BOS,74,0.5,7.60%,0.92,0.5,0.3,0.4,42.40%,47.00%,8.10%,8.10%,8.10%,5.40%,40.50%,67.5
Shaun Livingston,GSW,76,0.5,10.00%,0.85,0.4,0.3,0.5,41.70%,41.70%,5.00%,5.00%,5.00%,0.00%,42.50%,53.9
Frank Kaminsky,CHA,75,0.5,4.20%,0.85,0.5,0.2,0.4,41.90%,41.90%,15.00%,15.00%,15.00%,7.50%,40.00%,53.9
Ty Lawson,SAC,69,0.5,4.40%,1,0.5,0.2,0.4,42.30%,46.20%,15.20%,6.10%,12.10%,0.00%,48.50%,82.6
Arron Afflalo,SAC,61,0.7,8.20%,0.81,0.5,0.4,0.6,36.10%,37.50%,7.30%,4.90%,7.30%,0.00%,39.00%,46.1
Malcolm Delaney,ATL,73,0.6,8.90%,0.72,0.5,0.4,0.6,38.10%,39.30%,2.20%,6.50%,2.20%,0.00%,34.80%,31.6
Tony Parker,SAS,63,0.7,6.50%,0.72,0.5,0.3,0.6,38.90%,38.90%,8.70%,15.20%,6.50%,2.20%,37.00%,31.6
Terrence Jones,NOP,51,1,8.20%,0.66,0.6,0.5,0.8,32.50%,32.50%,14.00%,8.00%,14.00%,2.00%,36.00%,23.1
Ryan Anderson,HOU,72,0.3,2.60%,1.39,0.4,0.1,0.2,60.00%,66.70%,30.40%,4.30%,26.10%,0.00%,69.60%,99.3
Monta Ellis,IND,74,0.5,5.20%,0.82,0.4,0.2,0.4,43.30%,46.70%,7.70%,15.40%,7.70%,0.00%,41.00%,48.8
Aaron Brooks,IND,65,0.6,11.00%,0.76,0.5,0.3,0.5,36.40%,37.90%,11.90%,11.90%,11.90%,2.40%,38.10%,38.1
Dante Exum,UTA,66,0.5,7.10%,0.91,0.5,0.2,0.4,40.70%,40.70%,17.60%,5.90%,14.70%,2.90%,47.10%,65.6
Kent Bazemore,ATL,73,0.6,4.70%,0.72,0.4,0.2,0.4,35.70%,39.30%,16.30%,18.60%,16.30%,0.00%,37.20%,32.2
Malcolm Brogdon,MIL,75,0.7,7.00%,0.55,0.4,0.3,0.5,34.20%,34.20%,5.40%,26.80%,5.40%,0.00%,28.60%,12.9
T.J. McConnell,PHI,81,0.4,4.20%,1,0.4,0.1,0.3,56.00%,56.00%,3.30%,13.30%,0.00%,0.00%,50.00%,82.6
Buddy Hield,SAC,25,1.4,9.50%,0.86,1.2,0.7,1.2,43.30%,50.00%,0.00%,14.30%,0.00%,0.00%,37.10%,55.3
Enes Kanter,OKC,72,0.5,3.80%,0.81,0.4,0.2,0.4,46.40%,46.40%,8.10%,21.60%,8.10%,5.40%,37.80%,47.8
Tyler Johnson,MIA,73,0.5,3.90%,0.75,0.4,0.3,0.5,29.40%,29.40%,17.50%,2.50%,15.00%,5.00%,37.50%,36.6
Lou Williams,HOU,23,1.2,7.70%,1.07,1.3,0.5,0.9,42.90%,47.60%,14.80%,7.40%,14.80%,0.00%,48.10%,92.2
David Lee,SAS,79,0.4,5.30%,1,0.4,0.1,0.3,52.20%,52.20%,10.30%,10.30%,10.30%,0.00%,51.70%,82.6
Avery Bradley,BOS,55,0.8,5.10%,0.63,0.5,0.5,0.7,27.50%,33.80%,2.20%,10.90%,2.20%,0.00%,26.10%,20
Jerami Grant,OKC,78,0.4,7.40%,0.9,0.4,0.2,0.3,47.80%,50.00%,16.10%,6.50%,19.40%,0.00%,45.20%,64.1
Trevor Ariza,HOU,80,0.5,3.90%,0.78,0.4,0.3,0.4,32.30%,35.50%,11.10%,5.60%,11.10%,2.80%,36.10%,40.8
Jonas Valanciunas,TOR,80,0.3,2.90%,1.04,0.3,0.1,0.3,50.00%,50.00%,15.40%,7.70%,11.50%,0.00%,53.80%,88.5
Buddy Hield,NOP,57,0.5,5.50%,0.93,0.5,0.2,0.4,47.80%,52.20%,6.90%,13.80%,6.90%,0.00%,44.80%,69.5
Jerian Grant,CHI,63,0.5,8.50%,0.84,0.4,0.3,0.4,40.70%,46.30%,6.30%,12.50%,6.30%,3.10%,37.50%,52
Tony Allen,MEM,71,0.6,5.30%,0.68,0.4,0.3,0.5,37.50%,37.50%,7.50%,15.00%,7.50%,2.50%,35.00%,24.7
Isaiah Whitehead,BKN,73,0.8,8.30%,0.47,0.4,0.5,0.6,24.40%,24.40%,5.20%,17.20%,5.20%,0.00%,24.10%,6.8
Dirk Nowitzki,DAL,54,0.5,3.60%,0.93,0.5,0.2,0.4,47.80%,47.80%,10.70%,10.70%,10.70%,3.60%,46.40%,68.8
Thomas Robinson,LAL,48,0.6,10.70%,0.9,0.5,0.2,0.4,57.10%,57.10%,13.80%,17.20%,13.80%,3.40%,48.30%,62.9
E'Twaun Moore,NOP,73,0.4,4.10%,0.9,0.4,0.2,0.3,45.50%,47.70%,10.30%,13.80%,10.30%,0.00%,44.80%,62.9
Kentavious Caldwell-Pope,DET,76,0.4,3.00%,0.81,0.3,0.3,0.4,27.60%,31.00%,9.40%,0.00%,9.40%,0.00%,34.40%,48.1
Rajon Rondo,CHI,69,0.6,5.30%,0.65,0.4,0.3,0.5,35.30%,36.80%,2.50%,12.50%,2.50%,0.00%,32.50%,22.4
Yogi Ferrell,DAL,36,0.9,7.60%,0.76,0.7,0.5,0.8,33.30%,38.90%,6.10%,12.10%,3.00%,0.00%,33.30%,37.6
JR Smith,CLE,41,0.9,9.30%,0.69,0.6,0.5,0.8,33.30%,34.80%,5.60%,5.60%,5.60%,2.80%,33.30%,27.8
Andre Drummond,DET,81,0.5,3.50%,0.58,0.3,0.3,0.4,31.30%,31.30%,14.00%,16.30%,11.60%,4.70%,32.60%,15.3
Deron Williams,CLE,24,1.1,13.80%,0.89,1,0.5,0.9,40.90%,40.90%,18.50%,7.40%,18.50%,7.40%,44.40%,61.6
Trey Burke,WAS,57,0.5,9.60%,0.8,0.4,0.3,0.5,38.50%,44.20%,3.30%,13.30%,3.30%,3.30%,33.30%,44.8
Al-Farouq Aminu,POR,61,0.5,4.90%,0.8,0.4,0.2,0.4,43.50%,43.50%,16.70%,13.30%,16.70%,6.70%,40.00%,44.8
Leandro Barbosa,PHX,67,0.5,6.80%,0.77,0.4,0.2,0.4,38.50%,38.50%,9.70%,9.70%,9.70%,3.20%,38.70%,40
Manu Ginobili,SAS,69,0.5,5.70%,0.73,0.3,0.3,0.4,28.60%,32.10%,9.10%,6.10%,0.00%,0.00%,33.30%,33.3
Mason Plumlee,POR,54,0.6,5.40%,0.71,0.4,0.3,0.5,30.80%,30.80%,26.50%,2.90%,20.60%,5.90%,38.20%,29.3
Randy Foye,BKN,69,0.6,8.80%,0.63,0.3,0.3,0.5,31.30%,34.40%,2.60%,13.20%,2.60%,0.00%,28.90%,20.3
Solomon Hill,NOP,80,0.5,6.40%,0.6,0.3,0.3,0.4,21.40%,21.40%,17.50%,15.00%,17.50%,2.50%,30.00%,17.3
LaMarcus Aldridge,SAS,72,0.6,3.40%,0.56,0.3,0.4,0.5,25.70%,25.70%,7.00%,11.60%,7.00%,0.00%,27.90%,13.6
Nikola Mirotic,CHI,70,0.3,2.60%,1.15,0.3,0.1,0.3,50.00%,57.50%,0.00%,0.00%,0.00%,0.00%,50.00%,96.3
Myles Turner,IND,81,0.3,2.10%,1,0.3,0.1,0.2,40.00%,42.50%,13.00%,0.00%,8.70%,0.00%,47.80%,82.6
Garrett Temple,SAC,66,0.4,4.80%,0.89,0.3,0.2,0.3,42.10%,47.40%,19.20%,15.40%,19.20%,7.70%,42.30%,60.9
Andre Iguodala,GSW,76,0.4,6.00%,0.74,0.3,0.2,0.4,35.70%,39.30%,6.50%,3.20%,6.50%,0.00%,35.50%,35.4
D.J. Augustin,ORL,78,0.4,4.60%,0.74,0.3,0.2,0.3,31.80%,31.80%,16.10%,19.40%,16.10%,6.50%,32.30%,35.4
Marquese Chriss,PHX,82,0.5,4.80%,0.59,0.3,0.2,0.3,34.60%,34.60%,12.80%,20.50%,12.80%,0.00%,33.30%,16.6
JaMychal Green,MEM,77,0.3,3.30%,1,0.3,0.1,0.2,44.40%,44.40%,13.60%,4.50%,13.60%,0.00%,50.00%,82.6
Taj Gibson,CHI,55,0.5,4.30%,0.79,0.4,0.2,0.4,47.80%,47.80%,0.00%,17.90%,0.00%,0.00%,39.30%,41.8
