PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Andrew Wiggins,MIN,82,1.7,8.70%,0.67,1.1,1,1.4,30.10%,32.30%,10.90%,7.20%,8.70%,0.00%,34.10%,17.9
Kyle Kuzma,LAL,77,1.1,6.40%,1.12,1.2,0.4,0.8,49.20%,57.70%,12.30%,8.60%,12.30%,1.20%,50.60%,91.8
Kemba Walker,CHA,80,1.4,6.50%,0.82,1.1,0.8,1.3,35.90%,39.30%,6.30%,2.70%,4.50%,1.80%,37.80%,42.9
Tobias Harris,LAC,32,2.6,14.00%,1.07,2.8,1.2,2.4,50.00%,55.30%,6.00%,4.80%,6.00%,1.20%,50.00%,89.4
Kyle Lowry,TOR,78,1,6.10%,1.15,1.1,0.4,0.7,42.90%,57.10%,17.30%,10.70%,17.30%,2.70%,46.70%,92.2
Marcus Morris Sr.,BOS,54,1.7,12.60%,0.9,1.6,0.9,1.5,41.30%,42.50%,10.80%,3.20%,8.60%,0.00%,45.20%,61.7
Stephen Curry,GSW,51,1.5,6.90%,1.05,1.6,0.6,1.2,51.60%,59.70%,6.40%,12.80%,5.10%,0.00%,47.40%,86.2
Blake Griffin,LAC,33,2.6,11.10%,0.95,2.5,1.3,2.2,41.10%,47.30%,11.60%,5.80%,9.30%,2.30%,43.00%,70.2
Joel Embiid,PHI,63,1.6,6.60%,0.82,1.3,0.8,1.3,42.20%,42.80%,9.10%,9.10%,8.10%,2.00%,42.40%,42
Aaron Gordon,ORL,58,1.7,9.00%,0.82,1.4,0.8,1.3,39.20%,39.90%,16.70%,10.40%,16.70%,4.20%,42.70%,43.6
Will Barton,DEN,81,1.5,9.80%,0.64,1,0.9,1.2,27.30%,29.80%,10.50%,12.10%,10.50%,2.40%,29.80%,14.5
Terry Rozier,BOS,80,1,8.70%,0.95,1,0.6,0.9,38.40%,46.60%,7.30%,6.10%,6.10%,2.40%,39.00%,69.9
Andre Drummond,DET,78,1.3,8.30%,0.73,1,0.5,0.9,37.30%,37.30%,24.00%,13.50%,23.10%,1.90%,41.30%,26.7
Jordan Clarkson,LAL,53,1.4,9.20%,0.99,1.4,0.6,1.1,49.20%,50.80%,13.50%,13.50%,13.50%,6.80%,45.90%,75.2
Jeremy Lamb,CHA,80,1,8.20%,0.88,0.9,0.6,0.9,36.00%,41.30%,10.80%,3.60%,9.60%,4.80%,37.30%,56.7
Reggie Jackson,DET,45,2,12.20%,0.82,1.6,1.1,1.6,35.10%,39.90%,12.40%,5.60%,12.40%,1.10%,38.20%,43.3
Dion Waiters,MIA,30,3,17.30%,0.8,2.4,1.5,2.3,33.80%,38.20%,14.60%,10.10%,12.40%,1.10%,39.30%,37.2
Karl-Anthony Towns,MIN,82,0.8,4.40%,1.03,0.8,0.4,0.6,44.20%,46.20%,18.20%,7.60%,18.20%,4.50%,48.50%,84.4
Ish Smith,DET,82,0.8,7.10%,1,0.8,0.4,0.7,50.80%,50.80%,10.30%,5.90%,10.30%,5.90%,50.00%,80.8
Goran Dragic,MIA,75,1,5.40%,0.93,0.9,0.5,0.8,39.00%,45.80%,11.00%,9.60%,5.50%,1.40%,41.10%,68.1
Nikola Jokic,DEN,75,0.7,4.00%,1.24,0.9,0.2,0.5,58.50%,65.90%,14.80%,11.10%,7.40%,1.90%,57.40%,96.5
Buddy Hield,SAC,80,1,7.20%,0.86,0.8,0.5,0.9,38.60%,45.70%,2.60%,7.70%,2.60%,0.00%,37.20%,52.8
Jonathon Simmons,ORL,69,1.2,8.20%,0.81,1,0.5,0.9,41.90%,43.50%,9.60%,18.10%,9.60%,2.40%,38.60%,39.4
Jaylen Brown,BOS,70,1,6.50%,0.99,0.9,0.4,0.7,43.10%,48.00%,19.40%,4.50%,17.90%,0.00%,50.70%,74.8
Rodney Hood,UTA,39,1.6,9.80%,1.02,1.7,0.8,1.4,42.60%,50.00%,10.90%,6.30%,9.40%,1.60%,43.80%,82.3
Tobias Harris,DET,48,1.5,8.60%,0.93,1.4,0.8,1.3,40.00%,45.00%,11.40%,5.70%,12.90%,4.30%,41.40%,67
JR Smith,CLE,80,0.9,9.90%,0.93,0.8,0.5,0.9,41.20%,46.30%,1.40%,1.40%,1.40%,1.40%,40.60%,65.6
Willie Cauley-Stein,SAC,73,1.2,8.90%,0.73,0.9,0.6,0.9,35.80%,35.80%,15.90%,10.20%,15.90%,2.30%,38.60%,25.1
Kristaps Porzingis,NYK,49,1.9,8.30%,0.7,1.3,1,1.5,36.00%,38.00%,6.60%,12.10%,6.60%,1.10%,34.10%,21.3
Courtney Lee,NYK,76,1,8.20%,0.84,0.8,0.6,0.8,32.30%,40.30%,8.20%,6.80%,8.20%,0.00%,35.60%,47.2
Blake Griffin,DET,25,2.6,12.50%,0.91,2.4,1.5,2.4,35.60%,42.40%,10.60%,1.50%,7.60%,1.50%,39.40%,63.2
Wilson Chandler,DEN,74,1.1,10.40%,0.74,0.8,0.5,0.8,38.70%,39.50%,10.00%,12.50%,10.00%,0.00%,37.50%,28.7
Kris Dunn,CHI,52,1.3,7.70%,0.84,1.1,0.7,1.1,40.70%,42.40%,7.50%,4.50%,6.00%,0.00%,41.80%,47.5
Evan Turner,POR,79,0.9,9.60%,0.81,0.7,0.4,0.7,39.70%,39.70%,8.70%,8.70%,8.70%,1.40%,40.60%,40.8
Marc Gasol,MEM,73,1,5.20%,0.79,0.8,0.5,0.8,37.90%,37.90%,9.90%,8.50%,9.90%,0.00%,40.80%,36.2
T.J. Warren,PHX,65,1.2,6.10%,0.74,0.9,0.6,1,38.70%,38.70%,10.50%,9.20%,10.50%,1.30%,39.50%,28.4
MarShon Brooks,MEM,7,5.3,29.10%,1.46,7.7,1.9,4.9,61.80%,75.00%,10.80%,5.40%,10.80%,8.10%,59.50%,99.3
Darren Collison,IND,69,0.8,7.00%,0.98,0.8,0.4,0.8,44.20%,45.20%,7.30%,0.00%,7.30%,1.80%,47.30%,74.5
Taurean Prince,ATL,82,0.9,5.80%,0.76,0.7,0.5,0.7,34.50%,36.20%,12.70%,11.30%,12.70%,5.60%,35.20%,30.9
De'Aaron Fox,SAC,73,0.8,5.40%,0.93,0.7,0.4,0.7,41.70%,45.80%,12.30%,7.00%,12.30%,3.50%,43.90%,67.7
Alec Burks,UTA,64,0.9,11.30%,0.85,0.8,0.5,0.8,38.00%,47.00%,5.00%,15.00%,5.00%,3.30%,33.30%,50.9
Jeff Green,CLE,78,0.8,7.50%,0.85,0.7,0.4,0.7,37.70%,38.70%,11.70%,3.30%,11.70%,3.30%,41.70%,50.9
Dwight Howard,CHA,81,0.7,4.00%,0.91,0.6,0.2,0.5,50.00%,50.00%,21.80%,12.70%,20.00%,3.60%,49.10%,63.2
Klay Thompson,GSW,73,0.8,4.40%,0.85,0.7,0.4,0.7,40.80%,46.90%,3.40%,13.60%,3.40%,0.00%,37.30%,50.4
Josh Jackson,PHX,77,1,6.30%,0.67,0.6,0.5,0.8,31.70%,32.50%,13.30%,9.30%,13.30%,2.70%,36.00%,17.9
Tim Hardaway Jr.,NYK,59,0.9,5.40%,0.89,0.8,0.5,0.8,36.20%,43.60%,9.10%,7.30%,7.30%,1.80%,38.20%,58.9
Dillon Brooks,MEM,82,0.7,6.00%,0.85,0.6,0.4,0.6,42.30%,45.20%,1.70%,6.90%,3.40%,0.00%,39.70%,48.9
Dwyane Wade,CLE,46,1.5,11.50%,0.73,1.1,0.8,1.2,33.30%,33.30%,13.40%,7.50%,13.40%,6.00%,35.80%,27.3
Jerian Grant,CHI,74,0.9,10.30%,0.71,0.7,0.6,0.8,33.90%,34.70%,10.10%,7.20%,10.10%,7.20%,31.90%,22.3
Malcolm Brogdon,MIL,48,0.7,5.50%,1.46,1,0.2,0.6,65.50%,75.90%,9.10%,3.00%,9.10%,0.00%,66.70%,98.9
Ricky Rubio,UTA,77,0.6,4.20%,1,0.6,0.3,0.5,43.20%,47.30%,18.80%,10.40%,18.80%,6.30%,45.80%,80.8
Zach LaVine,CHI,24,2.1,11.30%,0.96,2,1,1.6,39.50%,44.70%,16.00%,10.00%,14.00%,2.00%,44.00%,71.3
Markieff Morris,WAS,73,0.7,5.90%,0.94,0.7,0.3,0.6,50.00%,50.00%,9.80%,9.80%,9.80%,2.00%,49.00%,69.1
Marcus Smart,BOS,54,1.1,8.80%,0.77,0.9,0.6,0.9,40.00%,42.00%,6.50%,14.50%,6.50%,1.60%,37.10%,33.1
Bogdan Bogdanovic,SAC,78,0.7,5.50%,0.9,0.6,0.4,0.6,36.40%,44.30%,9.60%,5.80%,3.80%,0.00%,40.40%,62.1
Mike James,PHX,32,1.4,11.50%,1,1.4,0.7,1,30.30%,36.40%,30.40%,2.20%,30.40%,4.30%,47.80%,80.8
Nicolas Batum,CHA,64,0.7,5.70%,0.98,0.7,0.4,0.7,45.20%,48.80%,6.40%,6.40%,6.40%,2.10%,44.70%,73.8
Andrew Harrison,MEM,56,1.1,10.30%,0.77,0.8,0.6,0.9,32.70%,34.70%,13.30%,8.30%,13.30%,3.30%,36.70%,31.6
Shabazz Napier,POR,74,1,11.30%,0.61,0.6,0.6,0.8,24.60%,27.90%,7.90%,11.80%,7.90%,0.00%,27.60%,12.4
Yogi Ferrell,DAL,82,0.6,6.10%,0.87,0.5,0.3,0.5,37.80%,42.20%,9.60%,5.80%,9.60%,1.90%,40.40%,54.3
Joe Ingles,UTA,82,0.6,5.40%,0.9,0.5,0.3,0.5,43.60%,47.40%,10.20%,14.30%,8.20%,4.10%,40.80%,60.6
Danilo Gallinari,LAC,21,2.4,16.00%,0.86,2.1,1.2,1.9,37.50%,40.00%,11.80%,9.80%,11.80%,0.00%,41.20%,53.5
Trey Burke,NYK,36,1.6,12.40%,0.79,1.2,0.9,1.4,36.00%,37.00%,7.10%,3.60%,7.10%,0.00%,39.30%,35.8
Serge Ibaka,TOR,76,0.6,4.70%,1,0.6,0.3,0.5,48.70%,50.00%,9.30%,4.70%,7.00%,4.70%,48.80%,80.8
Fred VanVleet,TOR,76,0.7,8.30%,0.78,0.6,0.4,0.6,34.00%,39.40%,5.50%,9.10%,3.60%,0.00%,34.50%,34.4
DeMarre Carroll,BKN,73,0.8,5.90%,0.73,0.6,0.4,0.5,31.60%,32.90%,22.00%,13.60%,13.60%,0.00%,42.40%,26.2
Raymond Felton,OKC,82,0.9,10.90%,0.6,0.5,0.5,0.7,31.70%,35.00%,0.00%,12.90%,1.40%,0.00%,27.10%,10.1
Paul Millsap,DEN,38,1.3,8.80%,0.8,1.1,0.6,1.1,43.90%,43.90%,9.80%,9.80%,7.80%,0.00%,43.10%,38.7
J.J. Barea,DAL,69,0.9,7.40%,0.63,0.6,0.6,0.8,28.60%,32.10%,7.70%,7.70%,6.20%,1.50%,29.20%,13.5
Frank Mason,SAC,52,0.9,10.00%,0.82,0.8,0.5,0.8,38.50%,38.50%,14.30%,8.20%,14.30%,2.00%,42.90%,41.5
Dejounte Murray,SAS,81,0.8,7.60%,0.66,0.5,0.4,0.6,37.00%,37.00%,9.80%,16.40%,8.20%,1.60%,34.40%,17.4
Patty Mills,SAS,82,0.3,3.20%,1.44,0.5,0.1,0.3,66.70%,77.10%,3.70%,7.40%,3.70%,0.00%,63.00%,98.6
Kyle Anderson,SAS,74,0.6,7.00%,0.93,0.5,0.2,0.4,50.00%,50.00%,19.00%,11.90%,14.30%,2.40%,47.60%,67
Bobby Portis,CHI,73,0.6,4.40%,0.91,0.5,0.3,0.5,46.20%,46.20%,9.30%,2.30%,7.00%,2.30%,48.80%,62.4
Frank Kaminsky,CHA,79,0.7,6.30%,0.72,0.5,0.4,0.6,30.40%,30.40%,13.00%,7.40%,13.00%,5.60%,33.30%,24.5
Tyler Ulis,PHX,71,0.8,8.30%,0.65,0.5,0.5,0.6,23.90%,25.00%,18.30%,8.30%,18.30%,3.30%,33.30%,16.4
Garrett Temple,SAC,65,0.5,6.00%,1.09,0.6,0.2,0.4,46.20%,53.80%,20.00%,8.60%,17.10%,2.90%,51.40%,89.7
Evan Fournier,ORL,57,0.7,3.90%,1,0.7,0.3,0.5,46.40%,50.00%,13.20%,13.20%,7.90%,0.00%,47.40%,80.8
Elfrid Payton,ORL,44,0.7,5.00%,1.19,0.8,0.2,0.5,66.70%,66.70%,9.70%,16.10%,9.70%,3.20%,58.10%,94.3
Al Horford,BOS,72,0.5,3.50%,1.12,0.5,0.2,0.4,48.30%,50.00%,15.20%,0.00%,12.10%,3.00%,54.50%,91.5
Rajon Rondo,NOP,66,0.5,5.40%,1.03,0.6,0.3,0.5,47.10%,52.90%,5.60%,2.80%,5.60%,2.80%,47.20%,83.3
D.J. Augustin,ORL,75,0.5,5.10%,0.97,0.5,0.3,0.4,40.60%,48.40%,7.90%,7.90%,7.90%,0.00%,42.10%,73.3
Shaun Livingston,GSW,72,0.5,9.00%,0.97,0.5,0.3,0.5,44.10%,44.10%,10.50%,0.00%,10.50%,0.00%,50.00%,73.3
Dario Saric,PHI,78,0.5,3.20%,1,0.5,0.2,0.4,46.90%,46.90%,11.10%,5.60%,11.10%,5.60%,47.20%,80.8
Mario Hezonja,ORL,75,0.6,6.00%,0.8,0.5,0.3,0.5,35.00%,41.30%,6.70%,4.40%,6.70%,0.00%,35.60%,37.7
LaMarcus Aldridge,SAS,75,0.7,3.10%,0.72,0.5,0.3,0.5,32.40%,32.40%,16.00%,10.00%,16.00%,0.00%,40.00%,24.1
Wesley Matthews,DAL,63,0.9,6.80%,0.64,0.6,0.5,0.7,29.50%,34.10%,7.10%,14.30%,7.10%,0.00%,30.40%,15.6
Draymond Green,GSW,70,0.6,4.50%,0.88,0.5,0.3,0.5,39.40%,40.90%,15.00%,5.00%,12.50%,2.50%,42.50%,55.5
Dwight Buycks,DET,29,1.1,12.50%,1.06,1.2,0.6,1,42.90%,50.00%,9.40%,3.10%,9.40%,0.00%,46.90%,88.3
Malcolm Delaney,ATL,54,0.7,9.70%,0.9,0.6,0.4,0.7,36.10%,40.30%,10.50%,0.00%,7.90%,5.30%,39.50%,59.6
Kent Bazemore,ATL,65,0.7,5.30%,0.69,0.5,0.4,0.5,21.90%,23.40%,20.80%,12.50%,18.80%,0.00%,35.40%,19.1
Kentavious Caldwell-Pope,LAL,74,0.4,3.20%,1.03,0.4,0.2,0.4,37.90%,43.10%,16.10%,0.00%,16.10%,9.70%,41.90%,84.8
Tyler Dorsey,ATL,56,0.6,7.40%,0.97,0.6,0.4,0.6,37.50%,46.90%,3.00%,0.00%,3.00%,0.00%,39.40%,72.3
Skal Labissiere,SAC,60,0.6,6.00%,0.91,0.5,0.2,0.4,50.00%,50.00%,14.30%,17.10%,11.40%,5.70%,45.70%,63.8
Mario Chalmers,MEM,66,0.6,6.40%,0.8,0.5,0.3,0.4,27.60%,29.30%,20.00%,10.00%,17.50%,2.50%,37.50%,37.7
Trey Lyles,DEN,73,0.6,6.10%,0.78,0.4,0.3,0.4,25.00%,26.80%,26.80%,4.90%,24.40%,0.00%,39.00%,34
Allen Crabbe,BKN,75,0.4,3.10%,1.07,0.4,0.2,0.3,46.20%,51.90%,10.30%,3.40%,10.30%,3.40%,48.30%,89
Delon Wright,TOR,69,0.5,5.70%,0.97,0.4,0.2,0.4,44.00%,50.00%,12.50%,9.40%,12.50%,0.00%,46.90%,71.6
George Hill,SAC,43,0.7,7.00%,1,0.7,0.3,0.5,52.20%,56.50%,13.30%,13.30%,10.00%,3.30%,50.00%,80.8
Joe Johnson,UTA,32,1.2,14.30%,0.79,0.9,0.5,1,48.40%,48.40%,0.00%,18.40%,0.00%,0.00%,39.50%,36.5
Otto Porter Jr.,WAS,77,0.5,3.80%,0.77,0.4,0.3,0.4,32.40%,35.30%,12.80%,5.10%,12.80%,5.10%,35.90%,32.1
Brook Lopez,LAL,74,0.3,2.60%,1.16,0.4,0.1,0.2,55.60%,58.30%,24.00%,12.00%,20.00%,8.00%,56.00%,93.3
Jonas Valanciunas,TOR,77,0.3,2.90%,1.12,0.4,0.1,0.3,63.60%,65.90%,0.00%,15.40%,0.00%,0.00%,53.80%,91.1
E'Twaun Moore,NOP,82,0.4,3.20%,0.94,0.4,0.2,0.4,48.30%,50.00%,0.00%,6.50%,0.00%,0.00%,45.20%,68.8
Gary Harris,DEN,67,0.6,3.40%,0.78,0.4,0.4,0.5,27.30%,31.80%,13.50%,2.70%,13.50%,5.40%,32.40%,35.1
Montrezl Harrell,LAC,76,0.3,2.70%,1.47,0.4,0.1,0.2,72.20%,72.20%,21.10%,0.00%,21.10%,15.80%,68.40%,99.6
Jarrett Jack,NYK,62,0.6,6.30%,0.76,0.5,0.4,0.5,31.30%,34.40%,8.10%,5.40%,8.10%,0.00%,35.10%,30.1
Michael Carter-Williams,CHA,52,0.4,7.10%,1.17,0.5,0.1,0.3,50.00%,53.60%,30.40%,8.70%,30.40%,0.00%,60.90%,93.6
Michael Kidd-Gilchrist,CHA,74,0.4,3.80%,1.04,0.4,0.1,0.3,52.60%,52.60%,19.20%,7.70%,19.20%,0.00%,57.70%,85.5
Kelly Oubre Jr.,WAS,81,0.4,3.50%,0.79,0.3,0.2,0.3,30.80%,32.70%,20.60%,2.90%,20.60%,0.00%,38.20%,36.9
Jabari Parker,MIL,31,1.2,9.40%,0.71,0.9,0.7,1.2,36.10%,36.10%,2.60%,5.30%,2.60%,2.60%,34.20%,22.7
Cory Joseph,IND,82,0.6,6.30%,0.59,0.3,0.4,0.5,29.30%,29.30%,6.50%,6.50%,2.20%,2.20%,30.40%,8.5
Nikola Vucevic,ORL,57,0.5,2.90%,0.9,0.5,0.2,0.4,52.20%,52.20%,3.40%,17.20%,3.40%,0.00%,44.80%,60.3
Denzel Valentine,CHI,77,0.4,3.60%,0.83,0.3,0.2,0.3,47.80%,54.30%,3.30%,20.00%,3.30%,0.00%,36.70%,46.2
Kelly Olynyk,MIA,76,0.4,3.50%,0.83,0.3,0.2,0.3,34.80%,37.00%,16.70%,13.30%,16.70%,6.70%,36.70%,46.2
Isaiah Taylor,ATL,67,0.5,6.60%,0.69,0.4,0.3,0.4,36.70%,36.70%,5.60%,11.10%,5.60%,0.00%,36.10%,20.2
Isaiah Canaan,PHX,19,1.1,10.60%,1.2,1.3,0.4,0.8,53.30%,56.70%,20.00%,5.00%,20.00%,0.00%,60.00%,95
Jerami Grant,OKC,81,0.3,4.20%,0.92,0.3,0.1,0.2,50.00%,53.10%,23.10%,15.40%,23.10%,0.00%,50.00%,64.8
Kevin Love,CLE,59,0.5,3.00%,0.86,0.4,0.2,0.4,40.90%,40.90%,14.30%,10.70%,10.70%,3.60%,42.90%,52.5
Kyle O'Quinn,NYK,77,0.4,5.70%,0.77,0.3,0.2,0.4,37.90%,37.90%,3.20%,3.20%,3.20%,0.00%,38.70%,33.1
Shelvin Mack,ORL,69,0.5,6.20%,0.71,0.3,0.3,0.4,26.90%,26.90%,20.60%,5.90%,20.60%,2.90%,38.20%,21.6
Pascal Siakam,TOR,81,0.3,4.60%,0.85,0.3,0.2,0.3,40.90%,40.90%,14.80%,11.10%,14.80%,7.40%,40.70%,51.4
Tony Parker,SAS,55,0.6,6.30%,0.74,0.4,0.2,0.4,43.50%,43.50%,6.50%,19.40%,6.50%,0.00%,38.70%,29.1
Mike Conley,MEM,12,2.7,15.10%,0.72,1.9,1.4,2,29.20%,33.30%,15.60%,12.50%,12.50%,3.10%,34.40%,23.8
Bojan Bogdanovic,IND,80,0.5,3.90%,0.56,0.3,0.3,0.4,21.20%,24.20%,9.80%,9.80%,7.30%,0.00%,26.80%,7.1
Tim Frazier,WAS,59,0.3,7.80%,1.16,0.4,0.1,0.2,42.90%,50.00%,26.30%,5.30%,21.10%,5.30%,52.60%,92.9
Greg Monroe,BOS,26,0.8,7.50%,1.05,0.8,0.3,0.7,55.60%,55.60%,9.50%,4.80%,9.50%,0.00%,57.10%,85.8
Emmanuel Mudiay,DEN,42,0.6,5.60%,0.92,0.5,0.3,0.5,39.10%,43.50%,4.20%,0.00%,0.00%,0.00%,41.70%,64.2
T.J. McConnell,PHI,76,0.3,4.70%,0.85,0.3,0.2,0.3,47.80%,47.80%,0.00%,11.50%,0.00%,0.00%,42.30%,49.8
Dirk Nowitzki,DAL,77,0.4,3.20%,0.82,0.3,0.2,0.3,38.50%,38.50%,3.70%,0.00%,0.00%,0.00%,40.70%,41.1
Lonzo Ball,LAL,52,0.6,4.00%,0.76,0.4,0.3,0.5,36.00%,44.00%,6.90%,6.90%,6.90%,0.00%,31.00%,30.5
