,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average
69,OG Anunoby,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0.0,2.2445999999999993,0.766,1.373,3.495,2.06,0.329,0.7538999999999999,0.329,0.0
70,Jaren Jackson,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.5475,0.329,0.0
71,Tyler Herro,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
72,Bojan Bogdanović,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
73,Kyle Lowry,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0.0,2.2445999999999993,0.766,1.373,3.495,2.06,0.329,0.7538999999999999,0.329,0.0
74,Donovan Mitchell,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
75,T.J. McConnell,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0.0,2.3369,0.766,1.0441,3.495,2.06,0.329,0.5991000000000001,0.329,0.0
76,Glenn Robinson,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0.0,2.6209000000000007,0.766,1.373,3.495,2.06,0.329,0.5346000000000001,0.329,0.0
77,Gary Harris,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
78,Tony Snell,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
79,Serge Ibaka,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0.0,2.2445999999999993,0.766,1.373,3.495,2.06,0.329,0.7538999999999999,0.329,0.0
80,Dorian Finney-Smith,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
81,Cody Zeller,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0.0,2.9545999999999992,0.766,1.373,3.495,2.06,0.329,0.6377999999999998,0.329,0.0
82,Rudy Gay,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0.0,2.202,0.766,1.0441,3.495,2.06,0.329,0.5732999999999998,0.329,0.0
83,Thon Maker,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
84,Collin Sexton,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0.0,2.5924999999999994,0.766,1.0441,3.495,2.06,0.329,0.4701000000000001,0.329,0.0
85,Jimmy Butler,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
86,Derrick Rose,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
87,Ivica Zubac,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0.0,2.3582,0.766,1.0441,3.495,2.06,0.329,0.6507000000000002,0.329,0.0
88,Nerlens Noel,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0.0,2.5001999999999995,0.766,1.373,3.495,2.06,0.329,0.483,0.329,0.0
89,Naz Reid,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0.0,2.3795,0.766,1.0441,3.495,2.06,0.329,0.6893999999999999,0.329,0.0
90,Tomáš Satoranský,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0.0,2.1097,0.766,1.0441,3.495,2.06,0.329,0.7926000000000001,0.329,0.0
91,P.J. Washington,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0.0,2.9545999999999992,0.766,1.373,3.495,2.06,0.329,0.6377999999999998,0.329,0.0
92,Paul George,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0.0,2.3582,0.766,1.0441,3.495,2.06,0.329,0.6507000000000002,0.329,0.0
93,Georges Niang,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
94,John Henson,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0.0,2.5924999999999994,0.766,1.0441,3.495,2.06,0.329,0.4701000000000001,0.329,0.0
95,Bogdan Bogdanović,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0.0,2.3297999999999996,0.766,1.0441,3.495,2.06,0.329,0.7281000000000001,0.329,0.0
96,Cory Joseph,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0.0,2.3297999999999996,0.766,1.0441,3.495,2.06,0.329,0.7281000000000001,0.329,0.0
97,Omari Spellman,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0.0,2.6209000000000007,0.766,1.373,3.495,2.06,0.329,0.5346000000000001,0.329,0.0
98,Marquese Chriss,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0.0,2.6209000000000007,0.766,1.373,3.495,2.06,0.329,0.5346000000000001,0.329,0.0
99,Langston Galloway,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
100,Kelan Martin,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0.0,2.3795,0.766,1.0441,3.495,2.06,0.329,0.6893999999999999,0.329,0.0
101,Josh Okogie,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0.0,2.3795,0.766,1.0441,3.495,2.06,0.329,0.6893999999999999,0.329,0.0
102,Boban Marjanović,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
103,J.J. Barea,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
104,Marvin Williams,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0.0,2.9545999999999992,0.766,1.373,3.495,2.06,0.329,0.6377999999999998,0.329,0.0
105,Darius Bazley,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0.0,2.5001999999999995,0.766,1.373,3.495,2.06,0.329,0.483,0.329,0.0
106,Tony Bradley,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
