,Unnamed: 0,name,team,date,location,opponent,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,FanDuel_Points,FanDuel_Dollars
58,4872,Jordan Clarkson,CLEVELAND CAVALIERS,2019-02-02,HOME,DALLAS MAVERICKS,3.536134000000001,1.97296,1.836047,5.291859,3.87944,0.29741999999999996,0.8717999999999998,0.29741999999999996,30.2068258,6041.36516
59,4873,Austin Rivers,HOUSTON ROCKETS,2019-02-02,AWAY,UTAH JAZZ,1.853250000000001,1.8595400000000002,1.071989,4.356942,3.3126800000000003,0.613,0.96549,0.613,24.676929400000002,4935.385880000001
60,4874,Marvin Williams,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,1.9998880000000003,2.1013599999999997,1.451207,4.9105170000000005,2.516,0.26852,1.01757,0.26852,25.0114334,5002.28668
61,4875,Nikola Jokic,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,6.585954000000001,1.6006,3.655048,9.212778,6.21376,0.7190399999999999,1.2702300000000002,0.7190399999999999,47.2534996,9450.69992
62,4876,Evan Fournier,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,4.155818,1.69904,1.099705,4.450548,3.48576,0.35024,1.1037299999999999,0.35024,29.0894286,5817.88572
63,4877,Thaddeus Young,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,4.805851999999999,1.2368,1.519992,8.237223,3.966800000000001,0.96836,1.08951,0.96836,35.8822136,7176.44272
64,4878,Jeff Green,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,2.5436460000000007,2.0735400000000004,1.807447,4.7137199999999995,3.65016,0.5102599999999999,0.6933600000000001,0.5102599999999999,27.347663,5469.5326000000005
65,4879,Jeremy Lamb,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,3.6321740000000013,1.6434,2.4726619999999997,5.2509809999999995,2.81924,0.34034000000000003,0.9701099999999998,0.34034000000000003,28.7882572,5757.65144
66,4880,Jonathan Isaac,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,3.2909680000000003,1.6947599999999998,1.9759240000000002,7.490595,2.7143200000000003,1.12552,1.07322,1.12552,32.173034,6434.6068000000005
67,4881,Andre Drummond,DETROIT PISTONS,2019-02-02,HOME,LOS ANGELES CLIPPERS,6.909912000000001,0.7659999999999999,2.6371689999999997,11.429286,2.5774000000000004,1.3021200000000002,1.1565599999999998,1.3021200000000002,42.410156199999996,8482.031239999998
