,name,team,date,location,opponent,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers
4858,Rudy Gay,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,5.773282,1.22824,2.086219,5.928522,3.8278800000000004,0.42472000000000004,1.17078,0.42472000000000004
4859,Zach LaVine,CHICAGO BULLS,2019-02-02,AWAY,CHARLOTTE HORNETS,5.84142,1.86168,4.411657,5.604578999999999,3.79964,0.2745200000000001,0.9853800000000001,0.2745200000000001
4860,Jerryd Bayless,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,3.537326,2.2854,1.8840480000000004,5.519273999999999,6.31448,0.40018,0.99912,0.40018
4861,Trey Lyles,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,3.415700000000001,1.27104,1.99521,4.5495,2.62496,0.4561,0.5752800000000001,0.4561
4862,D.J. Augustin,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,2.95791,1.6519599999999999,4.36785,5.080017000000001,3.86348,0.49146000000000006,0.8867700000000001,0.49146000000000006
4863,Malik Monk,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,2.751114000000001,2.18054,1.497094,4.24224,2.7489600000000003,0.45916,0.7836599999999998,0.45916
4864,Malcolm Brogdon,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,5.00523,1.47434,3.4401770000000003,5.605862999999999,3.3591200000000003,0.4240400000000001,1.1151300000000002,0.4240400000000001
4865,Shai Gilgeous-Alexander,LOS ANGELES CLIPPERS,2019-02-02,AWAY,DETROIT PISTONS,4.173584,1.25392,2.5139620000000003,4.502922,3.8954000000000004,0.38636000000000004,1.1829300000000003,0.38636000000000004
4866,D'Angelo Russell,BROOKLYN NETS,2019-02-02,AWAY,ORLANDO MAGIC,5.010542,2.4138,3.3061559999999997,5.389767,5.72756,0.5346599999999999,1.2194700000000003,0.5346599999999999
4867,Hassan Whiteside,MIAMI HEAT,2019-02-02,HOME,INDIANA PACERS,5.480702000000001,0.766,2.645245,10.495622999999998,2.5409200000000003,1.36286,0.8568300000000001,1.36286
4868,Nicolas Batum,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,2.8350980000000012,1.73328,1.5851199999999999,6.050016,3.52404,1.0061,1.06503,1.0061
4869,Elie Okobo,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,2.7671680000000007,1.43796,0.927729,4.618059,3.22568,0.40218,0.9595500000000001,0.40218
4870,George Hill,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,2.7165420000000005,1.5043000000000002,1.51563,4.729599,2.76072,0.38468,0.9286800000000002,0.38468
4871,Tomas Satoransky,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,3.6500280000000007,1.17474,2.233552,5.3328809999999995,6.00212,0.42728000000000005,1.03236,0.42728000000000005
4872,Jordan Clarkson,CLEVELAND CAVALIERS,2019-02-02,HOME,DALLAS MAVERICKS,3.5361340000000006,1.9729599999999998,1.8360470000000002,5.291859,3.87944,0.29742,0.8717999999999998,0.29742
4873,Austin Rivers,HOUSTON ROCKETS,2019-02-02,AWAY,UTAH JAZZ,1.853250000000001,1.85954,1.0719889999999999,4.356942,3.3126800000000003,0.613,0.9654900000000001,0.613
4874,Marvin Williams,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,1.9998880000000003,2.10136,1.4512070000000001,4.9105170000000005,2.516,0.26852,1.0175699999999999,0.26852
4875,Nikola Jokic,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,6.585954000000001,1.6006,3.6550480000000003,9.212778,6.21376,0.7190399999999999,1.2702300000000002,0.7190399999999999
4876,Evan Fournier,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,4.155818,1.69904,1.099705,4.4505479999999995,3.48576,0.35024,1.10373,0.35024
4877,Thaddeus Young,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,4.805851999999999,1.2368000000000001,1.519992,8.237223,3.9668000000000005,0.9683600000000001,1.08951,0.9683600000000001
4878,Jeff Green,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,2.5436460000000007,2.0735400000000004,1.8074470000000002,4.71372,3.65016,0.5102599999999999,0.69336,0.5102599999999999
4879,Jeremy Lamb,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,3.632174000000001,1.6434,2.472662,5.250981,2.8192399999999997,0.34034,0.9701099999999998,0.34034
4880,Jonathan Isaac,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,3.2909680000000003,1.69476,1.975924,7.490595,2.7143200000000003,1.1255199999999999,1.07322,1.1255199999999999
4881,Andre Drummond,DETROIT PISTONS,2019-02-02,HOME,LOS ANGELES CLIPPERS,6.909912000000001,0.766,2.637169,11.429286,2.5774000000000004,1.30212,1.1565599999999998,1.30212
4882,DeMar DeRozan,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,8.102188000000002,0.8302,2.2636590000000005,6.324909,4.4052,0.42924,1.00806,0.42924
4883,Kenneth Faried,HOUSTON ROCKETS,2019-02-02,AWAY,UTAH JAZZ,6.234052,0.88156,4.351963,9.271668,2.71524,1.4794399999999999,1.1248200000000002,1.4794399999999999
4884,Tony Snell,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,2.8449300000000006,1.29244,1.851594,4.56843,2.45748,0.44596,0.8744400000000002,0.44596
4885,Rudy Gobert,UTAH JAZZ,2019-02-02,HOME,HOUSTON ROCKETS,5.606324000000001,0.766,5.554427000000001,8.768142000000001,3.05844,1.86394,0.8459099999999999,1.86394
4886,Blake Griffin,DETROIT PISTONS,2019-02-02,HOME,LOS ANGELES CLIPPERS,5.431838000000001,2.5122400000000003,4.985847000000001,7.442105999999999,5.3796800000000005,0.5142800000000001,0.9192599999999999,0.5142800000000001
4887,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,2019-02-02,AWAY,GOLDEN STATE WARRIORS,2.9162060000000007,1.7611,1.595712,4.8308789999999995,2.68776,0.36451999999999996,0.9504299999999999,0.36451999999999996
4888,Maxi Kleber,DALLAS MAVERICKS,2019-02-02,AWAY,CLEVELAND CAVALIERS,2.6614999999999984,1.2795999999999998,1.616713,5.528859,2.5695200000000002,0.74332,0.8717099999999998,0.74332
4889,David Nwaba,CLEVELAND CAVALIERS,2019-02-02,HOME,DALLAS MAVERICKS,2.4646999999999997,0.766,1.0441,3.495,2.06,0.329,0.7022999999999998,0.329
4890,Mike Scott,LOS ANGELES CLIPPERS,2019-02-02,AWAY,DETROIT PISTONS,1.9991579999999995,1.5278399999999999,1.182397,4.29288,2.46964,0.2604000000000001,0.6913800000000002,0.2604000000000001
4891,Will Barton,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,3.8616720000000013,1.58134,2.233453,5.2732980000000005,3.82656,0.6565799999999999,0.59901,0.6565799999999999
4892,Tim Frazier,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,3.2867359999999994,0.96074,2.337886,4.851672000000001,5.34008,0.29274,0.56436,0.29274
4893,Kenrich Williams,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,2.985398,1.4486599999999998,1.564373,6.446724,2.6878400000000005,0.73954,0.483,0.73954
4894,Miles Bridges,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,3.3342240000000007,0.95646,1.268665,5.24337,2.6921600000000003,0.5384199999999999,0.8819699999999998,0.5384199999999999
4895,Montrezl Harrell,LOS ANGELES CLIPPERS,2019-02-02,AWAY,DETROIT PISTONS,6.295274000000001,0.84946,3.125596,6.898197,2.345,1.07816,0.9930900000000003,1.07816
4896,Brandon Ingram,LOS ANGELES LAKERS,2019-02-02,AWAY,GOLDEN STATE WARRIORS,6.750114,1.02494,4.002447,4.886706,3.9828000000000006,0.3799,0.9233099999999999,0.3799
4897,Jalen Brunson,DALLAS MAVERICKS,2019-02-02,AWAY,CLEVELAND CAVALIERS,5.00333,0.8944,1.639723,4.029564000000001,3.8156,0.25832,0.6377999999999998,0.25832
4898,Bryn Forbes,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,2.8299780000000005,2.12276,0.705794,4.586028,2.9452,0.34884000000000004,0.7707599999999999,0.34884000000000004
