name,pos,team,rank
"Mudiay, Emmanuel",PG,Utah,15.0
"Robinson, Jerome",SG,LA Clippers,7.0
"Morris, Monte",PG,Denver,11.0
"Forbes, Bryn^",PG/SG,San Antonio,20.5
"Jones, Tyus",PG/SG,Memphis,22.0
"Frazier, Tim^",PG,Detroit,13.0
"Davis, Terence",PG/SG,Toronto,7.5
"Dellavedova, Matthew",PG/SG,Cleveland,28.0
"Mills, Patty",PG/SG,San Antonio,20.5
"Brunson, Jalen",PG/SG,Dallas,7.5
"Monk, Malik",PG/SG,Charlotte,13.5
"Harrison, Shaquille",PG/SF,Chicago,13.0
"Walton Jr., Derrick",PG,LA Clippers,7.0
"Allen, Grayson",PG/SG,Memphis,22.0
"Reaves, Josh",SG,Dallas,6.0
"Russell, D'Angelo",PG/SG,Golden State,27.5
"Beasley, Malik",PG/SG,Denver,6.5
"Mokoka, Adam",PG/SG,Chicago,3.5
"Thomas, Matt",SG,Toronto,3.0
"Ferrell, Yogi",PG/SG,Sacramento,23.5
"Knight, Brandon",PG/SG,Cleveland,28.0
"Arcidiacono, Ryan",PG/SG,Chicago,3.5
"Jackson, Reggie",PG/SG,Detroit,8.5
"Irving, Kyrie",PG,Brooklyn,20.0
"Cleveland, Antonius",SG,Dallas,6.0
"Williams-Goss, Nigel",PG,Utah,15.0
"Mann, Terance",PG/SF,LA Clippers,8.5
"Coffey, Amir",PG/SF,LA Clippers,8.5
"Brogdon, Malcolm",PG/SG,Indiana,11.0
"Oladipo, Victor",PG/SG,Indiana,11.0
"Strus, Max",SG,Chicago,1.0
"Konchar, John",SG,Memphis,22.0
"Wright-Foreman, Justin",PG,Utah,15.0
"Mitrou-Long, Nazareth",PG/SG,Indiana,11.0
"Conley, Mike",PG,Utah,15.0
"LeVert, Caris",PG/SF,Brooklyn,19.0
"Curry, Stephen",PG,Golden State,29.0
"Macon, Daryl",PG/SG,Miami,8.0
"Beverley, Patrick",PG/SG,LA Clippers,7.0
"Thomas, Khyri",SG,Detroit,4.0
"Winslow, Justise",PG/SF,Miami,4.0
"Bone, Jordan",PG,Detroit,13.0
"Guy, Kyle",PG/SG,Sacramento,23.5
"Weatherspoon, Quinndary",PG,San Antonio,16.0
"Dort, Luguentz",PG,Oklahoma City,17.0
"Ponds, Shamorie",PG,Toronto,12.0
"Simmons, Kobi",SG,Charlotte,24.0
"Lamb, Jeremy^",SG/SF,Indiana,6.5
"Hield, Buddy^",SG/SF,Sacramento,20.0
"DeRozan, DeMar^",SG/SF,San Antonio,24.0
"Leonard, Kawhi^",SF/PF,LA Clippers,12.0
"Anunoby, OG^",SF/PF,Toronto,16.5
"Butler, Jimmy^",SG/SF,Miami,10.0
"Crowder, Jae^",SF/PF,Memphis,22.0
"Warren, T.J.^",SF/PF,Indiana,4.0
"Porter, Michael",SF/PF,Denver,12.5
"Ingles, Joe^",SG/SF,Utah,12.0
"Harkless, Maurice^",SF/PF,LA Clippers,12.0
"Green, JaMychal",SF/PF,LA Clippers,12.0
"Bogdanovic, Bojan^",SF/PF,Utah,11.0
"Walker, Lonnie",SG/SF,San Antonio,24.0
"Doumbouya, Sekou^",SF/PF,Detroit,17.0
"Finney-Smith, Dorian^",SF/PF,Dallas,12.5
"Hollis-Jefferson, Rondae",SF/PF,Toronto,16.5
"Bacon, Dwayne",SG/SF,Charlotte,24.0
"Robinson III, Glenn^",SG/SF,Golden State,27.0
"Barnes, Harrison^",SF/PF,Sacramento,13.5
"Harris, Joe^",SG/SF,Brooklyn,14.0
"Osman, Cedi^",SF/PF,Cleveland,28.5
"Prince, Taurean^",SF/PF,Brooklyn,11.5
"Jones, Derrick",SF/PF,Miami,11.5
"Gallinari, Danilo^",SF/PF,Oklahoma City,2.5
"Brooks, Dillon^",SG/SF,Memphis,22.0
"Shamet, Landry^",SG/SF,LA Clippers,8.5
"Bogdanovic, Bogdan",SG/SF,Sacramento,20.0
"Bjelica, Nemanja^",PF,Sacramento,10.0
"Kurucs, Rodions^",SF/PF,Brooklyn,11.5
"Paschall, Eric",SF/PF,Golden State,25.5
"George, Paul^",SF,LA Clippers,10.0
"Gay, Rudy",SF/PF,San Antonio,23.5
"Mykhailiuk, Sviatoslav^",SG/SF,Detroit,4.0
"Musa, Dzanan",SF/PF,Brooklyn,11.5
"Luwawu, Timothe",SG/SF,Brooklyn,14.0
"Ariza, Trevor",SF/PF,Sacramento,13.5
"Lee, Damion^",SG/SF,Golden State,27.0
"Chandler, Wilson",SF/PF,Brooklyn,11.5
"Snell, Tony^",SG/SF,Detroit,4.0
"Porter, Kevin",SG/SF,Cleveland,29.5
"Niang, Georges",SF/PF,Utah,11.0
"Bazley, Darius",SF/PF,Oklahoma City,2.5
"Williams, Marvin",SF/PF,Charlotte,24.5
"O'Neale, Royce^",SF,Utah,9.0
