,index,slug,name_x,team_x,location_x,opponent_x,outcome,seconds_played,made_field_goals_x,attempted_field_goals_x,made_three_point_field_goals_x,attempted_three_point_field_goals_x,made_free_throws_x,attempted_free_throws_x,offensive_rebounds_x,defensive_rebounds_x,assists_x,steals_x,blocks_x,turnovers_x,personal_fouls,game_score,Date,Team Defensive Rating,Team Pace,Team Turnover %,Opponent Defensive Rating,Opponent Pace,Opponent Turnover %,attempted_two_point_field_goals_x,made_two_point_field_goals_x,total_rebounds,at_home,indexr,name_y,team_y,date,location_y,opponent_y,made_field_goals_y,made_two_point_field_goals_y,attempted_two_point_field_goals_y,attempted_field_goals_y,made_three_point_field_goals_y,attempted_three_point_field_goals_y,attempted_free_throws_y,made_free_throws_y,offensive_rebounds_y,defensive_rebounds_y,assists_y,blocks_y,turnovers_y,steals_y
10,10,anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1877,11,17,3,5,1,2,1,6,0,0,0,1,4,18.0,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4,12,8,7,False,10,Carmelo Anthony,PORTLAND TRAIL BLAZERS,2020-01-01,AWAY,NEW YORK KNICKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,bradlav01,Avery Bradley,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1804,9,11,0,2,0,0,1,4,1,3,0,1,2,17.7,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8,9,9,5,True,11,Avery Bradley,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,napiesh01,Shabazz Napier,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1867,7,13,4,7,4,4,0,6,3,0,1,2,4,16.7,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0,6,3,6,False,12,Shabazz Napier,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,fultzma01,Markelle Fultz,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1341,6,12,1,3,3,4,1,3,8,2,0,1,3,16.6,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,9,5,4,False,13,Markelle Fultz,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,ntilila01,Frank Ntilikina,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1380,3,5,1,3,2,2,0,3,10,1,2,0,4,15.4,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1,2,2,3,True,14,Frank Ntilikina,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,aytonde01,Deandre Ayton,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1892,7,13,0,0,2,2,4,10,2,1,1,2,5,14.6,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4,13,7,14,False,15,Deandre Ayton,PHOENIX SUNS,2020-01-01,AWAY,LOS ANGELES LAKERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,vucevni01,Nikola Vučević,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1832,8,20,3,6,1,2,2,10,2,1,0,1,2,13.8,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,14,5,12,False,16,Nikola Vučević,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,portibo01,Bobby Portis,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1247,6,11,3,4,2,2,2,4,1,0,0,1,1,13.6,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1,7,3,6,True,17,Bobby Portis,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,kuzmaky01,Kyle Kuzma,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1631,5,15,3,10,6,6,2,2,1,1,0,0,2,13.4,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8,5,2,4,True,18,Kyle Kuzma,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,birchkh01,Khem Birch,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1588,3,3,0,0,1,2,4,6,2,0,1,0,0,12.4,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,3,3,10,False,19,Khem Birch,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,covinro01,Robert Covington,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1997,2,4,1,2,2,2,0,11,3,3,1,1,3,11.9,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0,2,1,11,False,20,Robert Covington,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,morrima03,Marcus Morris,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,2005,7,19,2,7,2,3,1,6,3,0,0,0,0,11.7,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1,12,5,7,True,21,Marcus Morris,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,rosste01,Terrence Ross,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1462,6,10,3,6,0,0,0,0,0,1,1,1,1,10.7,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,4,3,0,False,22,Terrence Ross,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,mccolcj01,CJ McCollum,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1943,6,16,3,7,2,4,1,3,4,0,0,0,3,10.6,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4,9,3,4,False,23,CJ McCollum,PORTLAND TRAIL BLAZERS,2020-01-01,AWAY,NEW YORK KNICKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,divindo01,Donte DiVincenzo,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1469,2,3,0,1,2,2,2,6,2,1,0,0,1,9.9,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4,2,2,8,True,24,Donte DiVincenzo,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,mcraejo01,Jordan McRae,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1866,4,12,2,6,5,6,0,7,1,1,0,2,0,9.6,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9,6,2,7,True,25,Jordan McRae,WASHINGTON WIZARDS,2020-01-01,HOME,ORLANDO MAGIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,browntr01,Troy Brown,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1698,5,12,1,2,3,4,2,5,1,1,0,2,1,9.4,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9,10,4,7,True,26,Troy Brown,WASHINGTON WIZARDS,2020-01-01,HOME,ORLANDO MAGIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1570,3,8,1,3,5,8,1,3,1,2,0,1,1,9.3,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0,5,2,4,False,27,Josh Okogie,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,rubiori01,Ricky Rubio,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1561,2,7,1,3,1,2,2,3,9,1,0,2,1,8.7,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4,4,1,5,False,28,Ricky Rubio,PHOENIX SUNS,2020-01-01,AWAY,LOS ANGELES LAKERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,iwundwe01,Wesley Iwundu,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1321,4,7,0,1,2,2,1,5,1,1,0,1,3,8.4,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,6,4,6,False,29,Wesley Iwundu,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,smithis01,Ish Smith,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1707,4,10,1,4,1,2,1,4,3,1,0,0,2,8.4,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9,6,3,5,True,30,Ish Smith,WASHINGTON WIZARDS,2020-01-01,HOME,ORLANDO MAGIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,dienggo01,Gorgui Dieng,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1412,4,14,2,5,5,6,3,3,1,0,1,1,4,8.2,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0,9,2,6,False,31,Gorgui Dieng,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,lopezbr01,Brook Lopez,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1858,5,12,0,5,1,3,0,4,3,1,6,3,4,7.7,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4,7,5,4,True,32,Brook Lopez,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,bledser01,Eric Bledsoe,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1212,4,10,0,2,2,2,2,4,2,0,2,2,1,7.6,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4,8,4,6,True,33,Eric Bledsoe,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,fournev01,Evan Fournier,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2255,7,16,2,6,2,3,0,4,0,2,1,4,4,7.5,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,10,5,4,False,34,Evan Fournier,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,ilyaser01,Ersan İlyasova,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1011,1,6,0,2,5,5,1,4,3,0,1,0,1,7.5,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4,4,1,5,True,35,Ersan İlyasova,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,mathega01,Garrison Mathews,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1022,2,4,1,3,5,5,1,0,1,0,0,1,3,7.2,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9,1,1,1,True,36,Garrison Mathews,WASHINGTON WIZARDS,2020-01-01,HOME,ORLANDO MAGIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,bateske01,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1274,3,9,2,5,2,2,0,3,1,1,0,0,1,7.1,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0,4,1,3,False,37,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,2124,5,20,1,8,0,0,1,9,8,1,0,2,1,6.6,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4,12,4,10,False,38,Damian Lillard,PORTLAND TRAIL BLAZERS,2020-01-01,AWAY,NEW YORK KNICKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,bambamo01,Mohamed Bamba,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,912,3,6,1,3,0,0,0,6,1,0,1,0,2,6.4,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,3,2,6,False,39,Mohamed Bamba,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,howardw01,Dwight Howard,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,949,3,6,0,0,2,6,3,1,0,1,0,0,1,6.4,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8,6,3,4,True,40,Dwight Howard,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,paytoel01,Elfrid Payton,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1500,2,9,0,3,0,2,1,3,8,0,2,0,0,6.3,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1,6,2,4,True,41,Elfrid Payton,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,culveja01,Jarrett Culver,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1976,5,14,0,5,0,1,1,7,5,1,1,2,4,6.2,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0,9,5,8,False,42,Jarrett Culver,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1950,5,18,2,7,1,1,2,6,4,2,0,3,3,6.2,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4,11,3,8,True,43,Khris Middleton,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,bullore01,Reggie Bullock,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,926,4,9,3,5,0,0,0,2,0,0,0,0,2,6.1,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1,4,1,2,True,44,Reggie Bullock,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,mcgeeja01,JaVale McGee,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1169,1,3,0,0,1,2,2,1,4,1,3,1,4,5.9,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8,3,1,3,True,45,JaVale McGee,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,willijo04,Johnathan Williams,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,723,1,1,0,0,0,0,1,5,1,0,1,0,0,5.3,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9,1,1,6,True,46,Johnathan Williams,WASHINGTON WIZARDS,2020-01-01,HOME,ORLANDO MAGIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,jeffeam01,Amile Jefferson,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,784,0,1,0,0,2,4,2,4,2,0,1,0,0,5.2,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3,1,0,6,False,47,Amile Jefferson,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,bongais01,Isaac Bonga,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,759,1,1,1,1,1,2,0,1,1,1,1,0,3,4.8,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9,0,0,1,True,48,Isaac Bonga,WASHINGTON WIZARDS,2020-01-01,HOME,ORLANDO MAGIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,korveky01,Kyle Korver,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1091,2,5,2,4,2,2,1,3,2,0,1,3,3,4.8,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4,1,0,4,True,49,Kyle Korver,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,nowelja01,Jaylen Nowell,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,939,4,11,2,7,2,3,1,1,0,0,1,2,1,4.8,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0,4,2,2,False,50,Jaylen Nowell,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,greenda02,Danny Green,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1408,4,8,1,4,0,0,0,2,2,0,0,1,4,4.4,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8,4,3,2,True,51,Danny Green,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,knoxke01,Kevin Knox,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1038,2,6,1,4,0,0,0,7,1,0,0,0,0,4.4,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1,2,1,7,True,52,Kevin Knox,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1497,1,4,1,3,0,0,2,1,2,1,0,0,1,4.3,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8,1,0,3,True,53,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,lopezro01,Robin Lopez,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1002,3,5,1,2,0,1,0,1,1,0,0,1,0,4.3,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4,3,2,1,True,54,Robin Lopez,MILWAUKEE BUCKS,2020-01-01,HOME,MINNESOTA TIMBERWOLVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,johnsty01,Tyler Johnson,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,929,3,8,0,4,0,0,0,4,2,0,0,0,0,4.2,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4,4,3,4,False,55,Tyler Johnson,PHOENIX SUNS,2020-01-01,AWAY,LOS ANGELES LAKERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
