,name,team,date,location,opponent,made_field_goals,made_two_point_field_goals,attempted_two_point_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,attempted_free_throws,made_free_throws,offensive_rebounds,defensive_rebounds,assists,blocks,turnovers,steals,seconds_played,Opponent Defensive Rating,Opponent Turnover %
383,Jaylen Brown,BOSTON CELTICS,2020-01-04,AWAY,CHICAGO BULLS,8.24,5.64,10.66,17.13,2.6,6.47,3.16,2.22,0.92,5.03,1.43,0.6,1.9,0.82,2116.42,109.92,14.2
384,Kawhi Leonard,LOS ANGELES CLIPPERS,2020-01-04,HOME,MEMPHIS GRIZZLIES,8.26,6.52,12.1,17.86,1.73,5.75,6.89,6.35,1.08,6.33,5.03,0.36,1.75,1.8,1898.3,109.75,14.28
385,Kyle Korver,MILWAUKEE BUCKS,2020-01-04,HOME,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Danilo Gallinari,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,6.67,3.52,7.54,14.71,3.15,7.17,4.74,4.06,0.12,4.66,0.97,0.0,1.17,0.81,1880.33,110.71,14.19
387,Dwight Powell,DALLAS MAVERICKS,2020-01-04,HOME,CHARLOTTE HORNETS,4.48,4.37,5.58,6.27,0.11,0.69,2.75,1.91,2.24,3.98,1.45,0.22,0.93,0.41,1496.51,109.73,14.21
388,Myles Turner,INDIANA PACERS,2020-01-04,AWAY,ATLANTA HAWKS,3.84,2.45,5.48,9.99,1.39,4.52,1.59,0.97,2.12,6.21,1.02,2.83,0.75,1.14,1782.12,109.62,14.12
389,T.J. Warren,INDIANA PACERS,2020-01-04,AWAY,ATLANTA HAWKS,7.74,6.8,11.26,13.79,0.94,2.53,2.41,1.94,0.94,3.7,1.24,0.46,1.61,1.6,1974.74,110.23,14.17
390,LaMarcus Aldridge,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,6.49,5.58,11.55,15.57,0.91,4.02,3.65,2.82,2.17,5.3,2.83,0.8,1.6,0.73,1903.76,108.94,14.05
391,Anžejs Pasečņiks,WASHINGTON WIZARDS,2020-01-04,HOME,DENVER NUGGETS,1.62,1.62,2.77,2.89,0.0,0.11,1.66,1.13,0.79,1.21,0.37,0.58,0.72,0.3,730.63,109.1,14.41
392,J.J. Barea,DALLAS MAVERICKS,2020-01-04,HOME,CHARLOTTE HORNETS,2.86,1.61,3.89,6.86,1.25,2.97,0.92,0.92,0.45,1.64,3.82,0.11,1.85,0.18,876.15,110.8,14.23
393,Robin Lopez,MILWAUKEE BUCKS,2020-01-04,HOME,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Miles Bridges,CHARLOTTE HORNETS,2020-01-04,AWAY,DALLAS MAVERICKS,5.91,3.83,8.44,13.9,2.08,5.47,2.87,2.34,1.41,3.99,1.69,0.59,1.18,0.57,1912.2,108.87,14.27
395,Enes Kanter,BOSTON CELTICS,2020-01-04,AWAY,CHICAGO BULLS,1.88,1.88,3.58,3.68,0.0,0.11,1.09,0.98,1.85,4.4,0.65,0.62,1.43,0.46,943.45,109.79,14.29
396,Brook Lopez,MILWAUKEE BUCKS,2020-01-04,HOME,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Bruno Fernando,ATLANTA HAWKS,2020-01-04,HOME,INDIANA PACERS,3.29,3.15,4.77,5.51,0.14,0.74,1.07,0.55,1.57,4.47,0.74,0.11,0.24,0.67,966.28,109.68,14.17
398,Emmanuel Mudiay,UTAH JAZZ,2020-01-04,AWAY,ORLANDO MAGIC,2.16,1.64,3.85,5.09,0.53,1.25,2.38,2.09,0.41,1.45,1.25,0.25,0.86,0.5,653.17,111.07,13.76
399,Ivica Zubac,LOS ANGELES CLIPPERS,2020-01-04,HOME,MEMPHIS GRIZZLIES,3.08,3.08,5.06,5.06,0.0,0.0,1.8,1.61,2.51,4.95,1.44,0.58,0.81,0.1,1196.86,109.95,14.41
400,Damion Lee,GOLDEN STATE WARRIORS,2020-01-04,HOME,DETROIT PISTONS,5.24,2.16,4.08,12.13,3.09,8.06,2.01,1.83,0.32,4.15,3.33,0.32,1.75,1.07,1866.39,109.4,14.79
401,Lauri Markkanen,CHICAGO BULLS,2020-01-04,HOME,BOSTON CELTICS,4.93,2.88,4.81,11.64,2.05,6.83,2.97,2.54,1.31,4.6,0.92,0.21,1.97,0.92,1887.9,109.53,14.52
402,De'Anthony Melton,MEMPHIS GRIZZLIES,2020-01-04,AWAY,LOS ANGELES CLIPPERS,2.95,1.89,4.82,7.93,1.07,3.12,2.9,2.06,1.09,3.1,3.47,0.13,2.2,0.63,1380.78,109.75,14.19
403,Jonas Valančiūnas,MEMPHIS GRIZZLIES,2020-01-04,AWAY,LOS ANGELES CLIPPERS,4.33,4.11,9.37,10.45,0.22,1.08,3.08,2.35,4.0,10.41,0.81,1.09,0.97,0.28,1598.28,109.75,14.19
404,Marquese Chriss,GOLDEN STATE WARRIORS,2020-01-04,HOME,DETROIT PISTONS,5.32,5.19,7.9,8.76,0.13,0.86,3.26,2.59,1.72,6.22,2.33,1.4,1.13,0.35,1488.17,109.07,14.65
405,Cory Joseph,SACRAMENTO KINGS,2020-01-04,HOME,NEW ORLEANS PELICANS,2.42,1.75,3.19,4.93,0.66,1.74,1.12,0.92,0.45,1.36,4.06,0.13,0.28,1.04,1293.55,109.38,14.17
406,Tomáš Satoranský,CHICAGO BULLS,2020-01-04,HOME,BOSTON CELTICS,3.97,3.08,6.45,9.62,0.89,3.17,2.23,1.76,1.33,3.04,6.98,0.04,2.34,1.06,1895.02,111.05,14.11
407,Darius Bazley,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,1.7,1.42,2.66,3.87,0.28,1.2,1.3,0.94,0.31,2.42,0.45,0.35,0.26,0.53,866.69,110.72,14.63
408,Hamidou Diallo,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,1.68,1.68,3.52,4.14,0.0,0.62,0.23,0.09,0.67,2.07,0.43,0.22,0.9,0.61,910.8,108.97,13.66
409,Tim Frazier,DETROIT PISTONS,2020-01-04,AWAY,GOLDEN STATE WARRIORS,0.49,0.49,1.49,2.38,0.0,0.9,0.26,0.13,0.29,1.09,2.78,0.29,1.84,0.35,716.84,110.76,14.46
410,Ersan İlyasova,MILWAUKEE BUCKS,2020-01-04,HOME,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Garrett Temple,BROOKLYN NETS,2020-01-04,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Rondae Hollis-Jefferson,TORONTO RAPTORS,2020-01-04,AWAY,BROOKLYN NETS,2.91,2.91,5.93,6.19,0.0,0.26,2.18,1.49,1.44,4.42,1.94,0.61,1.18,0.42,1279.15,108.69,14.3
413,Aaron Gordon,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,7.35,5.55,9.88,14.34,1.81,4.46,4.31,3.51,2.67,7.34,7.09,1.59,1.65,0.88,2330.61,111.0,14.69
414,Cody Zeller,CHARLOTTE HORNETS,2020-01-04,AWAY,DALLAS MAVERICKS,4.44,4.44,8.1,8.83,0.0,0.73,2.79,1.6,2.45,4.85,1.87,0.46,0.9,0.86,1374.7,109.59,14.09
415,Mohamed Bamba,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,2.55,1.7,3.01,4.69,0.85,1.68,1.42,1.06,2.48,3.11,0.67,2.23,0.68,0.24,810.97,110.73,14.62
416,Brandon Ingram,NEW ORLEANS PELICANS,2020-01-04,AWAY,SACRAMENTO KINGS,8.6,6.0,10.0,16.5,2.6,6.5,5.46,4.75,0.85,4.73,4.9,0.07,3.61,1.35,1918.9,110.45,14.92
417,Joe Ingles,UTAH JAZZ,2020-01-04,AWAY,ORLANDO MAGIC,2.21,1.05,2.07,5.87,1.16,3.8,1.51,1.27,0.38,3.16,5.13,0.22,2.13,0.3,1742.85,110.91,13.71
418,Javonte Green,BOSTON CELTICS,2020-01-04,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,DeAndre' Bembry,ATLANTA HAWKS,2020-01-04,HOME,INDIANA PACERS,1.52,1.23,2.36,3.92,0.3,1.56,1.16,0.83,0.46,1.7,1.07,0.41,1.55,1.67,1104.11,109.77,14.16
420,Jeremy Lamb,INDIANA PACERS,2020-01-04,AWAY,ATLANTA HAWKS,3.31,2.35,5.65,8.41,0.97,2.76,2.92,2.14,0.46,2.95,1.68,0.41,0.81,1.1,1338.85,107.42,14.38
421,De'Aaron Fox,SACRAMENTO KINGS,2020-01-04,HOME,NEW ORLEANS PELICANS,7.7,6.08,12.18,16.29,1.62,4.1,7.05,4.32,0.46,2.97,5.81,0.42,2.34,1.1,1957.51,109.45,14.3
422,Nemanja Bjelica,SACRAMENTO KINGS,2020-01-04,HOME,NEW ORLEANS PELICANS,4.3,2.07,4.2,9.78,2.23,5.58,1.1,0.63,1.86,5.58,2.99,0.14,1.19,0.84,1838.56,109.38,14.17
423,Terrance Ferguson,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,0.73,0.0,0.22,2.84,0.73,2.62,1.26,1.0,0.05,0.43,0.87,0.48,0.21,0.34,986.97,108.66,14.16
424,Aaron Holiday,INDIANA PACERS,2020-01-04,AWAY,ATLANTA HAWKS,2.58,1.71,4.07,6.86,0.87,2.79,1.83,1.68,0.46,1.86,2.61,0.11,0.97,0.67,1259.3,110.24,14.05
425,Derrick White,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,3.34,2.71,5.57,8.11,0.63,2.55,3.55,3.15,0.58,3.28,3.27,0.66,0.59,0.67,1496.17,109.27,13.74
426,Caris LeVert,BROOKLYN NETS,2020-01-04,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,Bryn Forbes,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,3.66,1.04,2.09,7.58,2.62,5.49,1.27,1.08,0.09,1.74,1.25,0.0,0.9,0.89,1396.26,109.27,13.74
428,Eric Paschall,GOLDEN STATE WARRIORS,2020-01-04,HOME,DETROIT PISTONS,5.23,4.72,7.64,9.97,0.51,2.32,4.01,3.4,1.23,2.91,1.53,0.22,1.91,0.58,1738.93,109.4,14.79
429,Grayson Allen,MEMPHIS GRIZZLIES,2020-01-04,AWAY,LOS ANGELES CLIPPERS,2.08,1.71,2.48,4.33,0.37,1.85,1.02,0.81,0.13,1.67,1.49,0.0,0.39,0.06,827.09,111.01,14.76
430,Brandon Goodwin,ATLANTA HAWKS,2020-01-04,HOME,INDIANA PACERS,2.15,1.39,2.42,4.87,0.76,2.46,0.49,0.38,0.4,1.28,1.53,0.05,0.48,0.03,616.48,109.55,14.07
431,Trey Lyles,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,3.12,1.79,3.46,6.03,1.33,2.57,0.87,0.62,1.38,4.27,0.93,0.59,0.92,0.5,1494.08,109.27,13.74
432,Christian Wood,DETROIT PISTONS,2020-01-04,AWAY,GOLDEN STATE WARRIORS,6.76,5.56,9.9,13.27,1.21,3.36,6.8,5.59,3.48,6.23,2.14,1.17,1.9,1.12,1960.86,109.84,14.0
433,Patty Mills,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,3.39,1.2,2.65,9.9,2.19,7.25,1.88,1.82,0.13,1.61,0.9,0.0,0.6,0.76,1297.86,109.27,13.74
434,Will Barton,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,4.91,2.66,6.5,10.58,2.25,4.08,1.95,1.56,0.88,4.24,4.12,0.37,2.34,0.6,1777.65,109.64,14.47
435,Jarrett Allen,BROOKLYN NETS,2020-01-04,HOME,TORONTO RAPTORS,3.05,3.05,4.36,4.39,0.0,0.03,3.19,1.62,2.68,6.23,1.75,1.25,0.76,0.41,1249.98,111.2,14.22
436,Oshae Brissett,TORONTO RAPTORS,2020-01-04,AWAY,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Seth Curry,DALLAS MAVERICKS,2020-01-04,HOME,CHARLOTTE HORNETS,7.12,2.87,5.13,11.93,4.25,6.8,2.03,1.48,0.43,3.06,2.63,0.05,1.18,0.86,1942.96,111.38,14.16
438,Brandon Clarke,MEMPHIS GRIZZLIES,2020-01-04,AWAY,LOS ANGELES CLIPPERS,4.81,4.59,6.92,7.58,0.22,0.65,1.5,0.78,2.97,3.19,1.32,0.75,0.84,0.64,1233.01,109.41,14.14
439,Wesley Iwundu,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,2.2,1.4,2.53,4.28,0.8,1.75,1.36,1.12,0.29,2.2,1.46,0.0,0.18,0.5,1083.35,109.9,14.79
440,Tony Snell,DETROIT PISTONS,2020-01-04,AWAY,GOLDEN STATE WARRIORS,3.02,1.76,2.74,6.26,1.26,3.52,0.79,0.79,0.27,1.64,3.78,0.09,0.69,0.58,1788.47,109.84,14.0
441,Marvin Williams,CHARLOTTE HORNETS,2020-01-04,AWAY,DALLAS MAVERICKS,1.88,0.93,1.49,4.38,0.95,2.89,0.22,0.15,0.62,3.48,1.14,0.34,0.19,1.14,1044.61,109.53,13.78
442,George Hill,MILWAUKEE BUCKS,2020-01-04,HOME,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,Thaddeus Young,CHICAGO BULLS,2020-01-04,HOME,BOSTON CELTICS,5.86,3.4,7.49,11.75,2.45,4.26,0.72,0.43,1.73,4.0,2.06,0.59,2.22,2.3,1912.62,111.05,14.11
444,DeAndre Jordan,BROOKLYN NETS,2020-01-04,HOME,TORONTO RAPTORS,4.51,4.51,6.72,6.72,0.0,0.0,2.81,1.87,3.59,6.98,1.34,0.56,1.37,0.29,1487.78,111.2,14.22
445,Sviatoslav Mykhailiuk,DETROIT PISTONS,2020-01-04,AWAY,GOLDEN STATE WARRIORS,3.15,1.26,3.01,8.56,1.89,5.55,1.12,0.98,0.35,1.22,2.18,0.0,1.26,1.23,1448.43,109.2,14.06
446,Bismack Biyombo,CHARLOTTE HORNETS,2020-01-04,AWAY,DALLAS MAVERICKS,3.02,3.02,5.08,5.08,0.0,0.0,3.43,1.64,1.96,4.09,1.35,1.59,1.36,0.18,1222.16,108.3,14.15
447,Taurean Waller-Prince,BROOKLYN NETS,2020-01-04,HOME,TORONTO RAPTORS,4.54,2.03,4.44,10.75,2.51,6.32,1.47,1.11,0.61,3.69,1.25,0.34,2.17,0.68,1639.8,111.2,14.22
448,Malik Beasley,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,Nerlens Noel,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,2.68,2.68,3.46,3.46,0.0,0.0,1.37,0.63,0.92,2.68,0.39,1.08,0.49,0.78,943.19,108.66,14.16
450,Paul Millsap,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,3.36,2.16,4.1,6.91,1.2,2.81,2.0,1.47,1.45,3.75,1.86,0.7,1.63,0.76,1316.27,109.89,14.4
451,Patrick McCaw,TORONTO RAPTORS,2020-01-04,AWAY,BROOKLYN NETS,0.76,0.31,2.11,3.66,0.45,1.55,0.59,0.48,1.23,1.43,1.22,0.0,0.35,0.93,1164.98,110.13,14.75
452,Kevin Love,CLEVELAND CAVALIERS,2020-01-04,HOME,OKLAHOMA CITY THUNDER,4.58,2.5,5.17,11.57,2.07,6.39,3.51,3.03,0.91,7.38,3.59,0.52,2.31,0.7,1836.45,110.1,14.52
453,Bojan Bogdanović,UTAH JAZZ,2020-01-04,AWAY,ORLANDO MAGIC,4.66,2.81,6.79,12.68,1.85,5.89,4.2,3.95,0.78,2.92,2.02,0.0,1.96,0.48,2024.29,110.91,13.71
454,Evan Fournier,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,7.54,4.73,6.92,14.07,2.82,7.15,3.19,2.22,0.35,1.92,2.83,0.3,2.11,1.49,1950.45,111.0,14.69
455,Tony Bradley,UTAH JAZZ,2020-01-04,AWAY,ORLANDO MAGIC,2.11,1.88,2.99,3.22,0.22,0.22,1.01,0.92,2.57,1.67,0.52,0.35,0.3,0.0,648.82,111.08,13.59
456,Markelle Fultz,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,3.78,3.33,6.22,9.22,0.44,3.0,2.89,2.44,0.44,1.89,5.22,0.0,1.56,4.22,1649.33,111.78,14.28
457,John Henson,CLEVELAND CAVALIERS,2020-01-04,HOME,OKLAHOMA CITY THUNDER,2.52,2.25,3.64,4.18,0.27,0.54,1.39,0.89,1.57,3.52,0.91,1.27,1.04,0.88,1104.58,109.98,13.98
458,Chris Paul,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,7.06,5.74,10.06,14.31,1.33,4.25,3.96,3.46,0.17,4.31,7.0,0.1,1.62,1.17,1875.36,108.66,14.16
459,OG Anunoby,TORONTO RAPTORS,2020-01-04,AWAY,BROOKLYN NETS,4.17,3.0,5.1,8.31,1.17,3.21,2.27,1.79,1.88,4.03,2.07,0.77,1.15,2.69,1983.21,108.58,14.4
460,Chris Boucher,TORONTO RAPTORS,2020-01-04,AWAY,BROOKLYN NETS,2.27,1.69,2.59,4.56,0.58,1.97,1.14,1.1,1.3,3.27,0.59,1.39,0.4,0.22,913.98,108.58,14.4
461,Grant Williams,BOSTON CELTICS,2020-01-04,AWAY,CHICAGO BULLS,0.78,0.49,0.9,2.0,0.29,1.1,0.61,0.61,0.71,2.12,0.8,0.5,0.43,0.57,1006.03,109.79,14.29
462,Marco Belinelli,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,Justin Jackson,DALLAS MAVERICKS,2020-01-04,HOME,CHARLOTTE HORNETS,1.95,1.6,3.03,4.35,0.35,1.32,1.19,0.87,0.43,2.44,0.52,0.0,0.14,0.14,759.52,111.73,14.39
464,Chimezie Metu,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,1.5,1.5,2.26,2.52,0.0,0.25,0.46,0.46,0.36,1.26,0.64,0.1,0.81,0.0,344.77,107.61,14.5
465,Mike Muscala,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,Jordan Poole,GOLDEN STATE WARRIORS,2020-01-04,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Trevor Ariza,SACRAMENTO KINGS,2020-01-04,HOME,NEW ORLEANS PELICANS,3.44,2.07,3.63,7.04,1.36,3.41,2.08,1.74,0.53,4.04,2.04,0.34,1.38,1.71,2065.96,109.39,14.33
468,Langston Galloway,DETROIT PISTONS,2020-01-04,AWAY,GOLDEN STATE WARRIORS,3.66,1.53,3.0,8.37,2.13,5.38,0.9,0.9,0.38,1.68,1.78,0.04,0.81,0.48,1512.98,109.84,14.0
469,Draymond Green,GOLDEN STATE WARRIORS,2020-01-04,HOME,DETROIT PISTONS,2.05,1.42,2.6,5.0,0.64,2.39,0.91,0.72,0.32,4.64,7.22,0.51,2.55,0.86,1364.94,109.22,14.61
470,Wilson Chandler,BROOKLYN NETS,2020-01-04,HOME,TORONTO RAPTORS,1.64,0.75,1.37,5.03,0.89,3.66,0.47,0.35,0.6,3.48,0.74,0.5,0.47,0.32,1356.46,110.28,14.28
471,Amir Coffey,LOS ANGELES CLIPPERS,2020-01-04,HOME,MEMPHIS GRIZZLIES,0.86,0.81,1.69,2.07,0.05,0.38,0.39,0.15,0.32,0.9,1.02,0.08,0.16,0.08,547.62,109.61,14.44
472,Alfonzo McKinnie,CLEVELAND CAVALIERS,2020-01-04,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Ian Mahinmi,WASHINGTON WIZARDS,2020-01-04,HOME,DENVER NUGGETS,1.98,1.98,4.28,4.68,0.0,0.39,2.23,1.12,1.49,2.93,0.78,0.43,0.29,1.13,1072.97,108.73,14.92
474,Monte Morris,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,4.41,3.6,5.35,8.13,0.81,2.78,0.54,0.39,0.26,1.62,3.89,0.23,0.62,1.94,1553.78,109.71,14.42
475,D.J. Augustin,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,4.22,2.78,7.89,12.22,1.44,4.33,6.67,6.22,0.0,2.44,7.89,0.0,2.11,2.0,1797.22,111.78,14.28
476,Jacob Evans,GOLDEN STATE WARRIORS,2020-01-04,HOME,DETROIT PISTONS,1.35,1.03,1.97,3.45,0.32,1.47,0.61,0.61,0.29,0.75,1.17,0.46,0.15,0.39,697.77,109.68,14.11
477,Johnathan Motley,LOS ANGELES CLIPPERS,2020-01-04,HOME,MEMPHIS GRIZZLIES,1.16,1.16,1.44,1.44,0.0,0.0,0.85,0.49,0.39,0.7,0.6,0.0,0.22,0.0,218.56,109.49,14.51
478,Terence Davis,TORONTO RAPTORS,2020-01-04,AWAY,BROOKLYN NETS,3.49,1.85,3.7,8.76,1.64,5.06,0.89,0.72,0.83,3.11,1.06,0.19,0.96,0.48,1209.57,108.58,14.4
479,Marcus Smart,BOSTON CELTICS,2020-01-04,AWAY,CHICAGO BULLS,5.03,2.19,6.16,13.35,2.83,7.19,2.43,1.72,0.67,3.64,5.43,0.67,1.67,2.15,2061.91,109.71,14.32
480,Dante Exum,CLEVELAND CAVALIERS,2020-01-04,HOME,OKLAHOMA CITY THUNDER,1.7,0.9,1.54,3.33,0.8,1.79,1.53,1.23,0.61,2.15,1.02,0.63,0.8,0.34,950.33,110.61,14.56
481,Jerome Robinson,LOS ANGELES CLIPPERS,2020-01-04,HOME,MEMPHIS GRIZZLIES,2.05,1.24,3.04,5.69,0.82,2.65,0.48,0.42,0.34,3.08,1.19,0.63,0.72,0.63,1058.38,108.66,15.0
482,Rodions Kurucs,BROOKLYN NETS,2020-01-04,HOME,TORONTO RAPTORS,1.17,0.54,1.19,3.13,0.63,1.94,0.3,0.3,0.17,2.22,0.4,0.22,0.55,0.51,654.87,112.25,14.7
483,Jakob Poeltl,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,2.22,2.22,3.68,3.68,0.0,0.0,1.85,0.67,1.74,2.4,1.37,0.9,0.39,0.93,761.18,109.27,13.74
484,Landry Shamet,LOS ANGELES CLIPPERS,2020-01-04,HOME,MEMPHIS GRIZZLIES,3.35,0.81,1.37,7.51,2.53,6.14,2.1,1.8,0.22,1.39,1.7,0.11,0.8,0.45,1693.69,109.95,14.41
485,Brad Wanamaker,BOSTON CELTICS,2020-01-04,AWAY,CHICAGO BULLS,2.52,1.59,4.23,5.46,0.93,1.22,2.09,2.09,0.62,1.82,3.02,0.0,1.04,1.2,1332.4,109.79,14.29
486,Jordan Clarkson,UTAH JAZZ,2020-01-04,AWAY,ORLANDO MAGIC,7.2,5.25,9.03,14.12,1.95,5.1,1.04,1.04,1.82,2.93,1.69,0.15,1.91,1.04,1503.47,110.91,13.71
487,Mason Plumlee,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,3.02,3.02,4.07,4.07,0.0,0.0,3.37,1.81,1.39,4.29,2.2,0.3,1.2,0.32,1026.98,110.0,14.56
488,Melvin Frazier,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,0.43,0.15,0.3,0.58,0.27,0.27,0.3,0.15,0.0,0.15,0.0,0.15,0.15,0.34,131.67,107.28,14.37
489,Abdel Nader,OKLAHOMA CITY THUNDER,2020-01-04,AWAY,CLEVELAND CAVALIERS,2.16,1.35,3.27,5.3,0.82,2.03,2.73,2.08,0.24,2.48,0.96,0.4,0.48,0.63,1058.53,108.66,14.16
490,Khem Birch,ORLANDO MAGIC,2020-01-04,HOME,UTAH JAZZ,1.61,1.61,2.74,2.74,0.0,0.0,1.3,1.07,1.62,2.33,0.33,0.37,0.28,0.17,930.93,109.88,14.56
491,Damian Jones,ATLANTA HAWKS,2020-01-04,HOME,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Doug McDermott,INDIANA PACERS,2020-01-04,AWAY,ATLANTA HAWKS,3.0,1.94,3.19,7.01,1.06,3.82,0.73,0.68,0.22,1.82,1.49,0.0,0.6,0.0,931.27,109.62,14.12
493,Harry Giles,SACRAMENTO KINGS,2020-01-04,HOME,NEW ORLEANS PELICANS,5.57,5.57,9.37,9.37,0.0,0.0,2.69,1.82,1.14,5.91,1.87,0.52,0.93,0.46,1507.96,109.38,14.17
494,Gary Harris,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,2.98,2.16,5.85,8.29,0.82,2.43,1.39,1.17,0.47,2.52,1.58,0.22,0.98,0.72,1783.89,109.71,14.42
495,Michael Porter,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,3.8,2.62,4.88,7.49,1.18,2.61,0.6,0.55,1.64,4.47,0.91,0.51,0.83,0.38,1007.57,108.94,14.59
496,T.J. McConnell,INDIANA PACERS,2020-01-04,AWAY,ATLANTA HAWKS,2.03,2.03,3.85,3.93,0.0,0.08,0.13,0.13,0.59,1.31,3.47,0.18,1.01,0.48,995.73,109.62,14.12
497,Royce O'Neale,UTAH JAZZ,2020-01-04,AWAY,ORLANDO MAGIC,2.36,0.89,1.57,5.31,1.48,3.73,2.92,1.71,0.59,5.04,1.9,0.55,0.74,1.3,1681.35,110.91,13.71
498,JaMychal Green,LOS ANGELES CLIPPERS,2020-01-04,HOME,MEMPHIS GRIZZLIES,2.0,0.89,1.59,4.88,1.12,3.28,0.41,0.29,0.82,4.7,0.81,0.37,0.44,0.6,1199.79,109.95,14.41
499,Garrison Mathews,WASHINGTON WIZARDS,2020-01-04,HOME,DENVER NUGGETS,1.26,0.17,0.56,3.13,1.08,2.57,1.26,1.04,0.0,0.56,0.72,0.0,0.0,0.27,698.3,109.36,13.22
500,Willie Cauley-Stein,GOLDEN STATE WARRIORS,2020-01-04,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Pat Connaughton,MILWAUKEE BUCKS,2020-01-04,HOME,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,E'Twaun Moore,NEW ORLEANS PELICANS,2020-01-04,AWAY,SACRAMENTO KINGS,2.05,1.28,2.87,4.37,0.77,1.5,0.38,0.33,0.49,1.15,0.75,0.35,0.73,0.71,821.76,110.72,14.56
503,Lonnie Walker,SAN ANTONIO SPURS,2020-01-04,AWAY,MILWAUKEE BUCKS,2.45,1.91,4.79,5.94,0.54,1.15,0.92,0.71,0.71,2.32,1.55,0.99,0.83,0.63,1301.49,109.27,13.74
504,Jaxson Hayes,NEW ORLEANS PELICANS,2020-01-04,AWAY,SACRAMENTO KINGS,1.35,1.35,2.0,2.0,0.0,0.0,1.3,0.92,0.45,0.93,0.67,0.43,0.43,0.28,464.88,111.64,14.38
505,Jerami Grant,DENVER NUGGETS,2020-01-04,AWAY,WASHINGTON WIZARDS,5.7,4.05,7.14,11.43,1.64,4.29,3.81,3.22,0.38,2.94,1.26,0.73,0.92,0.95,1712.78,109.57,14.38
