,name,team,date,location,opponent,made_field_goals,made_two_point_field_goals,attempted_two_point_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,attempted_free_throws,made_free_throws,offensive_rebounds,defensive_rebounds,assists,blocks,turnovers,steals,seconds_played,Opponent Defensive Rating,Opponent Turnover %
10,Carmelo Anthony,PORTLAND TRAIL BLAZERS,2020-01-01,AWAY,NEW YORK KNICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Avery Bradley,LOS ANGELES LAKERS,2020-01-01,HOME,PHOENIX SUNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Shabazz Napier,MINNESOTA TIMBERWOLVES,2020-01-01,AWAY,MILWAUKEE BUCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Markelle Fultz,ORLANDO MAGIC,2020-01-01,AWAY,WASHINGTON WIZARDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Frank Ntilikina,NEW YORK KNICKS,2020-01-01,HOME,PORTLAND TRAIL BLAZERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Deandre Ayton,PHOENIX SUNS,2020-01-01,AWAY,LOS ANGELES LAKERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,De'Aaron Fox,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Jeremy Lamb,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Luka Dončić,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Domantas Sabonis,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Robert Covington,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,LaMarcus Aldridge,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Terry Rozier,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Seth Curry,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Michael Porter,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Jamal Murray,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Shabazz Napier,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,3.77,2.59,5.57,9.49,1.18,3.92,2.98,2.54,0.76,1.17,3.74,0.04,1.96,1.63,1421.49,108.67,14.91
28,Buddy Hield,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,DeMar DeRozan,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Maxi Kleber,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
