,Unnamed: 0,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,Date,Team Defensive Rating,Team Pace,Team Turnover %,Opponent Defensive Rating,Opponent Pace,Opponent Turnover %
49,49,korveky01,Kyle Korver,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1091,2,5,2,4,2,2,1,3,2,0,1,3,3,4.8,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
50,50,nowelja01,Jaylen Nowell,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,939,4,11,2,7,2,3,1,1,0,0,1,2,1,4.8,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
51,51,greenda02,Danny Green,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1408,4,8,1,4,0,0,0,2,2,0,0,1,4,4.4,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8
52,52,knoxke01,Kevin Knox,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1038,2,6,1,4,0,0,0,7,1,0,0,0,0,4.4,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1
53,53,caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1497,1,4,1,3,0,0,2,1,2,1,0,0,1,4.3,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8
54,54,lopezro01,Robin Lopez,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1002,3,5,1,2,0,1,0,1,1,0,0,1,0,4.3,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
55,55,johnsty01,Tyler Johnson,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,929,3,8,0,4,0,0,0,4,2,0,0,0,0,4.2,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
56,56,reidna01,Naz Reid,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1100,4,10,2,7,1,2,0,2,1,0,1,1,5,4.2,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
57,57,baynear01,Aron Baynes,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1248,2,5,0,1,0,0,1,4,2,0,1,0,3,4.1,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
58,58,trentga02,Gary Trent,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,831,2,3,1,2,0,0,0,0,0,0,0,0,0,3.7,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4
59,59,belljo01,Jordan Bell,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,854,1,1,0,0,0,0,0,3,1,0,0,0,0,3.3,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
60,60,connapa01,Pat Connaughton,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1567,3,8,1,4,0,0,0,6,1,0,0,1,2,3.3,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
